
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending October 15, 2005 (WEEK 41)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,658	1,556	4	10	90	90	149	147													
NEW ENGLAND	133	141	-	1	10	8	3	1													
Maine	6	12	-	-	-	-	1	-													
N.H.	6	16	-	-	-	2	-	-													
Vt.	8	6	-	-	-	-	-	1													
Mass.	65	65	-	1	3	3	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	41	39	-	-	5	3	1	-													
MID. ATLANTIC	331	318	-	1	-	4	37	34													
Upstate N.Y.	100	104	-	1	-	4	8	5													
N.Y. City	58	71	-	-	-	-	10	13													
N.J.	65	61	-	-	-	-	9	3													
Pa.	108	82	-	-	-	-	10	13													
E.N. CENTRAL	226	295	1	-	4	8	16	42													
Ohio	95	82	-	-	-	2	10	14													
Ind.	55	41	-	-	4	4	-	1													
Ill.	35	105	-	-	-	-	3	20													
Mich.	18	18	1	-	-	2	2	4													
Wis.	23	49	-	-	-	-	1	3													
W.N. CENTRAL	93	89	-	2	3	3	8	11													
Minn.	38	40	-	1	3	3	2	1													
Iowa	1	1	-	1	-	-	-	-													
Mo.	32	34	-	-	-	-	5	7													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	9	5	-	-	-	-	-	2													
Kans.	12	6	-	-	-	-	-	1													
S. ATLANTIC	393	351	1	-	24	24	21	25													
Del.	-	-	-	-	-	-	-	-													
Md.	58	54	-	-	5	5	1	-													
D.C.	-	3	-	-	-	-	-	1													
Va.	38	33	-	-	-	-	-	5													
W. Va.	23	16	-	-	1	4	4	-													
N.C.	68	46	1	-	8	6	-	1													
S.C.	23	10	-	-	-	-	-	1													
Ga.	79	92	-	-	-	-	11	16													
Fla.	104	97	-	-	10	9	5	1													
E.S. CENTRAL	93	62	-	1	1	-	6	8													
Ky.	8	6	-	-	1	-	2	-													
Tenn.	67	41	-	-	-	-	-	6													
Ala.	18	13	-	1	-	-	4	2													
Miss.	-	2	-	-	-	-	-	-													
W.S. CENTRAL	91	61	1	1	8	8	7	1													
Ark.	5	2	-	-	1	1	-	-													
La.	30	12	1	-	2	-	7	1													
Okla.	54	46	-	-	5	7	-	-													
Tex.	2	1	-	1	-	-	-	-													
MOUNTAIN	186	162	-	4	13	25	37	18													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	6	1	-	-	-	1	1	-													
Colo.	36	40	-	-	-	-	9	5													
N. Mex.	16	36	-	1	4	8	2	6													
Ariz.	95	56	-	-	7	11	14	2													
Utah	16	12	-	2	-	2	7	2													
Nev.	14	12	-	1	2	3	3	1													
PACIFIC	112	77	1	-	27	10	14	7													
Wash.	3	1	-	-	-	-	2	1													
Oreg.	29	38	-	-	-	-	5	3													
Calif.	47	25	1	-	27	10	2	1													
Alaska	25	5	-	-	-	-	5	1													
Hawaii	8	8	-	-	-	-	-	1													
Guam	-	-	-	-	-	-	-	-													
P.R.	3	2	-	-	-	-	1	2													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


