
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 4, 2002 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	101	53	2	6	2	-	8,034	9,211													
NEW ENGLAND	-	-	-	-	-	-	470	687													
Maine	-	-	-	-	-	-	54	79													
N.H.	-	-	-	-	-	-	24	43													
Vt.	-	-	-	-	-	-	20	27													
Mass.	-	-	-	-	-	-	255	387													
R.I.	-	-	-	-	-	-	23	28													
Conn.	-	-	-	-	-	-	94	123													
MID. ATLANTIC	8	1	-	3	-	-	1,024	1,434													
Upstate N.Y.	2	-	-	1	-	-	322	255													
N.Y. City	-	-	-	2	-	-	411	322													
N.J.	-	-	-	-	-	-	80	523													
Pa.	6	1	-	-	-	-	211	334													
E.N. CENTRAL	3	3	-	-	-	-	1,393	1,256													
Ohio	3	-	-	-	-	-	409	402													
Ind.	-	-	-	-	-	-	103	101													
Ill.	-	3	-	-	-	-	433	331													
Mich.	-	-	-	-	-	-	279	213													
Wis.	-	-	-	-	-	-	169	209													
W.N. CENTRAL	12	9	-	1	-	-	634	502													
Minn.	-	-	-	-	-	-	121	158													
Iowa	-	1	-	1	-	-	110	76													
Mo.	12	8	-	-	-	-	256	126													
N. Dak.	-	-	-	-	-	-	9	1													
S. Dak.	-	-	-	-	-	-	26	28													
Nebr.	-	-	-	-	-	-	37	40													
Kans.	-	-	-	-	-	-	75	73													
S. ATLANTIC	69	32	1	1	-	-	2,070	2,083													
Del.	-	-	-	-	-	-	14	22													
Md.	10	2	1	-	-	-	182	200													
D.C.	-	-	-	-	-	-	26	24													
Va.	1	-	-	-	-	-	216	321													
W. Va.	-	-	-	-	-	-	19	19													
N.C.	39	10	-	-	-	-	274	335													
S.C.	9	2	-	-	-	-	112	223													
Ga.	9	15	-	-	-	-	525	445													
Fla.	1	3	-	1	-	-	702	494													
E.S. CENTRAL	8	5	-	-	1	-	456	458													
Ky.	-	-	-	-	-	-	85	78													
Tenn.	6	3	-	-	1	-	135	120													
Ala.	2	1	-	-	-	-	150	160													
Miss.	-	1	-	-	-	-	86	100													
W.S. CENTRAL	-	1	1	-	-	-	176	952													
Ark.	-	1	-	-	-	-	49	85													
La.	-	-	-	-	-	-	47	203													
Okla.	-	-	-	-	-	-	78	48													
Tex.	-	-	1	-	-	-	2	616													
MOUNTAIN	1	2	-	-	-	-	581	552													
Mont.	-	-	-	-	-	-	20	23													
Idaho	-	1	-	-	-	-	41	24													
Wyo.	-	-	-	-	-	-	13	23													
Colo.	-	-	-	-	-	-	163	166													
N. Mex.	-	-	-	-	-	-	78	66													
Ariz.	-	-	-	-	-	-	155	157													
Utah	-	1	-	-	-	-	50	58													
Nev.	1	-	-	-	-	-	61	35													
PACIFIC	-	-	-	1	1	-	1,230	1,287													
Wash.	-	-	-	-	-	-	97	119													
Oreg.	-	-	-	-	-	-	104	74													
Calif.	-	-	-	-	-	-	944	970													
Alaska	-	-	-	-	-	-	20	15													
Hawaii	-	-	-	1	1	-	65	109													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	43	260													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	10	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


