
TABLE II. (Part 11)  Provisional cases of selected notifiable diseases, United States, week ending July 24, 2010 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2010
Varicella (chickenpox) cummulative for 2009
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2010
West Nile virus disease † Neuroinvasive cummulative for 2009
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2010
West Nile virus disease † Non-neuroinvasive § cummulative for 2009

tab delimited data:
test
UNITED STATES	89	330	551	8,845	14,271	-	0	46	19	73	-	0	49	16	70						
NEW ENGLAND	1	16	36	403	659	-	0	0	-	-	-	0	0	-	-						
Conn.	1	6	20	183	317	-	0	0	-	-	-	0	0	-	-						
Maine	-	4	15	118	117	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	1	-	3	-	0	0	-	-	-	0	0	-	-						
N.H.	-	2	8	74	131	-	0	0	-	-	-	0	0	-	-						
R.I.	-	1	12	16	23	-	0	0	-	-	-	0	0	-	-						
Vt.	-	0	10	12	68	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	5	33	66	986	1,354	-	0	2	-	1	-	0	1	-	-						
N.J.	-	9	30	365	279	-	0	1	-	-	-	0	0	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	1	-	1	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
Pa.	5	21	52	621	1,075	-	0	0	-	-	-	0	0	-	-						
E.N. CENTRAL	15	108	176	3,048	4,409	-	0	4	-	1	-	0	3	-	-						
Ill.	-	26	49	758	1,035	-	0	3	-	-	-	0	0	-	-						
Ind.	1	5	35	285	325	-	0	1	-	1	-	0	1	-	-						
Mich.	2	35	62	958	1,291	-	0	1	-	-	-	0	0	-	-						
Ohio	10	28	56	848	1,363	-	0	0	-	-	-	0	2	-	-						
Wis.	2	7	24	199	395	-	0	1	-	-	-	0	0	-	-						
W.N. CENTRAL	-	13	40	347	915	-	0	5	1	2	-	0	11	4	20						
Iowa	N	0	0	N	N	-	0	0	-	-	-	0	1	-	1						
Kans.	-	4	18	99	382	-	0	1	-	-	-	0	1	1	4						
Minn.	-	0	0	-	-	-	0	1	-	-	-	0	1	-	1						
Mo.	-	6	16	205	442	-	0	2	1	1	-	0	1	-	-						
Nebr.	N	0	0	N	N	-	0	2	-	-	-	0	6	-	9						
N. Dak.	-	0	26	28	55	-	0	0	-	-	-	0	1	1	-						
S. Dak.	-	0	7	15	36	-	0	3	-	1	-	0	2	2	5						
S. ATLANTIC	20	38	105	1,374	1,734	-	0	4	-	-	-	0	2	3	-						
Del.	-	0	10	39	8	-	0	0	-	-	-	0	0	-	-						
D.C.	-	0	4	14	22	-	0	1	-	-	-	0	0	-	-						
Fla.	11	15	57	692	883	-	0	1	-	-	-	0	1	-	-						
Ga.	N	0	0	N	N	-	0	1	-	-	-	0	1	3	-						
Md.	N	0	0	N	N	-	0	0	-	-	-	0	1	-	-						
N.C.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
S.C.	-	0	35	74	92	-	0	2	-	-	-	0	0	-	-						
Va.	3	11	34	288	465	-	0	2	-	-	-	0	0	-	-						
W. Va.	6	8	26	267	264	-	0	0	-	-	-	0	0	-	-						
E.S. CENTRAL	-	6	28	181	359	-	0	6	1	9	-	0	4	1	5						
Ala.	-	6	27	174	356	-	0	0	-	-	-	0	1	1	-						
Ky.	N	0	0	N	N	-	0	1	-	1	-	0	0	-	-						
Miss.	-	0	2	7	3	-	0	5	1	6	-	0	4	-	5						
Tenn.	N	0	0	N	N	-	0	2	-	2	-	0	1	-	-						
W.S. CENTRAL	43	61	285	1,807	3,484	-	0	19	-	26	-	0	6	-	6						
Ark.	2	3	32	110	340	-	0	1	-	3	-	0	0	-	-						
La.	-	2	10	65	86	-	0	1	-	5	-	0	4	-	4						
Okla.	N	0	0	N	N	-	0	2	-	1	-	0	2	-	-						
Tex.	41	50	272	1,632	3,058	-	0	16	-	17	-	0	4	-	2						
MOUNTAIN	5	25	48	674	1,280	-	0	12	15	22	-	0	17	6	25						
Ariz.	-	0	0	-	-	-	0	4	14	10	-	0	2	3	3						
Colo.	4	9	41	262	690	-	0	7	1	2	-	0	14	3	8						
Idaho	N	0	0	N	N	-	0	3	-	1	-	0	5	-	6						
Mont.	1	3	17	145	114	-	0	1	-	1	-	0	1	-	1						
Nev.	N	0	0	N	N	-	0	1	-	6	-	0	1	-	5						
N. Mex.	-	1	7	65	93	-	0	2	-	2	-	0	1	-	-						
Utah	-	6	22	189	383	-	0	1	-	-	-	0	0	-	1						
Wyo.	-	0	3	13	-	-	0	1	-	-	-	0	2	-	1						
PACIFIC	-	1	5	25	77	-	0	12	2	12	-	0	12	2	14						
Alaska	-	0	4	24	45	-	0	0	-	-	-	0	0	-	-						
Calif.	-	0	0	-	-	-	0	8	2	9	-	0	6	2	11						
Hawaii	-	0	2	1	32	-	0	0	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	1	-	-	-	0	4	-	-						
Wash.	N	0	0	N	N	-	0	6	-	3	-	0	3	-	3						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	3	9	14	-	0	0	-	-	-	0	0	-	-						
P.R.	-	5	30	150	355	-	0	0	-	-	-	0	0	-	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
