
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending July 16, 2005 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,241	1,184	3	8	65	65	121	110													
NEW ENGLAND	95	112	-	1	8	7	3	1													
Maine	5	7	-	-	-	-	1	-													
N.H.	4	13	-	-	-	2	-	-													
Vt.	6	5	-	-	-	-	2	1													
Mass.	43	56	-	1	3	2	-	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	30	28	-	-	3	3	-	-													
MID. ATLANTIC	249	247	-	1	-	3	30	28													
Upstate N.Y.	73	84	-	1	-	3	5	4													
N.Y. City	44	53	-	-	-	-	9	9													
N.J.	46	44	-	-	-	-	7	2													
Pa.	86	66	-	-	-	-	9	13													
E.N. CENTRAL	160	223	1	-	1	8	10	32													
Ohio	82	68	-	-	-	2	7	11													
Ind.	42	34	-	-	1	4	1	1													
Ill.	16	73	-	-	-	-	2	16													
Mich.	13	14	1	-	-	2	-	3													
Wis.	7	34	-	-	-	-	-	1													
W.N. CENTRAL	67	61	-	2	3	3	9	5													
Minn.	25	27	-	1	3	3	-	-													
Iowa	-	1	-	1	-	-	-	-													
Mo.	30	22	-	-	-	-	7	4													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	6	2	-	-	-	-	1	-													
Kans.	5	6	-	-	-	-	-	1													
S. ATLANTIC	303	267	1	-	18	18	16	19													
Del.	-	-	-	-	-	-	-	-													
Md.	42	46	-	-	4	5	-	-													
D.C.	-	2	-	-	-	-	-	1													
Va.	28	24	-	-	-	-	1	2													
W. Va.	19	10	-	-	1	3	3	-													
N.C.	56	37	1	-	6	5	-	1													
S.C.	19	7	-	-	-	-	1	1													
Ga.	58	76	-	-	-	-	7	14													
Fla.	81	65	-	-	7	5	4	-													
E.S. CENTRAL	73	45	-	-	1	-	12	7													
Ky.	6	3	-	-	1	-	1	-													
Tenn.	51	31	-	-	-	-	7	5													
Ala.	16	11	-	-	-	-	4	2													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	73	48	1	1	5	6	6	1													
Ark.	4	1	-	-	1	-	-	-													
La.	27	9	1	-	2	-	6	1													
Okla.	42	37	-	-	2	6	-	-													
Tex.	-	1	-	1	-	-	-	-													
MOUNTAIN	160	126	-	3	16	15	27	12													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	4	-	-	-	-	-	1	-													
Colo.	31	30	-	-	-	-	6	3													
N. Mex.	15	26	-	-	4	5	1	4													
Ariz.	82	45	-	-	10	6	9	1													
Utah	12	9	-	2	-	1	7	1													
Nev.	13	11	-	1	2	3	2	1													
PACIFIC	61	55	-	-	13	5	8	5													
Wash.	1	1	-	-	-	-	1	1													
Oreg.	24	27	-	-	-	-	5	2													
Calif.	26	17	-	-	13	5	1	1													
Alaska	4	5	-	-	-	-	1	1													
Hawaii	6	5	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	1	1	-	-	-	-	-	1													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


