
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 18, 1998 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	610	653	11,696	14,778	4,312	4,946	-	26	1	14	40	84									
NEW ENGLAND	33	36	146	366	75	91	-	1	1	2	3	12									
Maine	2	3	13	42	2	6	-	-	-	-	-	-									
N.H.	5	5	8	19	10	5	-	-	-	-	-	1									
Vt.	2	3	13	7	1	5	-	-	1	1	1	-									
Mass.	22	22	44	162	19	39	-	1	-	1	2	10									
R.I.	2	2	9	65	43	9	-	-	-	-	-	-									
Conn.	-	1	59	71	-	27	-	-	-	-	-	1									
MID. ATLANTIC	84	89	744	1,214	610	705	-	9	-	2	11	20									
Upstate N.Y.	35	24	185	171	172	133	-	2	-	-	2	5									
N.Y. City	16	23	194	546	157	277	-	-	-	-	-	7									
N.J.	28	28	161	185	105	134	U	7	U	1	8	3									
Pa.	5	14	204	312	176	161	U	-	U	1	1	5									
E.N. CENTRAL	95	108	1,502	1,564	438	831	-	11	-	3	14	8									
Ohio	35	59	191	207	42	47	-	-	-	1	1	-									
Ind.	27	10	94	159	49	60	-	2	-	1	3	-									
Ill.	29	25	261	403	89	163	-	-	-	-	-	6									
Mich.	-	14	854	679	242	242	-	9	-	1	10	2									
Wis.	4	-	102	116	16	319	-	-	-	-	-	-									
W.N. CENTRAL	59	31	933	1,100	238	276	-	-	-	-	-	11									
Minn.	45	22	78	100	21	23	-	-	-	-	-	2									
Iowa	1	3	376	184	36	21	-	-	-	-	-	-									
Mo.	8	3	379	587	149	201	-	-	-	-	-	1									
N. Dak.	-	-	3	10	4	3	-	-	-	-	-	-									
S. Dak.	-	2	17	14	1	-	-	-	-	-	-	8									
Nebr.	-	1	16	43	7	8	-	-	-	-	-	-									
Kans.	5	-	64	162	20	20	-	-	-	-	-	-									
S. ATLANTIC	129	104	1,002	793	626	584	-	2	-	5	7	6									
Del.	-	-	2	16	-	4	-	-	-	1	1	-									
Md.	41	44	185	122	94	93	-	-	-	1	1	1									
D.C.	-	-	30	14	6	22	-	-	-	-	-	1									
Va.	13	7	137	105	56	72	-	-	-	2	2	1									
W. Va.	4	3	1	6	3	9	U	-	U	-	-	-									
N.C.	18	17	59	108	115	134	-	-	-	-	-	1									
S.C.	4	3	17	67	16	60	-	-	-	-	-	-									
Ga.	24	21	264	189	96	57	-	-	-	1	1	-									
Fla.	25	9	307	166	240	133	-	2	-	-	2	2									
E.S. CENTRAL	36	37	203	358	208	373	-	-	-	-	-	1									
Ky.	4	4	13	46	23	24	-	-	-	-	-	-									
Tenn.	24	23	142	218	152	249	-	-	-	-	-	-									
Ala.	8	8	48	55	33	41	-	-	-	-	-	1									
Miss.	U	2	U	39	U	59	U	U	U	U	U	-									
W.S. CENTRAL	34	29	2,198	3,038	711	616	-	-	-	-	-	4									
Ark.	-	2	53	131	48	45	-	-	-	-	-	-									
La.	16	6	44	116	54	80	-	-	-	-	-	-									
Okla.	16	19	317	894	45	21	-	-	-	-	-	-									
Tex.	2	2	1,784	1,897	564	470	-	-	-	-	-	4									
MOUNTAIN	68	69	1,845	2,230	469	471	-	-	-	-	-	7									
Mont.	-	-	63	51	3	5	-	-	-	-	-	-									
Idaho	-	1	149	81	18	15	-	-	-	-	-	-									
Wyo.	1	1	24	20	2	14	-	-	-	-	-	-									
Colo.	14	10	146	242	59	88	-	-	-	-	-	-									
N. Mex.	5	7	87	178	200	155	-	-	-	-	-	-									
Ariz.	38	26	1,185	1,077	121	107	-	-	-	-	-	5									
Utah	4	3	122	350	41	55	-	-	-	-	-	-									
Nev.	6	21	69	231	25	32	U	-	U	-	-	2									
PACIFIC	72	150	3,123	4,115	937	999	-	3	-	2	5	15									
Wash.	4	2	601	295	66	43	-	-	-	1	1	-									
Oreg.	30	24	214	211	62	60	-	-	-	-	-	-									
Calif.	30	117	2,271	3,508	798	877	-	3	-	1	4	11									
Alaska	1	1	14	23	6	11	-	-	-	-	-	-									
Hawaii	7	6	23	78	5	8	U	-	U	-	-	4									
Guam	-	-	-	-	-	3	U	-	U	-	-	-									
P.R.	2	-	25	184	252	416	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	6	1	1	28	31	U	-	U	-	-	1									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


