
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 5, 2008 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2008
Chlamydia† cummulative for 2007
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2008
Coccidioidomycosis cummulative for 2007
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2008
Cryptosporidiosis cummulative for 2007

tab delimited data:
test
UNITED STATES	7,252	20,858	25,197	7,252	13,350	42	141	254	42	70	25	81	975	25	85						
NEW ENGLAND	326	689	1,119	326	435	-	0	1	-	-	-	5	41	-	41						
Conn.	-	207	513	-	12	N	0	0	N	N	-	0	41	-	41						
Maine	-	49	74	-	29	-	0	0	-	-	-	1	5	-	-						
Mass.	251	301	668	251	243	-	0	0	-	-	-	2	11	-	-						
N.H.	16	38	73	16	35	-	0	1	-	-	-	1	5	-	-						
R.I.	53	62	98	53	95	-	0	0	-	-	-	0	3	-	-						
Vt.	6	19	32	6	21	N	0	0	N	N	-	1	3	-	-						
MID. ATLANTIC	1,059	2,801	3,951	1,059	2,168	-	0	0	-	-	3	10	113	3	2						
N.J.	-	402	526	-	323	N	0	0	N	N	-	0	6	-	-						
N.Y. (Upstate)	45	537	904	45	95	N	0	0	N	N	-	3	20	-	-						
N.Y. City	504	1,006	1,970	504	1,171	N	0	0	N	N	-	1	9	-	-						
Pa.	510	848	1,764	510	579	N	0	0	N	N	3	5	103	3	2						
E.N. CENTRAL	592	3,254	6,210	592	2,308	1	1	3	1	-	10	20	134	10	10						
Ill.	1	1,005	1,682	1	389	-	0	0	-	-	-	2	13	-	3						
Ind.	222	394	646	222	646	-	0	0	-	-	-	2	23	-	-						
Mich.	228	706	1,024	228	602	-	0	2	-	-	2	3	11	2	2						
Ohio	51	753	3,633	51	351	1	0	1	1	-	7	5	61	7	2						
Wis.	90	368	453	90	320	N	0	0	N	N	1	7	59	1	3						
