
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 2, 2001 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	598	592	3,856	5,473	2,486	2,834	-	37	-	22	59	33									
NEW ENGLAND	24	47	174	131	41	47	-	3	-	1	4	-									
Maine	1	1	5	7	5	5	-	-	-	-	-	-									
N.H.	-	6	5	11	10	9	-	-	-	-	-	-									
Vt.	1	3	5	3	2	4	-	1	-	-	1	-									
Mass.	20	27	50	55	3	2	-	2	-	1	3	-									
R.I.	2	1	8	6	9	9	-	-	-	-	-	-									
Conn.	-	9	101	49	12	18	-	-	-	-	-	-									
MID. ATLANTIC	73	98	330	527	351	512	-	2	-	5	7	10									
Upstate N.Y.	30	34	103	98	56	54	-	1	-	4	5	-									
N.Y. City	23	28	133	211	197	243	-	-	-	-	-	10									
N.J.	19	23	70	86	64	86	-	-	-	1	1	-									
Pa.	1	13	24	132	34	129	-	1	-	-	1	-									
E.N. CENTRAL	77	89	439	719	296	301	-	-	-	10	10	3									
Ohio	38	28	106	130	55	48	-	-	-	3	3	2									
Ind.	20	10	39	21	13	20	-	-	-	4	4	-									
Ill.	10	33	126	306	24	41	-	-	-	3	3	-									
Mich.	4	7	148	219	204	177	-	-	-	-	-	1									
Wis.	5	11	20	43	-	15	-	-	-	-	-	-									
W.N. CENTRAL	24	27	166	402	90	118	-	4	-	-	4	-									
Minn.	12	15	12	108	10	15	-	2	-	-	2	-									
Iowa	-	-	17	39	9	15	-	-	-	-	-	-									
Mo.	10	8	45	182	48	58	-	2	-	-	2	-									
N. Dak.	-	1	-	-	-	2	-	-	-	-	-	-									
S. Dak.	-	-	1	-	1	-	-	-	-	-	-	-									
Nebr.	1	2	21	18	11	19	-	-	-	-	-	-									
Kans.	1	1	70	55	11	9	-	-	-	-	-	-									
S. ATLANTIC	197	138	779	529	542	469	-	3	-	1	4	-									
Del.	-	-	-	9	-	7	-	-	-	-	-	-									
Md.	46	34	109	59	62	59	-	2	-	1	3	-									
D.C.	-	-	20	7	4	14	-	-	-	-	-	-									
Va.	15	28	57	66	59	65	-	-	-	-	-	-									
W. Va.	4	4	3	38	14	4	-	-	-	-	-	-									
N.C.	23	13	49	85	99	115	-	-	-	-	-	-									
S.C.	5	4	23	19	6	3	-	-	-	-	-	-									
Ga.	52	38	299	74	141	81	-	1	-	-	1	-									
Fla.	52	17	219	172	157	121	-	-	-	-	-	-									
E.S. CENTRAL	50	28	138	219	156	198	-	2	-	-	2	-									
Ky.	2	11	20	22	17	41	-	2	-	-	2	-									
Tenn.	24	11	64	81	62	84	-	-	-	-	-	-									
Ala.	23	4	48	26	40	24	-	-	-	-	-	-									
Miss.	1	2	6	90	37	49	-	-	-	-	-	-									
W.S. CENTRAL	22	33	579	1,001	294	424	-	1	-	-	1	-									
Ark.	-	-	29	80	46	46	-	-	-	-	-	-									
La.	2	10	43	43	23	69	-	-	-	-	-	-									
Okla.	20	21	74	129	46	54	-	-	-	-	-	-									
Tex.	-	2	433	749	179	255	-	1	-	-	1	-									
MOUNTAIN	91	64	347	377	233	206	-	-	-	1	1	9									
Mont.	-	-	5	1	1	3	-	-	-	-	-	-									
Idaho	1	2	28	15	6	4	-	-	-	1	1	-									
Wyo.	4	1	16	3	16	-	-	-	-	-	-	-									
Colo.	21	12	32	79	50	37	-	-	-	-	-	2									
N. Mex.	12	14	10	38	63	60	-	-	-	-	-	-									
Ariz.	42	29	188	184	69	72	-	-	-	-	-	-									
Utah	4	4	30	26	10	12	-	-	-	-	-	3									
Nev.	7	2	38	31	18	18	-	-	-	-	-	4									
PACIFIC	40	68	904	1,568	483	559	-	22	-	4	26	11									
Wash.	1	3	40	134	44	27	-	13	-	2	15	3									
Oreg.	12	21	32	106	26	44	-	1	-	-	1	-									
Calif.	24	25	820	1,311	410	479	-	7	-	1	8	6									
Alaska	2	2	12	6	3	3	-	-	-	-	-	1									
Hawaii	1	17	-	11	-	6	-	1	-	1	2	1									
Guam	-	-	-	1	-	9	-	-	-	-	-	-									
P.R.	-	2	41	151	28	116	-	-	-	-	-	-									
V.I.	-	-	-	-	-	-	U	-	U	-	-	-									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	U	-	U	19	U	U	-	U	-	-	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


