
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 2, 2010 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	58	96	239	4,861	5,435	23	34	122	1,768	1,879											
NEW ENGLAND	9	4	28	287	369	1	1	11	73	99											
Conn.	8	0	21	80	97	-	0	11	11	11											
Maine	-	0	2	18	28	-	0	1	6	3											
Mass.	-	2	10	124	172	1	0	4	40	64											
N.H.	-	0	4	35	30	-	0	2	11	11											
R.I.	-	0	1	11	29	-	0	1	1	10											
Vt.	1	0	3	19	13	-	0	1	4	-											
MID. ATLANTIC	6	15	43	953	1,083	6	4	33	240	246											
N.J.	-	2	7	124	190	-	0	4	38	70											
N.Y. (Upstate)	6	7	16	324	347	6	2	9	129	116											
N.Y. City	-	4	12	180	200	-	0	31	73	60											
Pa.	-	5	18	325	346	N	0	2	N	N											
E.N. CENTRAL	2	14	42	875	976	1	6	18	289	336											
Ill.	-	4	13	243	268	-	1	4	48	97											
Ind.	-	2	23	136	127	-	1	13	45	31											
Mich.	-	3	11	150	182	-	1	4	72	87											
Ohio	2	3	13	209	258	1	1	6	78	66											
Wis.	-	2	11	137	141	-	1	3	46	55											
W.N. CENTRAL	4	6	37	377	378	1	2	12	154	114											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	37	38	N	0	1	N	N											
Minn.	-	0	34	171	172	-	0	10	88	46											
Mo.	3	2	8	88	92	-	0	4	37	38											
Nebr.	-	1	3	42	43	1	0	2	17	9											
N. Dak.	1	0	4	18	10	-	0	3	5	9											
S. Dak.	-	0	3	21	23	-	0	2	7	12											
S. ATLANTIC	12	21	49	1,112	1,155	5	6	18	340	369											
Del.	-	0	1	11	10	-	0	0	-	-											
D.C.	-	0	3	13	14	N	0	0	N	N											
Fla.	4	5	12	279	265	2	1	6	75	70											
Ga.	2	5	13	256	269	-	2	6	95	104											
Md.	2	3	12	190	194	2	1	7	84	59											
N.C.	-	1	12	91	136	N	0	0	N	N											
S.C.	2	1	5	75	76	-	1	4	48	71											
Va.	2	3	9	158	150	-	0	3	23	52											
W. Va.	-	0	4	39	41	1	0	3	15	13											
E.S. CENTRAL	-	3	10	191	193	-	2	7	103	96											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	39	45	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	21	12											
Tenn.	-	3	9	152	148	-	1	6	82	84											
W.S. CENTRAL	14	7	79	440	519	7	5	46	292	302											
Ark.	-	0	3	20	11	1	0	4	27	15											
La.	-	0	3	11	19	-	0	3	13	14											
Okla.	1	2	20	128	122	1	1	7	59	69											
Tex.	13	5	59	281	367	5	3	34	193	204											
MOUNTAIN	11	9	22	458	584	2	4	16	245	269											
Ariz.	4	3	7	162	199	1	2	10	121	117											
Colo.	7	2	7	132	143	1	1	4	55	61											
Idaho	-	0	2	10	16	-	0	2	9	6											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	13	-	0	0	-	6											
N. Mex.	-	1	6	80	144	-	0	4	24	40											
Utah	-	1	6	68	60	-	0	5	36	37											
Wyo.	-	0	1	1	9	-	0	0	-	2											
PACIFIC	-	3	9	168	178	-	0	4	32	48											
Alaska	-	1	4	38	40	-	0	3	24	29											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	8	130	138	-	0	2	8	19											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


