
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 19, 2008 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	54	89	259	3,372	3,525	13	36	166	955	1,084											
NEW ENGLAND	1	6	33	262	281	-	2	14	48	87											
Conn.	-	0	28	78	83	-	0	11	-	11											
Maine	1	0	3	19	21	-	0	1	1	1											
Mass.	-	3	8	125	139	-	1	5	37	57											
N.H.	-	0	2	17	21	-	0	1	7	8											
R.I.	-	0	7	13	2	-	0	1	2	8											
Vt.	-	0	2	10	15	-	0	1	1	2											
MID. ATLANTIC	12	16	43	703	683	1	4	19	117	195											
N.J.	-	3	9	108	128	-	1	6	21	40											
N.Y. (Upstate)	8	6	17	242	207	1	2	14	63	66											
N.Y. City	-	3	10	122	168	-	1	12	33	89											
Pa.	4	5	16	231	180	N	0	0	N	N											
E.N. CENTRAL	3	18	64	740	711	-	6	23	209	197											
Ill.	-	5	16	185	214	-	1	6	46	47											
Ind.	-	2	11	93	81	-	0	14	23	12											
Mich.	1	3	10	115	149	-	1	5	50	56											
Ohio	2	5	14	201	171	-	1	5	36	41											
Wis.	-	2	43	146	96	-	1	9	54	41											
W.N. CENTRAL	3	4	39	268	230	1	2	16	81	56											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	2	0	6	35	26	-	0	3	12	-											
Minn.	-	0	35	121	111	1	0	13	30	35											
Mo.	1	2	10	63	61	-	1	2	24	15											
Nebr.	-	0	3	26	15	-	0	3	6	5											
N. Dak.	-	0	5	9	11	-	0	2	4	1											
S. Dak.	-	0	2	14	6	-	0	1	5	-											
S. ATLANTIC	18	18	34	562	815	4	5	13	113	186											
Del.	-	0	2	6	6	-	0	0	-	-											
D.C.	-	0	2	14	16	-	0	1	1	2											
Fla.	7	6	11	163	181	2	1	4	40	37											
Ga.	4	5	10	141	157	1	1	5	11	41											
Md.	4	0	6	4	144	1	0	4	1	47											
N.C.	3	2	10	92	110	N	0	0	N	N											
S.C.	-	1	5	38	76	-	1	4	31	23											
Va.	-	3	12	82	105	-	0	6	24	31											
W. Va.	-	0	3	22	20	-	0	1	5	5											
E.S. CENTRAL	1	4	9	110	142	2	2	11	65	56											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	0	3	22	31	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	16	5											
Tenn.	1	3	7	88	111	2	2	9	49	51											
W.S. CENTRAL	13	7	85	285	199	4	5	66	152	147											
Ark.	-	0	2	4	16	-	0	2	4	9											
La.	-	0	1	3	14	-	0	2	2	26											
Okla.	2	1	19	74	48	-	1	7	47	33											
Tex.	11	5	65	204	121	4	3	58	99	79											
MOUNTAIN	3	11	22	362	379	1	5	12	160	149											
Ariz.	2	4	9	136	140	1	2	8	81	70											
Colo.	1	2	8	99	97	-	1	4	44	31											
Idaho	-	0	2	11	8	-	0	1	3	2											
Mont.	N	0	0	N	N	-	0	1	3	1											
Nev.	-	0	2	6	2	N	0	0	N	N											
N. Mex.	-	2	7	66	65	-	0	3	13	27											
Utah	-	1	5	39	62	-	0	3	15	18											
Wyo.	-	0	2	5	5	-	0	1	1	-											
PACIFIC	-	2	10	80	85	-	0	2	10	11											
Alaska	-	0	3	21	15	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	10	59	70	-	0	2	10	11											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	3	-	7	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


