
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending July 9, 2005 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,202	1,158	3	8	63	64	119	108													
NEW ENGLAND	93	111	-	1	7	7	4	1													
Maine	5	7	-	-	-	-	1	-													
N.H.	4	13	-	-	-	2	-	-													
Vt.	6	5	-	-	-	-	2	1													
Mass.	42	55	-	1	2	2	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	29	28	-	-	3	3	-	-													
MID. ATLANTIC	239	238	-	1	-	3	29	28													
Upstate N.Y.	69	81	-	1	-	3	5	4													
N.Y. City	43	50	-	-	-	-	9	9													
N.J.	44	42	-	-	-	-	7	2													
Pa.	83	65	-	-	-	-	8	13													
E.N. CENTRAL	157	217	1	-	1	8	10	31													
Ohio	81	67	-	-	-	2	7	10													
Ind.	41	33	-	-	1	4	1	1													
Ill.	15	71	-	-	-	-	2	16													
Mich.	13	14	1	-	-	2	-	3													
Wis.	7	32	-	-	-	-	-	1													
W.N. CENTRAL	63	61	-	2	3	3	9	5													
Minn.	21	27	-	1	3	3	-	-													
Iowa	-	1	-	1	-	-	-	-													
Mo.	30	22	-	-	-	-	7	4													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	6	2	-	-	-	-	1	-													
Kans.	5	6	-	-	-	-	-	1													
S. ATLANTIC	283	263	1	-	17	18	15	18													
Del.	-	-	-	-	-	-	-	-													
Md.	40	46	-	-	4	5	-	-													
D.C.	-	2	-	-	-	-	-	1													
Va.	26	23	-	-	-	-	-	1													
W. Va.	16	10	-	-	1	3	3	-													
N.C.	52	37	1	-	5	5	-	1													
S.C.	13	7	-	-	-	-	1	1													
Ga.	57	74	-	-	-	-	7	14													
Fla.	79	64	-	-	7	5	4	-													
E.S. CENTRAL	71	43	-	-	1	-	12	7													
Ky.	6	3	-	-	1	-	1	-													
Tenn.	49	29	-	-	-	-	7	5													
Ala.	16	11	-	-	-	-	4	2													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	71	47	1	1	5	5	6	1													
Ark.	4	1	-	-	1	-	-	-													
La.	26	9	1	-	2	-	6	1													
Okla.	41	36	-	-	2	5	-	-													
Tex.	-	1	-	1	-	-	-	-													
MOUNTAIN	165	125	-	3	16	15	27	12													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	3	-	-	-	-	-	1	-													
Colo.	30	30	-	-	-	-	6	3													
N. Mex.	15	26	-	-	4	5	1	4													
Ariz.	89	44	-	-	10	6	9	1													
Utah	12	9	-	2	-	1	7	1													
Nev.	13	11	-	1	2	3	2	1													
PACIFIC	60	53	-	-	13	5	7	5													
Wash.	-	1	-	-	-	-	-	1													
Oreg.	24	26	-	-	-	-	5	2													
Calif.	26	17	-	-	13	5	1	1													
Alaska	4	5	-	-	-	-	1	1													
Hawaii	6	4	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	1	-	-	-	-	-	1													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


