
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending December 23, 2006 (WEEK 51)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2005
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2006
Syphillis, primary & secondary cummulative for 2005
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2006
Varicella (chickenpox) cummulative for 2005

tab delimited data:
test
UNITED STATES	34	51	333	2,470	2,547	63	175	334	8,807	8,390	382	854	2,857	41,588	29,608						
NEW ENGLAND	-	0	24	37	231	6	4	17	212	208	20	30	100	1,456	5,232						
Conn.	U	0	7	U	99	5	0	11	58	47	U	0	48	U	1,689						
Maine	-	0	2	9	N	-	0	2	8	1	-	0	20	151	325						
Mass.	-	0	5	-	102	1	2	6	118	122	-	0	17	94	2,198						
N.H.	-	0	0	-	-	-	0	2	13	15	-	6	47	479	334						
R.I.	-	0	11	13	18	-	0	2	13	22	-	0	0	-	-						
Vt.	-	0	2	15	12	-	0	1	2	1	20	12	50	732	686						
MID. ATLANTIC	5	3	15	176	201	7	21	35	1,099	1,002	97	103	184	4,986	4,897						
N.J.	N	0	0	N	N	-	3	8	150	133	-	0	0	-	-						
N.Y. (Upstate)	5	1	10	68	78	3	3	14	145	75	-	0	0	-	-						
N.Y. City	U	0	0	U	U	3	10	23	543	595	-	0	0	-	-						
Pa.	-	2	9	108	123	1	5	12	261	199	97	103	184	4,986	4,897						
E.N. CENTRAL	-	11	44	577	612	4	16	39	849	906	85	327	587	14,861	6,166						
Ill.	-	0	2	18	38	-	7	23	398	510	-	1	7	68	103						
Ind.	-	3	21	159	178	-	1	5	88	60	-	0	475	475	-						
Mich.	-	0	3	18	47	4	2	19	115	86	85	107	242	4,977	3,879						
Ohio	-	6	42	382	349	-	3	8	182	210	-	153	420	8,686	1,715						
Wis.	N	0	0	N	N	-	1	4	66	40	-	9	52	655	469						
W.N. CENTRAL	-	1	191	107	45	-	5	13	256	249	54	30	98	1,905	674						
Iowa	N	0	0	N	N	-	0	3	19	9	N	0	0	N	N						
Kans.	N	0	0	N	N	-	0	3	26	18	9	4	27	358	-						
Minn.	-	0	191	60	-	-	0	2	32	69	-	0	0	-	-						
Mo.	-	1	3	42	37	-	3	8	158	146	45	23	82	1,387	473						
Nebr.	-	0	1	1	2	-	0	2	7	4	-	0	0	-	-						
N. Dak.	-	0	0	-	3	-	0	1	1	1	-	0	17	45	65						
S. Dak.	-	0	3	4	3	-	0	3	13	2	-	1	15	115	136						
S. ATLANTIC	25	26	53	1,308	1,102	13	40	186	2,059	2,125	11	91	860	4,365	2,875						
Del.	-	0	0	-	3	3	0	2	20	10	-	1	6	64	33						
D.C.	-	0	3	27	17	-	2	9	117	113	-	0	5	48	40						
Fla.	25	14	36	740	592	6	15	23	709	709	-	0	0	-	-						
Ga.	-	7	29	436	368	-	6	147	377	498	-	0	0	-	-						
Md.	-	0	0	-	-	2	5	14	285	307	-	0	0	-	-						
N.C.	N	0	0	N	N	-	5	17	292	266	-	0	0	-	-						
S.C.	-	0	0	-	-	-	1	5	66	82	1	20	53	1,111	646						
Va.	N	0	0	N	N	2	3	17	187	137	-	31	812	1,673	1,022						
W. Va.	-	1	14	105	122	-	0	1	6	3	10	27	70	1,469	1,134						
E.S. CENTRAL	3	2	13	142	186	7	13	26	714	482	14	3	39	226	306						
Ala.	N	0	0	N	N	4	6	19	320	167	14	2	39	224	306						
Ky.	-	0	0	-	32	-	1	9	71	52	N	0	0	N	N						
Miss.	-	0	0	-	1	-	1	8	77	48	-	0	1	2	-						
Tenn.	3	2	13	142	153	3	5	13	246	215	N	0	0	N	N						
W.S. CENTRAL	-	0	5	24	117	8	29	54	1,521	1,227	97	197	1,757	10,990	6,867						
Ark.	-	0	3	12	14	-	1	6	76	52	-	14	110	926	49						
La.	-	0	4	12	103	7	4	27	297	275	-	1	8	67	129						
Okla.	N	0	0	N	N	1	1	6	74	38	-	0	0	-	-						
Tex.	N	0	0	N	N	-	22	34	1,074	862	97	176	1,647	9,997	6,689						
MOUNTAIN	1	2	9	98	53	7	8	25	415	416	4	59	137	2,799	2,591						
Ariz.	N	0	0	N	N	7	3	16	187	168	-	0	0	-	-						
Colo.	N	0	0	N	N	-	1	3	44	46	-	30	76	1,435	1,794						
Idaho	N	0	0	N	N	-	0	1	2	20	-	0	0	-	-						
Mont.	-	0	0	-	1	-	0	1	1	7	4	0	13	33	-						
Nev.	-	0	0	-	-	-	2	12	109	109	-	0	0	-	-						
N. Mex.	-	0	0	-	-	-	1	5	62	56	-	3	34	350	212						
Utah	-	1	9	54	26	-	0	2	10	10	-	18	65	917	532						
Wyo.	1	1	4	44	26	-	0	0	-	-	-	1	11	64	53						
PACIFIC	-	0	1	1	-	11	35	52	1,682	1,775	-	0	0	-	-						
Alaska	-	0	0	-	-	-	0	4	9	9	-	0	0	-	-						
Calif.	N	0	0	N	N	2	29	43	1,450	1,564	-	0	0	-	-						
Hawaii	-	0	1	1	-	-	0	2	17	11	N	0	0	N	N						
Oreg.	N	0	0	N	N	-	0	6	25	39	N	0	0	N	N						
Wash.	N	0	0	N	N	9	2	10	181	152	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	-	0	0	-	-	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	3	-	3	4	-	441						
P.R.	N	0	0	N	N	3	3	10	141	219	-	7	47	330	715						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


