
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending November 27, 1999 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	37,420	40,923	526,703	534,268	2,179	3,474	3,187	2,737	2,167	2,068											
NEW ENGLAND	1,904	1,652	17,832	18,284	134	143	385	312	335	265											
Maine	68	26	904	958	27	29	36	35	-	-											
N.H.	38	25	850	873	17	15	33	43	33	44											
Vt.	15	18	429	378	35	26	32	19	20	18											
Mass.	1,231	844	8,166	7,544	49	66	166	142	179	149											
R.I.	90	119	2,108	2,059	6	7	28	12	26	1											
Conn.	462	620	5,375	6,472	-	U	90	61	77	53											
MID. ATLANTIC	9,663	10,598	53,842	55,828	402	539	288	285	92	84											
Upstate N.Y.	1,146	1,312	N	N	160	318	227	205	-	-											
N.Y. City	5,100	5,853	21,963	23,821	116	197	10	13	17	12											
N.J.	1,741	1,930	9,567	10,645	36	24	51	67	46	51											
Pa.	1,676	1,503	22,312	21,362	90	N	N	N	29	21											
E.N. CENTRAL	2,519	2,980	72,652	90,078	546	700	660	427	480	352											
Ohio	403	568	21,000	24,398	60	70	228	115	199	70											
Ind.	285	472	10,081	10,061	38	52	99	96	61	52											
Ill.	1,201	1,187	22,015	24,137	67	83	221	108	81	76											
Mich.	504	577	19,556	18,875	47	38	112	108	75	67											
Wis.	126	176	U	12,607	334	457	N	N	64	87											
W.N. CENTRAL	846	811	32,128	31,826	201	316	578	454	396	389											
Minn.	161	147	6,196	6,390	77	130	227	188	174	203											
Iowa	72	62	4,423	4,077	55	63	112	91	73	58											
Mo.	408	400	12,115	11,309	29	26	60	49	60	62											
N. Dak.	6	5	707	952	18	30	16	11	14	15											
S. Dak.	13	15	1,416	1,410	7	24	45	33	60	37											
Nebr.	61	66	3,045	2,609	14	35	97	49	-	-											
Kans.	125	116	4,226	5,079	1	8	21	33	15	14											
S. ATLANTIC	10,275	10,999	114,214	103,607	360	332	327	235	157	165											
Del.	147	152	2,400	2,354	-	3	6	-	3	2											
Md.	1,242	1,482	10,418	6,665	18	19	41	41	4	14											
D.C.	496	808	N	N	8	25	1	1	U	U											
Va.	689	884	12,850	12,309	27	20	71	N	56	51											
W. Va.	61	77	1,240	2,216	3	2	12	12	9	10											
N.C.	688	753	19,884	20,061	27	N	71	54	51	47											
S.C.	847	720	10,696	15,683	-	-	20	15	14	12											
Ga.	1,466	1,173	30,030	21,883	128	122	32	73	-	-											
Fla.	4,639	4,950	26,696	22,436	149	141	73	39	20	29											
E.S. CENTRAL	1,666	1,680	40,597	36,750	28	24	117	116	58	64											
Ky.	236	262	6,718	5,834	7	10	46	34	-	-											
Tenn.	643	620	12,363	12,306	6	8	43	53	38	40											
Ala.	423	455	11,393	9,148	11	N	23	23	16	20											
Miss.	364	343	10,123	9,462	4	6	5	6	4	4											
W.S. CENTRAL	3,822	5,127	73,961	81,013	82	901	127	97	120	101											
Ark.	158	189	5,408	3,644	2	6	15	11	8	10											
La.	742	874	11,220	13,684	22	16	9	5	14	7											
Okla.	113	274	7,341	8,588	10	N	30	23	26	8											
Tex.	2,809	3,790	49,992	55,097	48	879	73	58	72	76											
MOUNTAIN	1,469	1,449	27,944	29,923	93	121	311	355	197	243											
Mont.	11	28	1,393	1,205	10	10	24	15	-	5											
Idaho	21	28	1,557	1,845	8	17	64	38	20	25											
Wyo.	10	3	710	635	1	2	15	53	14	55											
Colo.	271	286	5,273	7,300	12	18	108	88	88	67											
N. Mex.	78	188	3,308	3,491	42	47	12	19	5	20											
Ariz.	745	588	11,021	10,431	12	18	33	43	20	26											
Utah	129	114	1,935	1,975	N	N	38	75	48	21											
Nev.	204	214	2,747	3,041	8	9	17	24	2	24											
PACIFIC	5,256	5,627	93,533	86,959	333	398	394	456	332	405											
Wash.	305	386	10,793	9,913	N	N	151	105	158	128											
Oreg.	185	146	5,455	5,199	92	65	74	104	68	99											
Calif.	4,673	4,919	73,135	67,809	241	330	158	240	94	162											
Alaska	13	17	1,611	1,703	-	-	1	7	1	-											
Hawaii	80	159	2,539	2,335	-	3	10	-	11	16											
Guam	5	1	302	380	-	-	N	N	U	U											
P.R.	1,094	1,601	U	U	-	N	7	5	U	U											
V.I.	36	31	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


