
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending May 18, 2013 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2013
Shigellosis cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012

tab delimited data:
test
UNITED STATES	87	263	426	2,532	4,708	3	2	13	30	53	22	47	231	197	664						
NEW ENGLAND	1	4	13	64	47	-	0	1	-	-	-	0	3	1	4						
Conn.	-	1	3	16	11	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	2	1	2	-	0	0	-	-	-	0	1	-	2						
Mass.	1	2	10	38	32	-	0	0	-	-	-	0	3	-	-						
N.H.	-	0	1	3	1	-	0	0	-	-	-	0	1	1	-						
R.I.	-	0	5	4	-	-	0	0	-	-	-	0	3	-	2						
Vt.	-	0	1	2	1	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	4	34	74	240	1,052	-	0	1	1	3	-	2	12	8	64						
N.J.	-	6	30	26	543	-	0	0	-	-	-	0	10	-	41						
N.Y. (Upstate)	4	13	60	86	178	-	0	1	-	2	-	0	7	2	2						
N.Y. City	-	7	18	103	281	-	0	0	-	-	-	0	3	3	7						
Pa.	-	2	7	25	50	-	0	1	1	1	-	0	5	3	14						
E.N. CENTRAL	12	39	114	606	455	1	0	2	2	3	1	2	18	13	57						
Ill.	-	5	17	57	60	-	0	1	-	2	-	1	12	4	33						
Ind.	-	1	17	18	26	1	0	1	2	1	-	1	6	5	12						
Mich.	2	3	14	70	97	-	0	1	-	-	-	0	2	-	-						
Ohio	10	28	103	447	248	-	0	0	-	-	1	0	3	3	7						
Wis.	-	1	13	14	24	-	0	0	-	-	-	0	3	1	5						
W.N. CENTRAL	2	14	46	78	218	1	0	2	2	-	1	2	27	16	78						
Iowa	-	2	11	24	5	-	0	0	-	-	-	0	1	1	4						
Kans.	-	1	4	11	66	-	0	0	-	-	-	0	0	-	-						
Minn.	-	6	20	-	103	-	0	0	-	-	-	0	2	-	4						
Mo.	-	1	4	15	28	1	0	2	2	-	1	2	25	15	69						
Nebr.	2	2	22	21	14	-	0	1	-	-	-	0	1	-	1						
N. Dak.	-	0	2	5	1	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	3	2	1	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	30	44	98	482	1,149	-	1	8	21	35	13	14	145	66	95						
Del.	-	0	4	2	1	-	0	0	-	-	-	0	2	3	9						
D.C.	-	0	3	-	10	-	0	0	-	-	-	0	0	-	1						
Fla.	24	21	66	175	690	-	0	1	1	-	1	0	3	6	7						
Ga.	4	11	20	187	264	-	1	8	19	30	-	0	0	-	-						
Md.	2	2	14	26	99	-	0	0	-	-	-	0	2	5	3						
N.C.	-	2	10	40	41	-	0	4	-	-	11	0	133	18	20						
S.C.	-	1	5	32	11	-	0	1	1	4	-	1	6	6	5						
Va.	-	1	6	19	28	-	0	1	-	1	1	4	35	28	50						
W. Va.	-	0	1	1	5	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	9	18	41	185	498	1	0	2	1	2	7	8	57	72	167						
Ala.	7	4	20	70	132	-	0	1	-	1	-	2	13	14	26						
Ky.	1	4	21	21	183	-	0	1	-	1	-	1	7	6	8						
