
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending November 3, 2007 (WEEK 44)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	43	98	261	4,188	4,521	23	29	108	1,307	1,108											
NEW ENGLAND	-	5	28	343	307	5	2	11	108	102											
Conn.	-	0	23	111	80	-	0	6	15	30											
Maine	-	0	3	23	17	-	0	1	2	-											
Mass.	-	3	12	155	155	4	2	6	72	60											
N.H.	-	0	4	32	35	1	0	2	9	8											
R.I.	-	0	12	6	7	-	0	2	8	4											
Vt.	-	0	2	16	13	-	0	1	2	-											
MID. ATLANTIC	1	17	41	769	814	4	4	37	225	159											
N.J.	-	3	10	108	131	-	1	4	26	55											
N.Y. (Upstate)	1	5	27	253	262	4	3	15	94	78											
N.Y. City	-	4	13	181	147	-	1	35	105	26											
Pa.	-	5	11	227	274	N	0	0	N	N											
E.N. CENTRAL	7	16	33	695	857	1	5	14	192	289											
Ill.	-	5	13	190	260	-	1	6	48	78											
Ind.	3	2	12	105	102	1	0	10	18	47											
Mich.	1	4	10	170	179	-	1	4	60	64											
Ohio	3	4	14	200	214	-	1	7	54	58											
Wis.	-	0	6	30	102	-	0	2	12	42											
W.N. CENTRAL	8	5	32	286	303	6	2	8	100	98											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	0	3	29	50	-	0	1	1	11											
Minn.	7	0	29	144	136	4	0	6	68	61											
Mo.	-	2	6	68	67	2	0	2	19	13											
Nebr.	-	0	3	23	28	-	0	1	11	10											
N. Dak.	-	0	2	13	12	-	0	2	1	3											
S. Dak.	-	0	2	9	10	-	0	0	-	-											
S. ATLANTIC	15	21	52	1,067	1,022	1	5	14	235	66											
Del.	-	0	1	10	10	-	0	0	-	-											
D.C.	-	0	3	8	15	-	0	1	-	1											
Fla.	9	6	16	269	255	1	1	5	58	-											
Ga.	-	5	13	212	217	-	0	5	44	-											
Md.	5	4	10	183	187	-	1	6	53	54											
N.C.	1	1	22	145	145	-	0	0	-	-											
S.C.	-	1	7	84	56	-	1	4	42	-											
Va.	-	2	11	131	112	-	0	4	31	-											
W. Va.	-	0	3	25	25	-	0	4	7	11											
E.S. CENTRAL	7	4	13	186	184	-	1	6	78	17											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	35	41	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	17											
Tenn.	7	3	13	151	143	-	1	6	75	-											
W.S. CENTRAL	3	6	90	265	345	5	4	43	187	185											
Ark.	-	0	2	17	24	-	0	2	10	20											
La.	-	0	4	16	16	-	0	4	27	20											
Okla.	2	1	23	63	90	2	1	13	45	47											
Tex.	1	3	64	169	215	3	2	27	105	98											
MOUNTAIN	2	10	23	461	583	1	4	12	154	172											
Ariz.	1	4	11	180	302	1	2	7	92	94											
Colo.	-	3	9	128	103	-	0	4	36	46											
Idaho	-	0	2	16	8	-	0	1	2	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	4	50	112	-	0	4	19	27											
Utah	1	2	7	80	54	-	0	2	4	-											
Wyo.	-	0	1	5	4	-	0	0	-	-											
PACIFIC	-	3	9	116	106	-	0	4	28	20											
Alaska	-	0	3	31	N	-	0	2	26	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	85	106	-	0	2	2	20											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


