
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 6, 2007 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2007
Lyme disease cummulative for 2006
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2007
Malaria cummulative for 2006
Meningococcal diseases, invasive †, all serogroups current week
Meningococcal diseases, invasive †, all serogroups previous 52 weeks median 
Meningococcal diseases, invasive †, all serogroups previous 52 weeks maximum 
Meningococcal diseases, invasive †, all serogroups cummulative for 2007
Meningococcal diseases, invasive †, all serogroups cummulative for 2006

tab delimited data:
test
UNITED STATES	19	219	996	19	71	6	25	39	6	17	6	20	45	6	27						
NEW ENGLAND	-	18	260	-	4	-	0	6	-	-	-	1	3	-	1						
Conn.	-	8	227	-	-	-	0	3	-	-	-	0	2	-	-						
Maine	-	2	34	-	2	-	0	1	-	-	-	0	2	-	1						
Mass.	-	0	3	-	2	-	0	3	-	-	-	0	2	-	-						
N.H.	-	3	95	-	-	-	0	3	-	-	-	0	2	-	-						
R.I.	-	0	93	-	-	-	0	1	-	-	-	0	1	-	-						
Vt.	-	1	15	-	-	-	0	1	-	-	-	0	1	-	-						
MID. ATLANTIC	16	131	556	16	43	1	5	13	1	4	-	3	11	-	5						
N.J.	-	27	184	-	16	-	0	3	-	2	-	0	2	-	-						
N.Y. (Upstate)	16	59	250	16	1	1	1	7	1	-	-	0	4	-	-						
N.Y. City	-	0	18	-	-	-	3	9	-	1	-	1	4	-	2						
Pa.	-	36	231	-	26	-	1	4	-	1	-	0	4	-	3						
E.N. CENTRAL	-	10	151	-	4	1	2	7	1	4	2	2	12	2	7						
Ill.	-	0	0	-	-	-	1	5	-	2	-	0	4	-	4						
Ind.	-	0	3	-	-	-	0	3	-	-	-	0	5	-	-						
Mich.	-	1	5	-	-	-	0	2	-	-	-	0	3	-	1						
Ohio	-	1	5	-	1	1	0	3	1	-	2	1	4	2	1						
Wis.	-	10	147	-	3	-	0	2	-	2	-	0	2	-	1						
W.N. CENTRAL	1	5	169	1	-	-	0	14	-	2	-	1	4	-	1						
Iowa	-	1	8	-	-	-	0	1	-	-	-	0	2	-	-						
Kans.	1	0	2	1	-	-	0	2	-	-	-	0	1	-	-						
Minn.	-	2	167	-	-	-	0	12	-	-	-	0	3	-	-						
Mo.	-	0	2	-	-	-	0	1	-	1	-	0	2	-	-						
Nebr.	-	0	2	-	-	-	0	1	-	-	-	0	2	-	1						
N. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	1	-	0	1	-	-						
S. ATLANTIC	-	29	117	-	20	2	6	14	2	4	2	4	14	2	1						
Del.	-	7	28	-	5	-	0	1	-	-	-	0	1	-	-						
D.C.	-	0	7	-	1	-	0	2	-	-	-	0	1	-	-						
Fla.	-	1	5	-	-	2	1	4	2	1	1	2	7	1	1						
Ga.	-	0	1	-	-	-	2	6	-	3	1	0	3	1	-						
Md.	-	13	74	-	12	-	1	5	-	-	-	0	2	-	-						
N.C.	-	0	4	-	2	-	0	4	-	-	-	0	11	-	-						
S.C.	-	0	2	-	-	-	0	2	-	-	-	0	2	-	-						
Va.	-	4	29	-	-	-	1	4	-	-	-	0	4	-	-						
W. Va.	-	0	3	-	-	-	0	1	-	-	-	0	2	-	-						
E.S. CENTRAL	-	0	3	-	-	-	0	3	-	-	-	1	3	-	-						
Ala.	-	0	3	-	-	-	0	2	-	-	-	0	2	-	-						
Ky.	-	0	2	-	-	-	0	1	-	-	-	0	1	-	-						
Miss.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
Tenn.	-	0	2	-	-	-	0	2	-	-	-	0	2	-	-						
W.S. CENTRAL	-	0	3	-	-	-	1	7	-	-	-	1	4	-	1						
Ark.	-	0	0	-	-	-	0	2	-	-	-	0	1	-	1						
La.	-	0	0	-	-	-	0	1	-	-	-	0	2	-	-						
Okla.	-	0	0	-	-	-	0	2	-	-	-	0	3	-	-						
Tex.	-	0	3	-	-	-	1	6	-	-	-	0	3	-	-						
MOUNTAIN	-	0	3	-	-	-	1	6	-	-	-	1	5	-	3						
Ariz.	-	0	2	-	-	-	0	3	-	-	-	0	3	-	1						
Colo.	-	0	1	-	-	-	0	2	-	-	-	0	2	-	1						
Idaho	-	0	2	-	-	-	0	1	-	-	-	0	1	-	-						
Mont.	-	0	0	-	-	-	0	1	-	-	-	0	1	-	-						
Nev.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
N. Mex.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
Utah	-	0	1	-	-	-	0	2	-	-	-	0	1	-	1						
Wyo.	-	0	1	-	-	-	0	0	-	-	-	0	2	-	-						
PACIFIC	2	3	10	2	-	2	4	13	2	3	2	5	16	2	8						
