
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending November 26, 2005 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	35,513	822,513	826,334	4,281	5,398	6,838	3,294													
NEW ENGLAND	778	1,129	28,633	26,951	-	-	312	161													
Maine	11	23	2,003	1,880	N	N	25	18													
N.H.	20	39	1,632	1,557	-	-	33	30													
Vt.	4	14	846	1,016	-	-	35	23													
Mass.	368	425	12,984	12,023	-	-	130	59													
R.I.	68	114	2,838	3,064	-	-	13	4													
Conn.	307	514	8,330	7,411	N	N	76	27													
MID. ATLANTIC	4,352	7,866	103,783	101,690	-	-	3,121	537													
Upstate N.Y.	800	855	20,906	20,535	N	N	2,691	170													
N.Y. City	2,327	4,452	33,440	31,157	-	-	121	129													
N.J.	574	1,302	15,984	15,776	N	N	63	43													
Pa.	651	1,257	33,453	34,222	N	N	246	195													
E.N. CENTRAL	1,938	2,818	135,862	145,700	11	13	1,404	982													
Ohio	312	541	36,579	35,948	N	N	751	211													
Ind.	236	327	18,137	16,709	N	N	77	70													
Ill.	983	1,274	40,565	43,027	-	-	134	150													
Mich.	322	535	24,184	32,583	11	13	101	144													
Wis.	85	141	16,397	17,433	N	N	341	407													
W.N. CENTRAL	463	720	50,663	51,460	5	6	547	376													
Minn.	123	190	9,702	10,626	3	N	131	123													
Iowa	50	57	6,461	6,271	N	N	105	81													
Mo.	198	297	20,016	19,140	1	3	244	66													
N. Dak.	5	16	1,066	1,616	N	N	1	12													
S. Dak.	10	8	2,496	2,294	-	-	24	37													
Nebr.	18	44	4,559	4,768	1	3	9	27													
Kans.	59	108	6,363	6,745	N	N	33	30													
S. ATLANTIC	6,473	11,141	156,225	154,760	2	-	663	490													
Del.	100	136	3,068	2,658	N	N	5	-													
Md.	812	1,293	16,599	17,350	2	-	34	22													
D.C.	467	785	3,415	3,208	-	-	15	15													
Va.	307	565	18,495	19,545	-	-	60	57													
W. Va.	36	71	2,455	2,517	N	N	14	6													
N.C.	531	1,015	28,137	25,924	N	N	84	75													
S.C.	386	643	18,983	17,005	-	-	17	22													
Ga.	1,103	1,410	26,997	28,553	-	-	111	171													
Fla.	2,731	5,223	38,076	38,000	N	N	323	122													
E.S. CENTRAL	1,093	1,647	62,070	54,513	-	5	202	134													
Ky.	135	212	7,724	5,643	N	N	138	43													
Tenn.	434	684	21,377	20,109	N	N	40	41													
Ala.	295	382	14,324	12,127	-	-	20	22													
Miss.	229	369	18,645	16,634	-	5	4	28													
W.S. CENTRAL	2,206	4,223	94,438	99,841	1	3	180	127													
Ark.	72	183	7,798	7,210	-	1	6	15													
La.	436	799	14,484	20,066	1	2	81	5													
Okla.	167	169	9,570	9,494	N	N	41	22													
Tex.	1,531	3,072	62,586	63,071	N	N	52	85													
MOUNTAIN	789	1,242	46,338	50,858	2,944	3,396	124	160													
Mont.	4	5	2,019	2,230	N	N	18	34													
Idaho	9	17	2,253	2,555	N	N	15	27													
Wyo.	2	14	1,028	973	3	2	3	4													
Colo.	163	278	11,712	13,047	N	N	48	55													
N. Mex.	72	164	5,135	8,088	14	21	8	18													
Ariz.	329	454	15,034	14,791	2,889	3,292	9	15													
Utah	33	62	3,831	3,399	6	23	14	5													
Nev.	177	248	5,326	5,775	32	58	9	2													
PACIFIC	2,313	4,727	144,501	140,561	1,318	1,975	285	327													
Wash.	229	348	16,762	15,872	N	N	43	42													
Oreg.	136	249	8,088	7,598	-	-	65	29													
Calif.	1,874	3,981	113,024	108,753	1,318	1,975	173	254													
Alaska	14	43	3,547	3,481	-	-	3	-													
Hawaii	60	106	3,080	4,857	-	-	1	2													
Guam	1	1	-	803	-	-	-	-													
P.R.	537	635	3,413	3,141	N	N	N	N													
V.I.	10	18	196	308	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


