
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending June 25, 2011 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2010
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2010
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2011
Syphillis, primary & secondary cummulative for 2010

tab delimited data:
test
UNITED STATES	73	282	937	7,563	9,247	6	24	101	582	1,136	55	256	363	5,399	6,186						
NEW ENGLAND	-	11	79	216	484	-	1	5	24	67	2	8	19	177	218						
Conn.	-	0	49	8	216	-	0	3	6	20	-	1	8	24	42						
Maine	-	2	13	76	76	-	0	1	3	5	-	0	3	9	14						
Mass.	-	0	3	14	50	-	0	3	6	35	-	5	14	106	136						
N.H.	-	2	8	65	70	-	0	1	4	3	-	0	3	12	10						
R.I.	-	0	36	8	19	-	0	3	-	1	2	0	7	22	14						
Vt.	-	1	6	45	53	-	0	2	5	3	-	0	2	4	2						
MID. ATLANTIC	5	22	81	527	971	2	3	27	75	148	9	31	46	661	802						
N.J.	-	6	29	96	432	-	1	4	24	38	-	4	10	96	121						
N.Y. (Upstate)	3	2	10	54	99	2	1	9	30	75	4	3	20	85	50						
N.Y. City	2	13	42	377	440	-	0	14	21	35	3	15	31	322	445						
Pa.	N	0	0	N	N	N	0	0	N	N	2	7	13	158	186						
E.N. CENTRAL	2	65	110	1,748	1,899	-	4	10	101	167	-	30	56	565	909						
Ill.	N	0	0	N	N	N	0	0	N	N	-	14	23	217	449						
Ind.	-	14	32	361	429	-	1	4	16	33	-	3	14	66	69						
Mich.	1	14	29	404	436	-	1	4	24	53	-	4	10	90	131						
Ohio	-	25	45	710	734	-	2	7	49	57	-	9	21	171	237						
Wis.	1	9	24	273	300	-	0	3	12	24	-	1	4	21	23						
W.N. CENTRAL	3	5	35	90	497	-	1	5	4	68	-	7	18	133	133						
Iowa	N	0	0	N	N	N	0	0	N	N	-	0	3	10	9						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	3	7	10						
Minn.	-	3	24	-	378	-	0	5	-	55	-	3	10	56	37						
Mo.	N	0	0	N	N	N	0	0	N	N	-	2	9	58	72						
Nebr.	3	2	9	72	81	-	0	1	4	11	-	0	2	2	5						
N. Dak.	-	0	18	18	38	-	0	1	-	2	-	0	1	-	-						
S. Dak.	N	0	0	N	N	N	0	0	N	N	-	0	1	-	-						
S. ATLANTIC	30	68	170	2,137	2,489	3	7	22	160	312	27	62	178	1,432	1,411						
Del.	-	1	6	33	21	-	0	1	-	-	1	0	4	9	3						
D.C.	-	1	3	28	50	-	0	1	4	7	-	3	8	96	66						
Fla.	15	23	68	864	946	1	3	13	77	124	4	23	44	509	493						
Ga.	7	18	54	478	805	1	2	7	39	96	3	10	130	222	306						
