
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 27, 2006 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	98	101	148	1,877	2,488	13	37	245	409	264	417	847	2,281	10,345	11,444						
NEW ENGLAND	13	12	26	222	298	-	0	2	1	1	4	34	135	519	647						
Conn.	2	3	13	51	64	-	0	0	-	-	-	7	127	127	139						
Maine	-	1	4	27	22	N	0	0	N	N	-	2	8	20	56						
Mass.	7	4	17	114	178	-	0	2	1	-	2	19	41	302	351						
N.H.	-	0	3	5	4	-	0	1	-	-	-	2	12	29	48						
R.I.	-	0	4	1	7	-	0	2	-	1	2	0	17	30	19						
Vt.	4	1	7	24	23	-	0	0	-	-	-	1	10	11	34						
MID. ATLANTIC	9	18	40	314	335	-	1	7	9	21	39	84	272	1,087	1,399						
N.J.	N	0	0	N	N	-	0	3	-	7	-	12	41	98	267						
N.Y. (Upstate)	9	12	24	180	162	-	0	1	-	-	29	22	233	295	328						
N.Y. City	-	0	3	-	11	-	0	2	2	1	1	22	44	289	373						
Pa.	-	7	22	134	162	-	1	5	7	13	9	30	61	405	431						
E.N. CENTRAL	1	2	9	22	93	1	0	7	6	7	58	95	241	1,367	1,680						
Ill.	-	0	4	-	12	-	0	4	1	4	-	27	163	256	669						
Ind.	-	0	3	3	3	-	0	1	1	-	16	11	69	195	152						
Mich.	-	0	4	14	8	-	0	1	-	1	10	16	35	247	288						
Ohio	1	0	2	5	70	1	0	3	4	2	31	25	52	426	300						
Wis.	N	0	2	N	N	-	0	1	-	-	1	15	44	243	271						
W.N. CENTRAL	5	5	15	87	135	6	2	14	33	24	18	46	90	717	747						
Iowa	-	0	4	16	-	-	0	2	-	1	-	7	18	103	136						
Kans.	-	1	5	28	42	-	0	1	1	1	2	7	17	106	97						
Minn.	-	1	5	11	29	-	0	1	1	-	10	10	30	184	180						
Mo.	1	1	6	9	19	6	1	13	31	21	6	16	40	225	196						
Nebr.	-	0	0	-	-	-	0	2	-	-	-	4	12	64	70						
N. Dak.	4	0	5	6	8	-	0	1	-	-	-	0	46	4	12						
S. Dak.	-	1	4	17	37	-	0	2	-	1	-	2	9	31	56						
S. ATLANTIC	57	35	65	726	940	1	17	94	313	150	124	255	514	2,775	3,006						
Del.	-	0	0	-	-	-	0	2	2	1	-	2	9	27	25						
D.C.	-	0	0	-	-	-	0	1	-	-	-	1	7	23	17						
Fla.	-	0	22	60	201	-	0	3	10	8	94	99	230	1,228	1,104						
Ga.	42	3	27	85	123	-	1	11	17	21	15	38	87	414	387						
Md.	-	8	16	118	132	-	1	6	16	12	-	13	39	152	220						
N.C.	15	8	20	144	198	1	6	87	254	87	9	30	114	453	423						
S.C.	-	3	11	47	77	-	1	6	3	14	6	21	129	229	493						
Va.	-	10	26	232	196	-	2	10	10	6	-	19	66	222	298						
W. Va.	-	1	13	40	13	-	0	2	1	1	-	3	19	27	39						
E.S. CENTRAL	7	3	16	111	55	4	5	24	34	32	34	49	102	615	654						
Ala.	7	1	6	33	30	-	0	9	11	7	25	13	41	239	164						
Ky.	-	0	5	5	6	-	0	1	-	-	2	8	27	106	104						
Miss.	-	0	1	-	-	-	0	3	-	2	-	9	31	94	130						
Tenn.	-	1	9	73	19	4	3	18	23	23	7	14	41	176	256						
W.S. CENTRAL	1	13	30	281	463	1	1	160	9	10	22	85	922	919	931						
Ark.	1	0	3	15	14	1	0	32	6	2	16	14	67	280	140						
La.	-	0	0	-	-	-	0	2	-	3	-	10	43	110	223						
Okla.	-	1	9	24	48	-	0	153	1	5	6	7	48	87	102						
Tex.	-	11	27	242	401	-	0	8	2	-	-	44	839	442	466						
MOUNTAIN	1	4	16	48	103	-	0	6	3	18	26	49	110	710	715						
Ariz.	-	2	11	41	84	-	0	6	2	12	8	14	67	215	207						
Colo.	-	0	3	-	7	-	0	1	-	1	-	12	45	208	166						
Idaho	-	0	12	-	-	-	0	2	-	1	-	2	15	39	49						
Mont.	-	0	3	5	-	-	0	0	-	1	4	2	16	41	34						
Nev.	-	0	2	-	-	-	0	0	-	-	-	3	8	34	67						
N. Mex.	-	0	1	-	1	-	0	1	-	2	-	4	13	45	75						
Utah	-	0	5	1	-	-	0	0	-	-	13	5	30	103	100						
Wyo.	1	0	2	1	11	-	0	1	1	1	1	1	12	25	17						
PACIFIC	4	3	15	66	66	-	0	1	1	1	92	102	426	1,636	1,665						
Alaska	-	0	4	11	1	-	0	0	-	-	1	1	7	34	17						
Calif.	3	3	15	53	64	-	0	1	1	-	83	77	292	1,235	1,282						
Hawaii	-	0	0	-	-	-	0	0	-	-	1	5	15	82	104						
Oreg.	1	0	1	2	1	-	0	1	-	1	1	7	25	140	147						
Wash.	U	0	0	U	U	N	0	0	N	N	6	10	124	145	115						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	2	U	1						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	5						
P.R.	6	1	6	46	35	N	0	0	N	N	4	12	35	41	175						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


