
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 20, 1999 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999*
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1999
Gonorrhea cummulative for 1999
Gonorrhea cummulative for 1998
Hepatitis C/NA,NB cummulative for 1999
Hepatitis C/NA,NB cummulative for 1998

tab delimited data:
test
UNITED STATES	3,137	4,884	57,395	74,787	136	37	34,046	45,267	240	439											
NEW ENGLAND	158	184	1,683	2,831	22	11	513	828	38	16											
Maine	3	2	72	136	1	-	8	6	-	-											
N.H.	3	10	109	131	1	-	7	19	-	-											
Vt.	-	5	51	36	-	-	6	1	-	2											
Mass.	124	70	1,143	1,156	14	7	407	297	38	14											
R.I.	9	13	299	343	-	-	83	46	-	-											
Conn.	19	84	9	1,029	6	4	2	459	-	-											
MID. ATLANTIC	489	1,005	8,745	10,787	8	-	4,464	6,181	4	25											
Upstate N.Y.	17	116	N	N	6	-	258	682	4	23											
N.Y. City	237	490	4,910	4,763	-	-	2,376	2,238	-	-											
N.J.	162	237	484	1,579	2	-	210	1,035	-	-											
Pa.	73	162	3,351	4,445	N	-	1,620	2,226	-	2											
E.N. CENTRAL	179	317	9,795	11,562	31	4	7,181	9,247	80	72											
Ohio	38	56	3,003	3,866	19	3	1,828	2,287	-	3											
Ind.	25	79	-	-	5	-	726	866	-	1											
Ill.	77	101	3,558	2,746	2	-	2,211	2,681	1	10											
Mich.	22	57	2,829	3,081	5	-	2,233	2,677	79	58											
Wis.	17	24	405	1,869	N	1	183	736	-	-											
W.N. CENTRAL	110	64	1,978	4,686	28	9	691	1,866	-	65											
Minn.	20	15	578	951	12	8	225	331	-	-											
Iowa	3	6	234	455	5	1	73	131	-	1											
Mo.	72	22	-	1,624	1	-	-	791	-	63											
N. Dak.	-	-	-	127	2	-	-	11	-	-											
S. Dak.	-	4	238	224	-	-	23	34	-	-											
Nebr.	6	9	338	434	2	-	157	161	-	-											
Kans.	9	8	590	871	6	-	213	407	-	1											
S. ATLANTIC	883	1,458	15,559	13,455	14	5	11,804	11,181	26	12											
Del.	13	13	406	295	-	-	234	204	-	-											
Md.	81	218	1,106	959	1	-	1,107	1,066	15	2											
D.C.	8	125	N	N	-	-	452	443	-	-											
Va.	54	109	1,911	1,697	5	-	1,667	964	4	1											
W. Va.	10	5	332	691	-	1	76	224	1	-											
N.C.	69	105	2,981	2,535	2	2	2,662	2,237	-	5											
S.C.	60	91	3,859	2,203	1	1	2,038	1,633	1	-											
Ga.	111	113	1,321	2,707	1	-	857	2,352	-	-											
Fla.	477	679	3,643	2,368	4	1	2,711	2,058	5	4											
E.S. CENTRAL	157	266	4,686	5,001	7	-	4,214	5,156	17	17											
Ky.	15	38	-	759	-	-	-	507	-	4											
Tenn.	64	82	1,814	1,761	5	-	1,527	1,618	16	11											
Ala.	31	86	1,783	1,283	2	-	1,657	1,746	1	2											
Miss.	47	60	1,089	1,198	-	-	1,030	1,285	-	-											
W.S. CENTRAL	532	871	4,143	10,460	3	-	2,948	6,594	7	10											
Ark.	19	33	630	375	1	-	281	578	-	1											
La.	27	134	2,275	1,674	1	-	2,005	1,446	6	-											
Okla.	6	52	1,238	1,032	-	-	662	572	-	-											
Tex.	480	652	-	7,379	1	-	-	3,998	1	9											
MOUNTAIN	45	192	2,345	3,693	6	1	543	1,079	14	52											
Mont.	-	5	163	107	-	-	3	6	2	4											
Idaho	4	5	186	255	-	-	10	19	3	15											
Wyo.	-	-	-	109	-	-	-	7	-	13											
Colo.	26	39	707	839	2	1	151	376	3	3											
N. Mex.	4	36	590	576	2	-	118	114	3	7											
Ariz.	4	61	522	1,299	1	-	243	455	2	-											
Utah	4	22	177	266	1	-	18	31	1	6											
Nev.	U	24	U	242	U	-	U	71	U	4											
PACIFIC	584	527	8,461	12,312	17	7	1,688	3,135	54	170											
Wash.	29	31	341	1,427	1	2	48	258	2	1											
Oreg.	15	13	508	763	6	5	71	124	-	1											
Calif.	525	468	7,170	9,611	10	-	1,491	2,652	52	136											
Alaska	5	-	245	243	-	-	45	47	-	-											
Hawaii	10	15	197	268	-	-	33	54	-	32											
Guam	1	-	-	37	N	-	-	4	-	-											
P.R.	92	88	U	U	1	U	42	73	-	-											
V.I.	-	8	N	N	N	U	U	U	U	U											
Amer. Samoa	-	-	U	U	N	U	U	U	U	U											
C.N.M.I.	-	-	N	N	N	U	-	7	-	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


