
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending February 4, 2006 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2006
Hepatitis (Viral Acute), Type A cummulative for 2005
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2006
Hepatitis (Viral Acute), Type B cummulative for 2005
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2006
Legionellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	42	78	176	271	352	32	102	139	253	541	19	37	111	84	121						
NEW ENGLAND	3	8	23	11	45	-	5	12	13	22	-	2	11	3	3						
Conn.	-	1	3	1	8	-	0	5	-	4	-	0	8	1	-						
Maine	-	0	2	-	-	-	0	2	-	-	-	0	1	-	-						
Mass.	-	6	14	4	34	-	3	10	11	17	-	1	5	1	3						
N.H.	1	1	12	3	3	-	0	3	2	-	-	0	1	-	-						
R.I.	1	0	4	1	-	-	0	2	-	-	-	0	7	-	-						
Vt.	1	0	1	2	-	-	0	1	-	1	-	0	3	1	-						
MID. ATLANTIC	1	13	24	14	71	-	14	37	12	108	6	11	53	24	37						
N.J.	-	3	11	-	14	-	5	26	-	63	-	1	12	-	5						
N.Y. (Upstate)	1	2	8	4	6	-	2	7	1	3	3	3	25	6	8						
N.Y. City	-	5	12	6	37	-	2	7	1	13	-	1	20	1	-						
Pa.	-	1	6	4	14	-	4	9	10	29	3	5	17	17	24						
E.N. CENTRAL	2	7	18	21	35	2	10	25	18	58	3	6	23	11	34						
Ill.	-	1	9	-	17	-	2	7	-	18	-	0	2	-	7						
Ind.	-	1	10	1	1	-	0	11	-	1	-	0	5	-	3						
Mich.	-	2	11	11	10	-	3	7	5	20	-	2	6	5	10						
Ohio	2	1	7	8	3	2	2	8	12	17	3	3	19	6	12						
Wis.	-	1	5	1	4	-	0	6	1	2	-	0	2	-	2						
W.N. CENTRAL	3	1	31	9	9	1	5	13	7	21	-	1	12	2	5						
Iowa	-	0	2	-	1	-	0	2	-	1	-	0	1	-	-						
Kans.	3	0	2	7	1	1	0	3	2	4	-	0	1	-	-						
Minn.	-	0	31	-	-	-	0	6	-	-	-	0	10	-	-						
Mo.	-	0	5	2	5	-	3	7	5	10	-	0	3	2	5						
Nebr.	-	0	3	-	2	-	0	2	-	6	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	6	-	-						
S. ATLANTIC	18	12	33	47	43	12	25	49	86	150	6	9	19	24	22						
Del.	-	0	1	1	-	-	1	6	1	5	-	0	4	1	-						
D.C.	-	0	2	1	-	-	0	4	-	-	-	0	2	-	-						
Fla.	4	5	18	22	18	5	9	21	39	46	6	2	6	11	8						
Ga.	2	1	6	3	15	1	2	7	4	38	-	1	3	-	2						
Md.	7	1	6	12	4	5	2	8	17	20	-	2	9	8	7						
N.C.	5	0	18	8	3	-	0	19	19	15	-	0	3	3	4						
S.C.	-	1	3	-	-	-	2	9	5	10	-	0	2	-	-						
Va.	-	1	6	-	3	1	2	10	1	15	-	1	7	1	-						
W. Va.	-	0	2	-	-	-	0	11	-	1	-	0	3	-	1						
E.S. CENTRAL	1	4	16	6	15	2	7	20	13	31	-	1	6	2	1						
Ala.	-	0	6	-	2	2	1	7	4	13	-	0	2	-	1						
Ky.	-	0	3	-	1	-	1	6	1	7	-	0	4	-	-						
Miss.	-	0	4	-	4	-	1	4	3	2	-	0	1	-	-						
Tenn.	1	2	13	6	8	-	2	12	5	9	-	0	4	2	-						
W.S. CENTRAL	1	5	14	2	23	5	12	25	60	40	-	0	4	1	-						
Ark.	-	0	3	-	-	-	1	4	1	7	-	0	1	-	-						
La.	-	1	5	1	7	-	1	5	2	5	-	0	2	1	-						
Okla.	1	0	1	1	-	-	0	5	-	3	-	0	3	-	-						
Tex.	-	3	10	-	16	5	9	22	57	25	-	0	3	-	-						
MOUNTAIN	-	6	21	8	38	1	10	38	7	49	-	2	8	-	8						
Ariz.	-	3	20	-	20	-	5	34	-	33	-	0	3	-	3						
Colo.	-	1	5	4	5	-	1	4	4	4	-	0	3	-	1						
Idaho	-	0	3	1	4	-	0	2	1	2	-	0	2	-	-						
Mont.	-	0	2	-	4	-	0	2	-	-	-	0	1	-	-						
Nev.	-	0	2	-	-	-	1	2	-	3	-	0	2	-	1						
N. Mex.	-	0	3	2	3	-	0	3	1	2	-	0	1	-	-						
Utah	-	0	3	1	2	1	0	5	1	5	-	0	2	-	1						
Wyo.	-	0	0	-	-	-	0	1	-	-	-	0	1	-	2						
PACIFIC	13	15	148	153	73	9	10	32	37	62	4	1	10	17	11						
Alaska	-	0	2	-	-	-	0	1	-	-	-	0	1	-	-						
