
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending June 17, 2006 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	58	108	190	2,436	2,828	33	35	246	509	392	438	810	2,287	12,545	14,211						
NEW ENGLAND	13	12	26	267	338	-	0	2	1	2	10	34	157	641	827						
Conn.	9	3	13	68	73	-	0	0	-	-	-	6	149	149	160						
Maine	-	1	5	32	31	N	0	0	N	N	-	2	7	31	79						
Mass.	4	4	17	128	192	-	0	2	1	1	4	19	41	366	453						
N.H.	-	0	3	6	4	-	0	1	-	-	2	2	12	45	69						
R.I.	-	0	4	1	11	-	0	2	-	1	4	0	17	36	27						
Vt.	-	1	7	32	27	-	0	0	-	-	-	1	10	14	39						
MID. ATLANTIC	4	19	46	480	404	-	1	7	16	30	33	73	272	1,370	1,748						
N.J.	N	0	0	N	N	-	0	3	-	10	-	11	41	191	341						
N.Y. (Upstate)	4	11	24	207	210	-	0	1	1	-	15	22	233	363	405						
N.Y. City	-	0	3	-	14	-	0	2	3	2	-	20	44	318	444						
Pa.	-	8	35	273	180	-	1	5	12	18	18	28	61	498	558						
E.N. CENTRAL	4	2	9	30	98	-	0	7	8	12	48	94	219	1,731	2,125						
Ill.	-	0	4	-	15	-	0	4	1	6	-	26	53	403	842						
Ind.	3	0	3	6	4	-	0	1	1	-	6	11	69	224	184						
Mich.	1	1	4	18	9	-	0	1	-	2	9	17	35	323	362						
Ohio	-	0	2	6	70	-	0	3	6	3	33	25	52	501	403						
Wis.	N	0	2	N	N	-	0	1	-	1	-	15	44	280	334						
W.N. CENTRAL	4	5	15	115	158	10	2	14	63	45	22	45	90	873	917						
Iowa	1	0	4	22	-	-	0	2	-	1	-	7	18	133	159						
Kans.	-	1	5	34	45	-	0	1	1	2	6	7	17	127	126						
Minn.	-	1	5	13	31	-	0	1	1	-	-	10	30	206	210						
