
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 28, 2009 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	68	189	661	1,261	1,213	20	92	159	306	554	19	42	145	100	31						
NEW ENGLAND	-	8	26	33	199	3	7	21	32	33	-	0	2	1	1						
Conn.	-	0	4	-	15	3	3	17	14	18	-	0	0	-	-						
Maine	-	1	7	20	12	-	1	5	6	3	-	0	1	1	-						
Mass.	-	2	17	-	158	-	0	0	-	-	-	0	0	-	1						
N.H.	-	1	4	7	4	-	0	3	1	4	-	0	1	-	-						
R.I.	-	1	8	2	5	-	0	4	5	4	-	0	2	-	-						
Vt.	-	0	2	4	5	-	1	6	6	4	-	0	0	-	-						
MID. ATLANTIC	5	18	52	106	139	5	33	67	55	145	-	1	28	-	3						
N.J.	-	1	6	2	10	-	0	0	-	-	-	0	2	-	2						
N.Y. (Upstate)	4	6	41	21	36	5	9	20	35	38	-	0	27	-	-						
N.Y. City	-	0	4	-	23	-	0	2	-	5	-	0	2	-	1						
Pa.	1	9	35	83	70	-	21	52	20	102	-	0	2	-	-						
E.N. CENTRAL	29	36	174	352	377	1	3	29	6	1	-	1	15	2	1						
Ill.	-	11	45	75	24	-	1	21	1	1	-	1	11	1	1						
Ind.	-	1	96	12	3	-	0	2	-	-	-	0	3	-	-						
Mich.	-	6	21	89	27	1	1	9	5	-	-	0	1	1	-						
Ohio	29	10	57	171	311	-	1	7	-	-	-	0	4	-	-						
Wis.	-	2	7	5	12	N	0	0	N	N	-	0	1	-	-						
W.N. CENTRAL	8	21	153	276	100	3	3	13	18	10	-	4	32	2	1						
Iowa	-	3	21	8	18	-	0	5	-	1	-	0	2	-	-						
