
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending May 17, 2008 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2008
Syphillis, primary & secondary cummulative for 2007

tab delimited data:
test
UNITED STATES	39	46	231	1,222	1,268	2	9	36	196	258	103	222	328	3,971	3,870						
NEW ENGLAND	-	1	20	23	78	-	0	4	3	9	4	6	14	106	83						
Conn.	-	0	16	-	48	-	0	3	-	4	-	0	6	7	9						
Maine	-	0	2	9	7	-	0	1	1	1	-	0	2	2	1						
Mass.	-	0	0	-	-	-	0	0	-	-	4	3	11	91	50						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	3	4	9						
R.I.	-	0	3	5	12	-	0	1	1	2	-	0	3	2	12						
Vt.	-	0	2	9	11	-	0	1	1	2	-	0	5	-	2						
MID. ATLANTIC	3	2	7	73	78	1	0	2	13	19	33	32	45	690	602						
N.J.	-	0	0	-	-	-	0	0	-	-	-	4	10	85	76						
N.Y. (Upstate)	2	1	5	24	25	-	0	1	4	8	2	3	10	49	46						
N.Y. City	-	0	0	-	-	-	0	0	-	-	25	17	30	434	375						
Pa.	1	1	7	49	53	1	0	2	9	11	6	5	12	122	105						
E.N. CENTRAL	10	13	46	354	335	1	2	14	56	59	6	17	31	350	322						
Ill.	-	3	13	51	59	-	0	6	11	24	-	7	19	61	158						
Ind.	-	3	28	109	67	-	1	11	14	8	1	1	6	58	15						
Mich.	-	0	1	4	-	-	0	1	1	-	2	2	17	87	45						
Ohio	10	7	15	190	209	1	1	4	30	27	3	4	14	126	78						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	3	18	26						
W.N. CENTRAL	1	3	106	98	94	-	1	9	7	15	-	8	15	145	105						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	5	6						
Kans.	1	1	5	45	51	-	0	1	2	2	-	0	5	12	7						
Minn.	-	0	105	-	1	-	0	9	-	10	-	1	4	34	24						
Mo.	-	1	8	53	35	-	0	1	2	-	-	5	10	91	67						
Nebr.	-	0	0	-	2	-	0	0	-	-	-	0	1	3	1						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	5	-	0	1	3	3	-	0	3	-	-						
S. ATLANTIC	22	19	42	502	540	-	3	9	81	125	27	49	196	805	830						
Del.	-	0	1	2	4	-	0	1	-	1	-	0	3	1	5						
D.C.	-	0	4	14	5	-	0	0	-	-	-	2	11	34	68						
Fla.	13	11	26	278	290	-	2	6	49	66	9	18	34	331	277						
Ga.	9	6	18	169	208	-	1	6	27	51	-	6	174	27	107						
Md.	-	0	2	3	1	-	0	1	1	-	4	7	14	142	114						
N.C.	N	0	0	N	N	N	0	0	N	N	8	6	18	130	138						
