
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending November 26, 2011 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	2	7	109	654	615	11	15	56	699	1,671	2	2	13	100	86						
NEW ENGLAND	-	0	1	4	7	2	2	27	238	104	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	5	-	32	-	0	0	-	-						
Maine	-	0	1	1	4	2	0	2	18	17	-	0	0	-	-						
Mass.	-	0	0	-	-	-	1	18	160	-	-	0	0	-	-						
N.H.	-	0	1	2	2	-	0	4	15	19	-	0	1	1	2						
R.I.	-	0	1	1	1	-	0	15	40	34	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	1	5	2	-	0	0	-	-						
MID. ATLANTIC	1	1	7	57	83	7	6	31	316	251	1	0	2	10	12						
N.J.	-	0	1	-	50	-	0	3	-	67	-	0	0	-	1						
N.Y. (Upstate)	1	0	7	46	26	7	3	27	267	172	1	0	2	10	8						
N.Y. City	-	0	2	11	5	-	0	5	45	11	-	0	0	-	-						
Pa.	-	0	0	-	2	-	0	1	4	1	-	0	0	-	3						
E.N. CENTRAL	-	0	3	28	44	-	0	4	19	504	-	0	5	41	44						
Ill.	-	0	2	18	16	-	0	2	9	9	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	32	15						
Mich.	-	0	2	4	2	-	0	0	-	4	-	0	2	5	-						
Ohio	-	0	1	6	7	-	0	1	7	2	-	0	1	1	-						
Wis.	-	0	1	-	19	-	0	4	3	489	-	0	1	1	26						
W.N. CENTRAL	-	1	19	156	119	-	0	8	35	728	-	0	11	14	10						
