
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending April 26, 2008 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2008
Syphillis, primary & secondary cummulative for 2007

tab delimited data:
test
UNITED STATES	31	46	215	1,072	1,125	6	9	27	173	226	111	221	287	3,275	3,243						
NEW ENGLAND	1	1	18	19	68	-	0	4	3	8	3	6	14	86	68						
Conn.	-	0	16	-	43	-	0	3	-	4	-	0	6	6	8						
Maine	1	0	2	8	5	-	0	1	1	1	-	0	2	2	1						
Mass.	-	0	0	-	-	-	0	0	-	-	3	3	10	72	41						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	3	4	7						
R.I.	-	0	2	5	10	-	0	1	1	2	-	0	3	2	10						
Vt.	-	0	2	6	10	-	0	1	1	1	-	0	5	-	1						
MID. ATLANTIC	-	2	7	58	70	-	0	2	12	19	34	32	45	566	523						
N.J.	-	0	0	-	-	-	0	0	-	-	1	4	10	70	64						
N.Y. (Upstate)	-	1	4	18	24	-	0	1	4	8	2	3	10	42	41						
N.Y. City	-	0	0	-	-	-	0	0	-	-	28	18	30	358	327						
Pa.	-	1	6	40	46	-	0	2	8	11	3	5	12	96	91						
E.N. CENTRAL	7	14	46	318	301	1	2	14	49	51	13	16	27	268	273						
Ill.	-	3	13	51	57	-	0	6	11	21	-	6	14	29	132						
Ind.	-	3	28	97	54	-	1	11	13	7	2	1	6	47	14						
Mich.	-	0	1	4	-	-	0	1	1	-	4	2	17	65	39						
Ohio	7	7	17	166	190	1	1	4	24	23	7	4	14	112	67						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	3	15	21						
W.N. CENTRAL	1	3	91	87	86	-	0	2	3	10	-	8	15	125	87						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	4	4						
Kans.	-	1	5	37	49	-	0	1	2	2	-	0	5	11	7						
Minn.	-	0	90	-	-	-	0	2	-	6	-	1	4	28	19						
Mo.	1	1	8	50	30	-	0	1	1	-	-	5	10	79	57						
Nebr.	-	0	0	-	2	-	0	0	-	-	-	0	1	3	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	5	-	0	1	-	2	-	0	3	-	-						
S. ATLANTIC	19	19	43	438	477	5	3	9	76	115	31	49	152	656	660						
Del.	-	0	1	2	4	-	0	1	-	1	-	0	3	1	3						
D.C.	-	0	5	19	4	-	0	0	-	-	-	2	10	26	56						
Fla.	8	11	26	247	258	-	2	6	46	61	13	18	35	279	203						
Ga.	11	6	15	134	184	5	1	4	25	47	-	7	131	12	89						
Md.	-	0	2	3	1	-	0	1	1	-	6	6	14	119	103						
N.C.	N	0	0	N	N	N	0	0	N	N	11	5	18	107	107						
S.C.	-	0	0	-	-	-	0	0	-	-	1	1	11	26	29						
Va.	N	0	0	N	N	N	0	0	N	N	-	4	17	86	66						
W. Va.	-	1	8	33	26	-	0	2	4	6	-	0	1	-	4						
E.S. CENTRAL	3	4	12	121	64	-	1	4	19	11	2	20	32	312	246						
Ala.	N	0	0	N	N	N	0	0	N	N	-	8	17	131	82						
Ky.	1	0	3	28	14	-	0	2	6	1	-	1	6	20	28						
Miss.	-	0	0	-	-	-	0	0	-	-	-	2	15	36	43						
Tenn.	2	4	12	93	50	-	1	3	13	10	2	8	14	125	93						
W.S. CENTRAL	-	1	5	21	40	-	0	2	7	5	24	39	56	624	493						
Ark.	-	0	1	4	1	-	0	1	3	-	4	2	10	30	40						
La.	-	1	4	17	39	-	0	2	4	5	4	11	22	113	117						
Okla.	N	0	0	N	N	N	0	0	N	N	-	1	5	20	22						
Tex.	-	0	0	-	-	-	0	0	-	-	16	26	46	461	314						
MOUNTAIN	-	1	6	10	19	-	0	2	3	7	2	8	28	61	144						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	4	20	2	68						
Colo.	-	0	0	-	-	-	0	0	-	-	1	1	7	27	17						
Idaho	N	0	0	N	N	N	0	0	N	N	-	0	1	1	1						
Mont.	-	0	0	-	-	-	0	0	-	-	-	0	3	-	1						
Nev.	N	0	0	N	N	N	0	0	N	N	1	2	6	21	33						
N. Mex.	-	0	1	-	-	-	0	0	-	-	-	1	3	10	19						
Utah	-	0	6	10	14	-	0	2	3	6	-	0	2	-	4						
Wyo.	-	0	2	-	5	-	0	1	-	1	-	0	1	-	1						
