
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 4, 1998 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	804	1,117	6	101	137	83	910	1,245	15	105	11										
NEW ENGLAND	49	65	-	-	6	3	176	353	-	10	-										
Maine	4	7	-	-	-	-	4	6	-	-	-										
N.H.	1	5	-	-	-	1	16	40	-	-	-										
Vt.	1	2	-	-	-	-	22	119	-	-	-										
Mass.	22	39	-	-	1	2	131	173	-	1	-										
R.I.	3	2	-	-	4	-	-	11	-	-	-										
Conn.	18	10	-	-	1	-	3	4	-	9	-										
MID. ATLANTIC	87	102	1	5	17	37	135	113	12	64	5										
Upstate N.Y.	24	22	-	2	3	8	78	48	12	64	1										
N.Y. City	8	19	-	-	1	-	-	28	-	-	4										
N.J.	22	21	-	-	2	-	-	6	-	-	-										
Pa.	33	40	1	3	11	29	57	31	-	-	-										
E.N. CENTRAL	126	144	2	14	17	2	97	147	-	-	3										
Ohio	53	55	2	9	3	2	36	47	-	-	-										
Ind.	23	14	-	-	3	-	34	9	-	-	-										
Ill.	25	45	-	-	6	-	5	18	-	-	-										
Mich.	12	12	-	5	4	-	12	23	-	-	-										
Wis.	13	18	-	-	1	-	10	50	-	-	3										
W.N. CENTRAL	66	85	1	10	6	2	67	63	1	1	-										
Minn.	5	2	-	4	3	2	41	35	-	-	-										
Iowa	9	20	1	4	2	-	13	7	-	-	-										
Mo.	29	46	-	1	-	-	9	8	1	1	-										
N. Dak.	-	-	-	1	-	-	-	1	-	-	-										
S. Dak.	5	3	-	-	-	-	2	1	-	-	-										
Nebr.	3	4	-	-	1	-	2	2	-	-	-										
Kans.	15	10	-	-	-	-	-	9	-	-	-										
S. ATLANTIC	146	196	1	18	17	13	81	103	-	2	-										
Del.	1	3	-	-	-	-	-	-	-	-	-										
Md.	15	24	-	2	1	-	15	54	-	-	-										
D.C.	-	5	-	-	-	-	-	2	-	-	-										
Va.	15	11	1	3	1	6	6	14	-	-	-										
W. Va.	3	6	-	-	-	-	1	3	-	-	-										
N.C.	19	39	-	6	5	4	38	18	-	1	-										
S.C.	15	31	-	3	1	-	6	4	-	1	-										
Ga.	36	32	-	-	2	-	-	2	-	-	-										
Fla.	42	45	-	4	7	3	15	6	-	-	-										
E.S. CENTRAL	50	81	-	-	11	-	13	31	-	-	-										
Ky.	-	20	-	-	-	-	-	9	-	-	-										
Tenn.	26	26	-	-	3	-	4	9	-	-	-										
Ala.	24	25	-	-	4	-	9	7	-	-	-										
Miss.	-	10	-	-	4	-	-	6	-	-	-										
W.S. CENTRAL	41	103	-	18	13	4	42	21	2	22	-										
Ark.	8	18	-	-	-	1	5	2	-	-	-										
La.	16	21	U	-	4	U	-	5	U	-	-										
Okla.	17	12	-	-	-	-	6	-	-	-	-										
Tex.	-	52	-	18	9	3	31	14	2	22	-										
MOUNTAIN	57	73	-	8	7	13	215	230	-	5	-										
Mont.	2	4	-	-	-	-	1	2	-	-	-										
Idaho	2	5	-	-	2	6	110	131	-	-	-										
Wyo.	3	-	-	1	-	-	-	3	-	-	-										
Colo.	13	18	-	1	2	1	29	70	-	-	-										
N. Mex.	10	13	N	N	N	-	47	11	-	1	-										
Ariz.	21	16	-	2	-	4	17	9	-	1	-										
Utah	5	8	-	-	1	2	8	1	-	2	-										
Nev.	1	9	-	4	2	-	3	3	-	1	-										
PACIFIC	182	268	1	28	43	9	84	184	-	1	3										
Wash.	24	26	-	4	3	9	73	75	-	-	-										
Oreg.	38	58	N	N	N	-	8	5	-	-	-										
Calif.	117	181	-	14	29	-	-	98	-	-	1										
Alaska	1	1	-	2	2	-	-	2	-	-	-										
Hawaii	2	2	1	8	9	-	3	4	-	1	2										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	1	6	-	2	4	-	2	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


