
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 10, 2001 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	26,141	37,807	98	413	45	67	21	174	333												
NEW ENGLAND	495	848	1	1	1	5	4	41	36												
Maine	-	8	-	-	-	2	-	-	-												
N.H.	11	12	-	-	-	-	-	37	11												
Vt.	14	1	1	-	1	-	-	-	-												
Mass.	331	334	-	1	-	3	3	1	11												
R.I.	95	68	-	-	-	-	-	-	-												
Conn.	44	425	-	-	-	-	1	3	14												
MID. ATLANTIC	1,428	3,555	6	65	1	4	1	85	234												
Upstate N.Y.	443	275	3	-	1	2	1	63	56												
N.Y. City	313	1,150	-	-	-	-	-	-	11												
N.J.	140	825	-	60	-	-	-	-	40												
Pa.	532	1,305	3	5	-	2	-	22	127												
E.N. CENTRAL	4,081	8,032	17	37	24	25	4	8	5												
Ohio	137	2,101	1	-	13	11	1	8	1												
Ind.	660	680	-	-	3	2	-	-	-												
Ill.	893	2,791	-	5	-	2	-	-	1												
Mich.	2,048	1,628	16	32	8	5	3	-	-												
Wis.	343	832	-	-	-	5	-	U	3												
W.N. CENTRAL	885	1,766	30	50	5	3	1	3	7												
Minn.	191	366	-	-	-	1	-	3	1												
Iowa	64	56	-	-	-	1	-	-	-												
Mo.	246	873	29	49	3	1	-	-	2												
N. Dak.	-	3	-	-	-	-	-	-	-												
S. Dak.	27	21	-	-	-	-	-	-	-												
Nebr.	31	125	-	-	1	-	-	-	-												
Kans.	326	322	1	1	1	-	1	-	4												
S. ATLANTIC	7,344	10,633	6	5	5	17	3	27	40												
Del.	174	184	-	-	-	1	-	-	5												
Md.	772	832	3	1	4	7	1	24	30												
D.C.	310	288	-	-	-	-	-	1	-												
Va.	941	1,120	-	-	1	2	1	1	-												
W. Va.	35	69	-	-	N	N	-	-	2												
N.C.	1,439	1,332	1	3	-	1	-	1	3												
S.C.	1,209	2,767	-	-	-	2	-	-	-												
Ga.	808	1,860	-	-	-	-	1	-	-												
Fla.	1,656	2,181	2	1	-	4	-	-	-												
E.S. CENTRAL	3,483	3,146	20	65	3	1	4	2	-												
Ky.	410	379	-	4	2	-	1	2	-												
Tenn.	1,233	1,164	5	12	-	-	2	-	-												
Ala.	1,060	927	-	3	1	1	1	-	-												
Miss.	780	676	15	46	-	-	-	-	-												
W.S. CENTRAL	5,586	6,249	2	132	1	4	-	-	2												
Ark.	770	255	1	-	-	-	-	-	-												
La.	1,442	1,487	1	71	1	2	-	-	2												
Okla.	603	504	-	-	-	-	-	-	-												
Tex.	2,771	4,003	-	61	-	2	-	-	-												
MOUNTAIN	794	1,151	6	31	-	4	-	-	-												
Mont.	2	-	-	-	-	-	-	-	-												
Idaho	13	15	-	-	-	1	-	-	-												
Wyo.	9	5	2	20	-	-	-	-	-												
Colo.	200	431	1	5	-	2	-	-	-												
N. Mex.	116	92	3	3	-	-	-	-	-												
Ariz.	322	388	-	3	-	-	-	-	-												
Utah	9	49	-	-	-	1	-	-	-												
Nev.	123	171	-	-	-	-	-	-	-												
PACIFIC	2,045	2,427	10	27	5	4	4	8	9												
Wash.	379	295	-	2	1	1	-	-	-												
Oreg.	114	47	2	7	N	N	1	1	1												
Calif.	1,474	2,006	8	18	4	3	3	7	8												
Alaska	23	24	-	-	-	-	-	-	-												
Hawaii	55	55	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	87	59	-	1	2	-	-	N	N												
V.I.	U	U	U	U	U	U	-	U	U												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


