
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 27, 2001 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	14,994	23,500	29	251	26	33	15	95	150												
NEW ENGLAND	389	573	-	1	1	5	3	24	28												
Maine	-	6	-	-	-	2	-	-	-												
N.H.	4	9	-	-	-	-	-	23	7												
Vt.	12	1	-	-	1	-	-	-	-												
Mass.	276	230	-	1	-	3	2	1	7												
R.I.	53	38	-	-	-	-	-	-	-												
Conn.	44	289	-	-	-	-	1	-	14												
MID. ATLANTIC	767	2,159	-	42	1	-	1	36	87												
Upstate N.Y.	222	134	-	-	1	-	1	30	6												
N.Y. City	1	711	-	-	-	-	-	-	7												
N.J.	66	538	-	38	-	-	-	-	37												
Pa.	478	776	-	4	-	-	-	6	37												
E.N. CENTRAL	1,965	5,525	5	27	14	9	3	8	2												
Ohio	120	1,396	-	-	10	7	1	8	-												
Ind.	439	421	-	-	1	-	-	-	-												
Ill.	537	1,911	-	3	-	-	-	-	1												
Mich.	683	1,239	5	24	3	2	2	-	-												
Wis.	186	558	-	-	-	-	-	U	1												
W.N. CENTRAL	636	1,147	8	32	2	2	1	-	3												
Minn.	107	251	-	-	-	-	-	-	-												
Iowa	22	22	-	-	-	1	-	-	-												
Mo.	246	585	7	31	1	1	-	-	1												
N. Dak.	-	1	-	-	-	-	-	-	-												
S. Dak.	18	8	-	-	-	-	-	-	-												
Nebr.	28	84	-	-	1	-	-	-	-												
Kans.	215	196	1	1	-	-	1	-	2												
S. ATLANTIC	5,002	6,087	4	4	3	7	3	20	23												
Del.	86	118	-	-	-	-	-	-	4												
Md.	497	470	1	1	2	5	1	17	16												
D.C.	163	203	-	-	-	-	-	1	-												
Va.	591	756	-	-	1	-	1	1	-												
W. Va.	27	46	-	-	N	N	-	-	1												
N.C.	1,297	367	1	3	-	1	-	1	2												
S.C.	1,208	1,850	-	-	-	1	-	-	-												
Ga.	104	1,071	-	-	-	-	1	-	-												
Fla.	1,029	1,206	2	-	-	-	-	-	-												
E.S. CENTRAL	2,378	1,402	7	47	2	-	-	1	-												
Ky.	198	241	-	2	1	-	-	1	-												
Tenn.	750	770	3	6	-	-	-	-	-												
Ala.	797	371	-	3	1	-	-	-	-												
Miss.	633	20	4	36	-	-	-	-	-												
W.S. CENTRAL	2,490	4,112	1	63	-	4	-	-	-												
Ark.	206	144	1	-	-	-	-	-	-												
La.	948	1,031	-	28	-	2	-	-	-												
Okla.	368	237	-	-	-	-	-	-	-												
Tex.	968	2,700	-	35	-	2	-	-	-												
MOUNTAIN	400	768	1	20	-	4	-	-	-												
Mont.	1	-	-	-	-	-	-	-	-												
Idaho	7	11	-	-	-	1	-	-	-												
Wyo.	9	4	1	14	-	-	-	-	-												
Colo.	116	290	-	4	-	2	-	-	-												
N. Mex.	39	59	-	1	-	-	-	-	-												
Ariz.	228	244	-	1	-	-	-	-	-												
Utah	-	43	-	-	-	1	-	-	-												
Nev.	-	117	-	-	-	-	-	-	-												
PACIFIC	967	1,727	3	15	3	2	4	6	7												
Wash.	231	203	-	1	-	-	-	-	-												
Oreg.	81	17	1	4	N	N	1	1	1												
Calif.	616	1,453	2	10	3	2	3	5	6												
Alaska	16	21	-	-	-	-	-	-	-												
Hawaii	23	33	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	71	39	-	-	2	-	-	N	N												
V.I.	U	U	U	U	U	U	-	U	U												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


