
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending April 12, 2003 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	430	587	2	6	64	103	9	6	1,467	2,940											
NEW ENGLAND	36	41	-	-	1	4	2	2	53	111											
Maine	2	1	-	-	-	-	1	-	2	4											
N.H.	5	4	-	-	-	-	-	-	3	6											
Vt.	5	3	-	-	-	-	-	-	1	-											
Mass.	16	23	-	-	1	2	1	2	32	57											
R.I.	1	-	-	-	-	-	-	-	4	5											
Conn.	7	10	-	-	-	2	-	-	11	39											
MID. ATLANTIC	66	115	-	1	11	17	1	-	181	383											
Upstate N.Y.	28	44	-	1	7	7	-	-	28	51											
N.Y. City	13	31	-	-	3	6	-	-	93	197											
N.J.	12	28	-	-	1	3	-	-	29	60											
Pa.	13	12	-	-	-	1	1	-	31	75											
E.N. CENTRAL	51	113	1	1	9	20	-	-	157	352											
Ohio	19	37	-	-	5	5	-	-	30	86											
Ind.	13	16	-	-	1	5	-	-	12	17											
Ill.	14	37	-	-	3	6	-	-	44	128											
Mich.	5	5	1	1	-	-	-	-	59	75											
Wis.	-	18	-	-	-	4	-	-	12	46											
W.N. CENTRAL	30	16	-	-	4	1	2	2	56	112											
Minn.	14	12	-	-	4	1	-	1	14	14											
Iowa	-	1	-	-	-	-	-	-	15	24											
Mo.	10	2	-	-	-	-	2	1	11	24											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	1	-	-	-	-	-	-	-	-	3											
Nebr.	-	-	-	-	-	-	-	-	4	6											
Kans.	5	1	-	-	-	-	-	-	12	41											
S. ATLANTIC	107	133	-	-	10	24	-	-	399	831											
Del.	-	-	-	-	-	-	-	-	3	6											
Md.	23	37	-	-	2	1	-	-	45	93											
D.C.	-	-	-	-	-	-	-	-	9	30											
Va.	9	9	-	-	3	2	-	-	21	27											
W. Va.	3	2	-	-	-	-	-	-	4	9											
N.C.	10	11	-	-	-	1	-	-	26	96											
S.C.	2	3	-	-	-	1	-	-	12	14											
Ga.	23	44	-	-	2	13	-	-	149	189											
Fla.	37	27	-	-	3	6	-	-	130	367											
E.S. CENTRAL	36	25	-	1	5	6	-	-	45	100											
Ky.	2	3	-	-	-	-	-	-	9	25											
Tenn.	20	12	-	-	3	3	-	-	23	42											
Ala.	12	5	-	1	1	2	-	-	9	10											
Miss.	2	5	-	-	1	1	-	-	4	23											
W.S. CENTRAL	24	24	-	2	3	4	-	-	84	203											
Ark.	4	1	-	-	1	-	-	-	2	13											
La.	5	2	-	-	-	-	-	-	12	14											
Okla.	15	19	-	-	2	4	-	-	4	12											
Tex.	-	2	-	2	-	-	-	-	66	164											
MOUNTAIN	58	61	1	1	15	13	3	1	109	177											
Mont.	-	-	-	-	-	-	-	-	1	5											
Idaho	-	1	-	-	-	-	-	-	-	15											
Wyo.	-	1	-	-	-	-	-	-	1	2											
Colo.	13	14	-	-	4	2	-	-	10	25											
N. Mex.	7	13	-	-	3	4	1	-	7	4											
Ariz.	28	19	1	-	5	4	-	-	67	90											
Utah	6	10	-	1	3	2	-	-	8	12											
Nev.	4	3	-	-	-	1	2	1	15	24											
PACIFIC	22	59	-	-	6	14	1	1	383	671											
Wash.	3	-	-	-	2	-	1	-	15	47											
Oreg.	13	28	-	-	3	4	-	-	25	35											
Calif.	1	15	-	-	1	7	-	1	337	571											
Alaska	-	1	-	-	-	1	-	-	3	7											
Hawaii	5	15	-	-	-	2	-	-	3	11											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	4	43											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


