
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 8, 2004 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2004
Hepatitis (Viral Acute), Type A cummulative for 2003

tab delimited data:
test
UNITED STATES	728	645	6	9	39	49	77	77	1,813	2,156											
NEW ENGLAND	59	48	1	1	3	3	2	3	321	79											
Maine	6	2	-	-	-	-	-	1	8	1											
N.H.	12	5	-	-	2	-	-	-	6	5											
Vt.	4	6	-	-	-	-	-	-	5	3											
Mass.	25	23	1	1	-	3	2	1	271	39											
R.I.	1	2	-	-	-	-	-	1	6	9											
Conn.	11	10	-	-	1	-	-	-	25	22											
MID. ATLANTIC	142	107	-	-	3	1	20	14	205	449											
Upstate N.Y.	52	32	-	-	3	1	2	3	30	34											
N.Y. City	25	18	-	-	-	-	6	4	69	163											
N.J.	25	23	-	-	-	-	2	2	42	76											
Pa.	40	34	-	-	-	-	10	5	64	176											
E.N. CENTRAL	111	105	-	1	10	4	16	21	160	212											
Ohio	53	25	-	-	2	-	9	5	17	36											
Ind.	18	18	-	-	4	2	1	-	9	13											
Ill.	19	45	-	-	-	-	5	13	59	67											
Mich.	9	7	-	1	4	2	-	-	59	70											
Wis.	12	10	-	-	-	-	1	3	16	26											
W.N. CENTRAL	35	44	1	-	2	5	2	4	59	57											
Minn.	14	18	-	-	2	5	-	-	10	14											
Iowa	1	-	1	-	-	-	-	-	17	13											
Mo.	10	16	-	-	-	-	1	4	18	14											
N. Dak.	2	1	-	-	-	-	-	-	1	-											
S. Dak.	-	1	-	-	-	-	-	-	2	-											
Nebr.	4	-	-	-	-	-	-	-	7	3											
Kans.	4	8	-	-	-	-	1	-	4	13											
S. ATLANTIC	196	130	-	-	7	5	16	8	355	504											
Del.	10	-	-	-	-	-	4	-	6	4											
Md.	34	31	-	-	2	4	-	-	56	49											
D.C.	-	-	-	-	-	-	-	-	3	14											
Va.	15	12	-	-	-	-	-	2	27	31											
W. Va.	8	3	-	-	-	-	3	-	2	5											
N.C.	19	10	-	-	1	-	-	-	22	26											
S.C.	-	2	-	-	-	-	-	-	12	22											
Ga.	64	27	-	-	-	-	9	4	140	207											
Fla.	46	45	-	-	4	1	-	2	87	146											
E.S. CENTRAL	24	39	-	1	-	2	5	4	55	60											
Ky.	-	3	-	-	-	1	-	-	9	10											
Tenn.	16	20	-	-	-	1	4	3	31	31											
Ala.	8	16	-	1	-	-	1	1	5	9											
Miss.	-	-	-	-	-	-	-	-	10	10											
W.S. CENTRAL	26	35	-	-	3	4	-	3	120	211											
Ark.	-	4	-	-	-	1	-	-	30	12											
La.	3	12	-	-	-	1	-	3	2	19											
Okla.	23	19	-	-	3	2	-	-	15	4											
Tex.	-	-	-	-	-	-	-	-	73	176											
MOUNTAIN	102	83	2	4	11	13	12	10	175	135											
Mont.	-	-	-	-	-	-	-	-	3	1											
Idaho	3	-	-	-	-	-	1	-	9	6											
Wyo.	-	-	-	-	-	-	-	-	1	1											
Colo.	30	15	-	-	-	-	5	4	26	18											
N. Mex.	18	12	-	-	4	3	3	1	4	8											
Ariz.	39	45	-	4	6	6	1	3	105	76											
Utah	6	7	2	-	-	2	1	2	22	9											
Nev.	6	4	-	-	1	2	1	-	5	16											
PACIFIC	33	54	2	2	-	12	4	10	363	449											
Wash.	3	3	2	-	-	2	1	1	21	22											
Oreg.	21	15	-	-	-	-	-	2	26	28											
Calif.	3	32	-	2	-	10	2	7	306	392											
Alaska	1	-	-	-	-	-	1	-	3	4											
Hawaii	5	4	-	-	-	-	-	-	7	3											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	7	30											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


