
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 16, 2002 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2002
Meningococcal Disease cummulative for 2001
Mumps cummulative for 2002
Mumps cummulative for 2001
Pertussis cummulative for 2002
Pertussis cummulative for 2001
Rabies, Animal cummulative for 2002
Rabies, Animal cummulative for 2001

tab delimited data:
test
UNITED STATES	192	471	18	20	448	637	388	706													
NEW ENGLAND	16	29	1	-	126	105	64	59													
Maine	2	-	-	-	3	-	4	10													
N.H.	1	1	1	-	1	6	1	-													
Vt.	2	-	-	-	17	17	17	11													
Mass.	8	20	-	-	105	80	19	16													
R.I.	2	-	-	-	-	-	4	8													
Conn.	1	8	-	-	-	2	19	14													
MID. ATLANTIC	19	66	3	2	26	27	71	104													
Upstate N.Y.	4	13	1	1	22	22	54	60													
N.Y. City	4	12	-	1	-	4	4	-													
N.J.	1	28	-	-	-	-	-	16													
Pa.	10	13	2	-	4	1	13	28													
E.N. CENTRAL	31	49	-	1	65	83	2	6													
Ohio	17	13	-	1	43	57	1	-													
Ind.	6	-	-	-	2	1	1	1													
Ill.	-	11	-	-	10	1	-	-													
Mich.	6	17	-	-	9	10	-	2													
Wis.	2	8	-	-	1	14	-	3													
W.N. CENTRAL	8	27	1	1	61	29	21	45													
Minn.	-	-	-	-	1	-	3	11													
Iowa	1	8	-	-	26	5	4	9													
Mo.	4	12	-	-	22	15	1	2													
N. Dak.	-	-	-	-	-	-	-	8													
S. Dak.	2	-	-	-	2	2	-	7													
Nebr.	-	2	-	-	-	-	-	-													
Kans.	1	5	1	1	10	7	13	8													
S. ATLANTIC	34	72	3	1	41	27	165	177													
Del.	1	-	-	-	1	-	3	-													
Md.	1	12	1	1	10	7	38	36													
D.C.	-	-	-	-	-	-	-	-													
Va.	2	7	1	-	12	-	54	41													
W. Va.	-	-	-	-	-	-	10	13													
N.C.	5	17	-	-	7	10	54	45													
S.C.	2	4	1	-	10	4	6	7													
Ga.	8	14	-	-	-	6	-	15													
Fla.	15	18	-	-	1	-	-	20													
E.S. CENTRAL	10	28	2	-	15	16	12	110													
Ky.	-	3	-	-	4	3	1	2													
Tenn.	1	9	-	-	9	8	7	106													
Ala.	8	10	1	-	2	2	4	2													
Miss.	1	6	1	-	-	3	-	-													
W.S. CENTRAL	11	110	-	-	18	3	16	129													
Ark.	5	6	-	-	5	2	-	-													
La.	1	17	-	-	-	-	-	2													
Okla.	4	6	-	-	1	1	16	10													
Tex.	1	81	-	-	12	-	-	117													
MOUNTAIN	22	22	-	2	76	282	15	33													
Mont.	-	-	-	-	2	-	-	4													
Idaho	-	3	-	-	5	45	-	-													
Wyo.	-	-	-	1	1	-	1	10													
Colo.	7	8	-	-	41	92	-	-													
N. Mex.	-	4	-	1	12	8	-	-													
Ariz.	7	3	-	-	9	133	14	19													
Utah	4	2	-	-	5	4	-	-													
Nev.	4	2	-	-	1	-	-	-													
PACIFIC	41	68	8	13	20	65	22	43													
Wash.	7	6	-	-	4	7	-	-													
Oreg.	11	1	N	N	11	2	-	-													
Calif.	21	57	8	7	3	49	8	21													
Alaska	1	-	-	-	2	-	14	22													
Hawaii	1	4	-	6	-	7	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	11	16													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


