
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 17, 1999 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	775	978	3	103	294	123	1,426	1,238	1	13	160										
NEW ENGLAND	40	50	-	1	-	-	126	242	-	3	25										
Maine	3	4	-	-	-	-	-	5	-	-	-										
N.H.	-	1	-	1	-	-	19	20	-	-	-										
Vt.	3	1	-	-	-	-	10	25	-	-	-										
Mass.	27	22	-	-	-	-	90	187	-	3	3										
R.I.	2	3	-	-	-	-	2	-	-	-	-										
Conn.	5	19	-	-	-	-	5	5	-	-	22										
MID. ATLANTIC	74	104	-	15	159	57	360	150	-	1	87										
Upstate N.Y.	18	25	-	2	3	57	317	81	-	1	80										
N.Y. City	18	11	-	3	152	-	10	6	-	-	3										
N.J.	16	28	-	-	1	-	-	6	-	-	4										
Pa.	22	40	-	10	3	-	33	57	-	-	-										
E.N. CENTRAL	103	149	-	12	22	-	107	147	-	-	-										
Ohio	52	53	-	6	10	-	89	44	-	-	-										
Ind.	7	26	-	-	2	-	2	40	-	-	-										
Ill.	29	38	-	-	1	-	-	8	-	-	-										
Mich.	15	15	-	6	9	-	16	17	-	-	-										
Wis.	-	17	-	-	-	-	-	38	-	-	-										
W.N. CENTRAL	100	82	-	3	18	1	19	94	-	-	2										
Minn.	25	8	-	-	9	-	-	55	-	-	-										
Iowa	22	12	-	2	6	-	7	16	-	-	-										
Mo.	35	38	-	1	2	-	9	9	-	-	1										
N. Dak.	-	-	U	-	1	U	-	-	U	-	-										
S. Dak.	6	5	-	-	-	-	2	4	-	-	-										
Nebr.	4	4	-	-	-	1	1	4	-	-	-										
Kans.	8	15	-	-	-	-	-	6	-	-	1										
S. ATLANTIC	133	142	1	20	15	2	82	84	-	2	1										
Del.	2	1	-	-	-	-	-	-	-	-	-										
Md.	21	17	-	3	-	-	26	17	-	1	-										
D.C.	1	-	-	1	-	-	-	-	-	-	-										
Va.	16	16	-	2	4	-	7	6	-	-	-										
W. Va.	1	4	-	-	-	1	1	1	-	-	-										
N.C.	16	23	-	4	6	-	22	38	-	1	1										
S.C.	17	23	-	2	3	-	7	7	-	-	-										
Ga.	21	34	-	-	-	-	7	-	-	-	-										
Fla.	38	24	1	8	2	1	12	15	-	-	-										
E.S. CENTRAL	62	79	-	1	1	4	28	32	-	-	-										
Ky.	10	13	U	-	-	U	1	16	U	-	-										
Tenn.	22	30	-	-	-	4	20	6	-	-	-										
Ala.	18	24	-	1	1	-	4	10	-	-	-										
Miss.	12	12	-	-	-	-	3	-	-	-	-										
W.S. CENTRAL	45	84	1	13	22	5	40	61	-	5	34										
Ark.	12	13	-	-	-	-	5	6	-	-	-										
La.	22	16	1	1	-	3	3	-	-	-	-										
Okla.	9	19	-	1	-	-	2	6	-	-	-										
Tex.	2	36	-	11	22	2	30	49	-	5	34										
MOUNTAIN	62	62	-	7	12	7	176	217	1	1	5										
Mont.	-	2	-	-	-	-	1	1	-	-	-										
Idaho	7	3	-	-	-	1	85	74	-	-	-										
Wyo.	2	3	-	-	1	-	2	7	-	-	-										
Colo.	19	14	-	2	1	3	30	47	-	-	-										
N. Mex.	7	10	N	N	N	1	13	48	-	-	1										
Ariz.	19	22	-	-	4	1	21	23	1	1	1										
Utah	4	6	-	4	1	1	22	11	-	-	2										
Nev.	4	2	-	1	5	-	2	6	-	-	1										
PACIFIC	156	226	1	31	45	47	488	211	-	1	6										
Wash.	19	24	-	-	4	46	271	78	-	-	4										
Oreg.	25	40	N	N	N	-	8	14	-	-	-										
Calif.	105	158	1	27	28	1	205	116	-	1	1										
Alaska	3	1	-	1	2	-	2	-	-	-	-										
Hawaii	4	3	-	3	11	-	2	3	-	-	1										
Guam	-	-	U	-	2	U	-	-	U	-	-										
P.R.	2	2	-	-	1	-	-	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


