
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 17, 1999 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	342	362	4,310	6,270	1,669	2,457	1	16	-	6	22	16									
NEW ENGLAND	24	26	48	102	31	43	-	-	-	1	1	1									
Maine	2	2	2	10	-	-	-	-	-	-	-	-									
N.H.	4	1	6	6	4	5	-	-	-	1	1	-									
Vt.	3	2	3	6	1	-	-	-	-	-	-	-									
Mass.	11	19	11	29	17	23	-	-	-	-	-	1									
R.I.	-	2	6	7	9	4	-	-	-	-	-	-									
Conn.	4	-	20	44	-	11	-	-	-	-	-	-									
MID. ATLANTIC	44	51	273	483	222	371	-	-	-	-	-	5									
Upstate N.Y.	25	17	74	106	53	90	-	-	-	-	-	-									
N.Y. City	5	15	47	174	55	100	-	-	-	-	-	-									
N.J.	14	17	42	88	33	70	-	-	-	-	-	4									
Pa.	-	2	110	115	81	111	-	-	-	-	-	1									
E.N. CENTRAL	37	56	1,001	910	133	487	-	-	-	-	-	2									
Ohio	22	25	245	113	29	24	-	-	-	-	-	-									
Ind.	1	9	29	89	4	225	-	-	-	-	-	1									
Ill.	10	21	140	239	-	77	-	-	-	-	-	-									
Mich.	4	-	575	385	100	134	-	-	-	-	-	1									
Wis.	-	1	12	84	-	27	-	-	-	-	-	-									
W.N. CENTRAL	36	20	223	559	92	111	-	-	-	-	-	-									
Minn.	11	10	18	22	13	10	-	-	-	-	-	-									
Iowa	8	1	43	251	16	16	-	-	-	-	-	-									
Mo.	11	5	126	226	53	70	-	-	-	-	-	-									
N. Dak.	-	-	-	2	-	1	U	-	U	-	-	-									
S. Dak.	1	-	8	3	-	1	-	-	-	-	-	-									
Nebr.	3	-	15	14	6	4	-	-	-	-	-	-									
Kans.	2	4	13	41	4	9	-	-	-	-	-	-									
S. ATLANTIC	85	65	520	481	314	262	-	-	-	1	1	5									
Del.	-	-	1	1	-	-	-	-	-	-	-	-									
Md.	23	17	101	117	51	52	-	-	-	-	-	1									
D.C.	2	-	22	19	7	4	-	-	-	-	-	-									
Va.	8	10	38	82	26	30	-	-	-	-	-	2									
W. Va.	1	2	5	-	7	2	-	-	-	-	-	-									
N.C.	13	9	42	28	67	68	-	-	-	-	-	-									
S.C.	2	1	6	11	32	-	-	-	-	-	-	-									
Ga.	20	17	140	109	36	57	-	-	-	-	-	1									
Fla.	16	9	165	114	88	49	-	-	-	1	1	1									
E.S. CENTRAL	28	22	134	137	118	138	-	-	-	-	-	-									
Ky.	2	5	6	7	7	11	U	-	U	-	-	-									
Tenn.	14	11	76	77	59	102	-	-	-	-	-	-									
Ala.	10	5	27	31	28	25	-	-	-	-	-	-									
Miss.	2	1	25	22	24	-	-	-	-	-	-	-									
W.S. CENTRAL	21	19	450	851	136	281	1	1	-	2	3	-									
Ark.	1	-	12	14	11	27	-	-	-	-	-	-									
La.	4	7	19	8	38	10	-	-	-	-	-	-									
Okla.	14	10	135	147	36	16	-	-	-	-	-	-									
Tex.	2	2	284	682	51	228	1	1	-	2	3	-									
MOUNTAIN	36	62	450	989	154	238	-	1	-	-	1	-									
Mont.	1	-	5	10	7	2	-	-	-	-	-	-									
Idaho	1	-	17	67	7	10	-	-	-	-	-	-									
Wyo.	1	-	2	13	1	2	-	-	-	-	-	-									
Colo.	2	12	89	77	31	32	-	1	-	-	1	-									
N. Mex.	10	2	14	54	50	96	-	-	-	-	-	-									
Ariz.	18	31	259	633	30	54	-	-	-	-	-	-									
Utah	3	3	21	59	9	19	-	-	-	-	-	-									
Nev.	-	14	43	76	19	23	-	-	-	-	-	-									
PACIFIC	31	41	1,211	1,758	469	526	-	14	-	2	16	3									
Wash.	-	1	83	272	14	38	-	-	-	-	-	-									
Oreg.	13	19	75	139	24	61	-	8	-	-	8	-									
Calif.	16	18	1,050	1,322	420	418	-	6	-	2	8	3									
Alaska	2	1	2	3	7	3	-	-	-	-	-	-									
Hawaii	-	2	1	22	4	6	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	1	26	13	32	166	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	-	-	26	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


