
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending August 11, 2007 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2006
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2007
Syphillis, primary & secondary cummulative for 2006

tab delimited data:
test
UNITED STATES	18	47	256	1,536	1,652	2	8	35	272	254	114	200	310	6,025	5,674						
NEW ENGLAND	-	1	12	34	93	-	0	3	6	2	1	4	13	143	135						
Conn.	-	0	5	-	70	-	0	0	-	-	1	0	10	21	28						
Maine	-	0	2	9	6	-	0	2	1	1	-	0	1	3	7						
Mass.	-	0	0	-	-	-	0	0	-	-	-	2	8	86	82						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	3	19	9						
R.I.	-	0	4	14	8	-	0	1	3	-	-	0	5	13	7						
Vt.	-	0	2	11	9	-	0	1	2	1	-	0	1	1	2						
MID. ATLANTIC	1	2	9	89	104	-	0	5	22	14	16	27	45	967	698						
N.J.	-	0	0	-	-	-	0	0	-	-	6	3	8	109	102						
N.Y. (Upstate)	1	1	5	30	33	-	0	4	8	7	1	3	14	82	90						
N.Y. City	-	0	0	-	-	-	0	0	-	-	7	16	35	611	336						
Pa.	-	2	6	59	71	-	0	2	14	7	2	5	10	165	170						
E.N. CENTRAL	3	9	40	381	362	1	1	7	49	56	22	15	27	481	551						
Ill.	-	0	4	13	19	-	0	1	2	5	10	7	13	223	278						
Ind.	1	2	31	98	95	1	0	5	13	15	1	1	6	34	49						
Mich.	-	0	1	2	15	-	0	1	1	2	3	2	8	74	69						
Ohio	2	6	38	268	233	-	1	5	33	34	5	3	9	111	118						
Wis.	N	0	0	N	N	-	0	0	-	-	3	1	4	39	37						
W.N. CENTRAL	-	2	124	107	30	-	0	15	7	1	7	6	14	205	179						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	3	8	13						
Kans.	-	0	10	59	-	-	0	2	3	-	2	0	3	12	13						
Minn.	-	0	123	-	-	-	0	15	-	-	-	1	5	50	34						
Mo.	-	1	5	40	29	-	0	1	-	1	5	3	12	129	111						
Nebr.	-	0	1	2	-	-	0	0	-	-	-	0	2	2	2						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
S. Dak.	-	0	3	6	1	-	0	1	4	-	-	0	3	4	5						
S. ATLANTIC	13	21	59	692	792	1	4	15	138	121	37	46	180	1,384	1,249						
Del.	-	0	1	5	-	-	0	1	2	-	-	0	3	7	15						
D.C.	-	0	2	5	19	-	0	0	-	2	1	2	12	105	69						
Fla.	13	11	29	403	415	1	2	8	79	79	23	15	25	491	457						
Ga.	-	7	17	231	269	-	1	10	49	40	-	7	153	200	196						
Md.	-	0	1	1	-	-	0	0	-	-	2	6	15	185	186						
N.C.	-	0	0	-	-	-	0	0	-	-	5	5	23	206	189						
S.C.	-	0	0	-	-	-	0	0	-	-	1	1	10	60	43						
Va.	N	0	0	N	N	-	0	0	-	-	5	4	17	125	91						
W. Va.	-	1	17	47	89	-	0	1	8	-	-	0	2	5	3						
E.S. CENTRAL	1	3	9	104	138	-	0	3	21	24	11	16	29	495	399						
Ala.	N	0	0	N	N	-	0	0	-	-	-	7	15	188	173						
Ky.	-	0	2	17	26	-	0	1	2	6	1	1	7	40	39						
Miss.	-	0	2	-	17	-	0	0	-	-	-	1	9	58	38						
Tenn.	1	2	8	87	95	-	0	3	19	18	10	6	14	209	149						
W.S. CENTRAL	-	1	10	90	63	-	0	3	15	6	15	32	55	1,037	893						
Ark.	-	0	1	1	9	-	0	0	-	2	2	1	8	70	40						
La.	-	1	3	45	54	-	0	2	6	4	4	7	29	246	150						
Okla.	-	0	8	44	-	-	0	2	9	-	-	1	5	42	41						
Tex.	-	0	0	-	-	-	0	0	-	-	9	21	38	679	662						
MOUNTAIN	-	1	5	39	70	-	0	3	14	30	1	7	27	191	307						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	2	16	73	123						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	5	19	49						
