
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 15, 2003 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	175	243	17	11	7	1	2,419	3,194	56,767	71,685											
NEW ENGLAND	10	17	2	1	-	-	145	327	1,303	1,706											
Maine	-	-	-	-	-	-	18	35	6	14											
N.H.	2	1	-	-	-	-	11	13	22	28											
Vt.	-	-	-	-	-	-	14	22	21	24											
Mass.	4	9	-	1	-	-	83	185	428	744											
R.I.	-	2	-	-	-	-	18	18	198	190											
Conn.	4	5	2	-	-	-	1	54	628	706											
MID. ATLANTIC	10	17	1	-	2	-	402	654	4,806	8,331											
Upstate N.Y.	5	12	1	-	2	-	142	170	1,315	1,343											
N.Y. City	2	1	-	-	-	-	196	202	345	2,596											
N.J.	3	4	-	-	-	-	31	106	1,155	1,634											
Pa.	N	N	-	-	-	-	33	176	1,991	2,758											
E.N. CENTRAL	41	83	3	-	2	-	422	636	12,169	15,030											
Ohio	13	14	3	-	2	-	178	184	4,094	4,234											
Ind.	6	7	-	-	-	-	-	-	1,329	1,580											
Ill.	5	24	-	-	-	-	80	185	2,646	4,741											
Mich.	8	17	-	-	-	-	134	168	2,992	3,286											
Wis.	9	21	-	-	-	-	30	99	1,108	1,189											
W.N. CENTRAL	30	34	3	3	2	-	271	278	3,139	3,760											
Minn.	11	8	3	3	-	-	83	83	401	671											
Iowa	3	8	-	-	-	-	40	53	180	215											
Mo.	8	9	N	N	N	N	72	71	1,730	1,794											
N. Dak.	1	-	-	-	1	-	8	3	5	16											
S. Dak.	2	1	-	-	-	-	10	13	25	52											
Nebr.	4	5	-	-	-	-	34	26	233	296											
Kans.	1	3	-	-	1	-	24	29	565	716											
S. ATLANTIC	24	33	3	5	-	-	442	489	15,815	17,510											
Del.	-	1	-	-	-	-	10	10	287	365											
Md.	-	-	-	-	-	-	22	19	1,687	1,764											
D.C.	-	-	-	-	-	-	-	11	551	612											
Va.	2	3	-	-	-	-	39	16	1,598	2,071											
W. Va.	-	-	-	-	-	-	5	4	168	191											
N.C.	6	6	-	-	-	-	N	N	2,871	2,944											
S.C.	-	-	-	-	-	-	10	3	1,566	1,699											
Ga.	8	18	-	4	-	-	171	116	3,307	3,358											
Fla.	8	5	3	1	-	-	185	310	3,780	4,506											
E.S. CENTRAL	10	4	-	-	-	-	55	59	5,520	6,398											
Ky.	1	-	-	-	-	-	N	N	753	741											
Tenn.	5	3	-	-	-	-	22	22	1,690	2,030											
Ala.	3	-	-	-	-	-	33	37	1,875	2,278											
Miss.	1	1	-	-	-	-	-	-	1,202	1,349											
W.S. CENTRAL	1	4	-	-	-	1	42	17	8,483	10,305											
Ark.	1	-	-	-	-	-	27	17	754	975											
La.	-	-	-	-	-	-	3	-	2,158	2,528											
Okla.	-	-	-	-	-	-	12	-	628	846											
Tex.	-	4	-	-	-	1	-	-	4,943	5,956											
MOUNTAIN	22	17	4	1	1	-	256	252	1,987	2,341											
Mont.	-	3	-	-	-	-	5	14	29	26											
Idaho	6	1	2	-	-	-	30	6	16	22											
Wyo.	-	-	-	1	-	-	3	2	11	14											
Colo.	5	2	1	-	1	-	71	93	523	837											
N. Mex.	-	2	1	-	-	-	11	26	164	311											
Ariz.	8	3	N	N	N	N	55	42	890	728											
Utah	3	3	-	-	-	-	56	38	64	19											
Nev.	-	3	-	-	-	-	25	31	290	384											
PACIFIC	27	34	1	1	-	-	384	482	3,545	6,304											
Wash.	11	5	-	-	-	-	33	42	572	626											
Oreg.	4	7	1	1	-	-	67	99	193	190											
Calif.	12	21	-	-	-	-	250	295	2,496	5,232											
Alaska	-	-	-	-	-	-	16	17	87	136											
Hawaii	-	1	-	-	-	-	18	29	197	120											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	2	-	20	3											
V.I.	-	-	-	-	-	-	-	-	-	16											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


