
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 24, 2004 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	8,910	12,447	243,769	260,313	1,516	1,065	708	562	5	-											
NEW ENGLAND	311	429	8,749	8,493	-	-	36	41	-	-											
Maine	5	13	520	599	N	N	6	2	-	-											
N.H.	11	7	534	477	-	-	10	5	-	-											
Vt.	7	5	340	329	-	-	5	6	-	-											
Mass.	84	186	4,411	3,295	-	-	9	21	-	-											
R.I.	32	29	1,054	981	-	-	1	5	-	-											
Conn.	172	189	1,890	2,812	N	N	5	2	-	-											
MID. ATLANTIC	1,283	2,836	33,075	31,443	-	-	118	85	-	-											
Upstate N.Y.	134	139	6,584	5,387	N	N	27	17	-	-											
N.Y. City	380	1,589	9,496	10,712	-	-	25	33	-	-											
N.J.	386	424	4,130	4,410	-	-	7	3	-	-											
Pa.	383	684	12,865	10,934	N	N	59	32	-	-											
E.N. CENTRAL	806	1,182	41,326	48,560	5	2	161	130	1	-											
Ohio	229	154	9,405	13,495	-	-	45	19	1	-											
Ind.	117	178	5,120	5,162	N	N	25	7	-	-											
Ill.	279	554	10,199	14,989	-	-	8	21	-	-											
Mich.	132	236	12,513	9,639	5	2	37	26	-	-											
Wis.	49	60	4,089	5,275	-	-	46	57	-	-											
W.N. CENTRAL	228	194	14,311	15,040	4	1	78	49	1	-											
Minn.	48	41	2,486	3,325	N	N	32	27	-	-											
Iowa	11	27	1,087	1,509	N	N	12	7	-	-											
Mo.	107	83	5,749	5,497	3	1	15	5	1	-											
N. Dak.	10	-	324	405	N	N	-	1	-	-											
S. Dak.	-	4	775	727	-	-	9	7	-	-											
Nebr.	6	18	1,567	1,390	1	-	1	2	-	-											
Kans.	46	21	2,323	2,187	N	N	9	-	-	-											
S. ATLANTIC	3,510	3,586	44,653	47,362	-	1	149	83	2	-											
Del.	42	57	934	953	N	N	-	1	-	-											
Md.	343	193	5,820	4,997	-	1	7	6	-	-											
D.C.	149	380	1,127	1,069	-	-	1	-	-	-											
Va.	141	297	7,066	5,097	-	-	15	9	-	-											
W. Va.	30	20	883	774	N	N	2	-	-	-											
N.C.	243	437	8,425	7,224	N	N	30	10	-	-											
S.C.	204	213	5,947	4,456	-	-	5	1	2	-											
Ga.	509	492	2,399	10,177	-	-	52	31	-	-											
Fla.	1,849	1,497	12,052	12,615	N	N	37	25	-	-											
E.S. CENTRAL	446	493	14,905	16,970	N	N	34	38	-	-											
Ky.	42	57	1,657	2,584	N	N	8	8	-	-											
Tenn.	187	221	6,743	5,867	N	N	12	11	-	-											
Ala.	127	110	3,286	4,520	-	-	9	16	-	-											
Miss.	90	105	3,219	3,999	N	N	5	3	-	-											
W.S. CENTRAL	1,307	1,280	32,084	31,729	1	5	22	13	1	-											
Ark.	43	35	2,258	1,940	1	-	8	2	-	-											
La.	281	137	7,734	5,578	N	N	-	-	1	-											
Okla.	37	51	3,193	2,838	N	N	8	3	-	-											
Tex.	946	1,057	18,899	21,373	-	5	6	8	-	-											
MOUNTAIN	257	459	12,846	15,782	944	748	36	27	-	-											
Mont.	-	7	263	699	N	N	4	3	-	-											
Idaho	2	5	981	806	N	N	4	6	-	-											
Wyo.	2	4	337	316	-	-	2	1	-	-											
Colo.	48	105	2,441	4,078	N	N	18	6	-	-											
N. Mex.	20	41	1,459	2,231	7	-	1	1	-	-											
Ariz.	109	217	5,148	4,791	908	734	5	2	-	-											
Utah	17	22	845	971	10	2	1	6	-	-											
Nev.	59	58	1,372	1,890	19	12	1	2	-	-											
PACIFIC	762	1,988	41,820	44,934	560	308	74	96	-	-											
Wash.	127	160	5,308	4,739	N	N	4	-	-	-											
Oreg.	53	87	1,759	2,362	-	-	9	9	-	-											
Calif.	543	1,700	33,624	35,079	560	308	60	87	-	-											
Alaska	8	9	1,118	1,100	-	-	-	-	-	-											
Hawaii	31	32	11	1,654	-	-	1	-	-	-											
Guam	1	1	-	-	-	-	-	-	-	-											
P.R.	143	325	494	659	N	N	N	N	-	-											
V.I.	2	9	20	110	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


