
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending September 29, 2007 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2006
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2007
Syphillis, primary & secondary cummulative for 2006

tab delimited data:
test
UNITED STATES	25	49	256	1,727	1,812	3	9	35	317	285	136	200	310	7,616	7,085						
NEW ENGLAND	-	1	12	35	100	-	0	3	6	3	4	5	13	184	155						
Conn.	-	0	5	-	75	-	0	0	-	-	-	0	10	24	33						
Maine	-	0	2	9	6	-	0	2	1	1	-	0	2	6	8						
Mass.	-	0	0	-	-	-	0	0	-	-	4	3	8	117	94						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	3	22	10						
R.I.	-	0	4	14	9	-	0	1	3	-	-	0	5	14	8						
Vt.	-	0	2	12	10	-	0	1	2	2	-	0	1	1	2						
MID. ATLANTIC	-	2	9	98	109	-	0	5	21	15	23	28	44	1,151	849						
N.J.	-	0	0	-	-	-	0	0	-	-	1	4	8	148	130						
N.Y. (Upstate)	-	1	5	34	35	-	0	4	7	7	1	3	14	105	113						
N.Y. City	-	0	0	-	-	-	0	0	-	-	15	16	34	709	401						
Pa.	-	2	6	64	74	-	0	2	14	8	6	5	10	189	205						
E.N. CENTRAL	10	9	40	416	388	-	2	7	55	60	3	16	27	593	664						
Ill.	-	0	4	15	21	-	0	1	2	5	-	7	13	269	324						
Ind.	5	2	31	106	102	-	0	5	17	16	-	1	6	39	67						
Mich.	-	0	1	2	15	-	0	1	1	2	-	2	9	90	85						
Ohio	5	5	38	293	250	-	1	5	35	37	2	4	10	151	137						
Wis.	N	0	0	N	N	-	0	0	-	-	1	1	4	44	51						
W.N. CENTRAL	-	2	124	116	33	-	0	15	9	2	2	6	13	260	217						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	3	11	15						
Kans.	-	0	11	63	-	-	0	2	5	-	1	0	3	16	18						
Minn.	-	0	123	-	1	-	0	15	-	-	-	1	5	50	37						
Mo.	-	1	5	45	31	-	0	1	-	2	1	4	11	174	130						
Nebr.	-	0	1	2	-	-	0	0	-	-	-	0	2	2	5						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
S. Dak.	-	0	3	6	1	-	0	1	4	-	-	0	3	7	11						
S. ATLANTIC	10	21	59	783	885	3	4	15	166	139	50	47	180	1,782	1,593						
Del.	-	0	1	7	-	-	0	1	2	-	1	0	3	12	16						
D.C.	-	0	2	5	20	-	0	0	-	2	3	2	12	133	90						
Fla.	6	11	29	454	473	3	2	8	97	89	23	15	38	661	554						
Ga.	3	7	17	267	297	-	1	10	59	48	-	6	153	249	283						
Md.	-	0	1	1	-	-	0	0	-	-	10	6	15	234	235						
N.C.	-	0	0	-	-	-	0	0	-	-	5	5	23	242	223						
S.C.	-	0	0	-	-	-	0	0	-	-	2	2	11	78	52						
Va.	N	0	0	N	N	-	0	0	-	-	6	4	17	168	133						
W. Va.	1	1	17	49	95	-	0	1	8	-	-	0	1	5	7						
E.S. CENTRAL	4	3	9	122	153	-	0	3	27	28	10	17	30	631	530						
Ala.	N	0	0	N	N	-	0	0	-	-	-	6	16	251	243						
Ky.	1	0	2	19	29	-	0	1	2	6	3	1	7	44	55						
Miss.	-	0	2	-	20	-	0	0	-	-	-	2	9	76	47						
Tenn.	3	2	8	103	104	-	0	3	25	22	7	6	14	260	185						
W.S. CENTRAL	-	2	11	113	66	-	0	3	17	6	34	35	55	1,351	1,131						
Ark.	-	0	1	1	10	-	0	0	-	2	1	1	10	92	59						
La.	-	1	4	51	56	-	0	2	7	4	12	8	29	347	200						
Okla.	-	0	9	61	-	-	0	2	10	-	-	1	4	42	54						
Tex.	-	0	0	-	-	-	0	0	-	-	21	21	39	870	818						
MOUNTAIN	1	1	5	44	78	-	0	3	14	32	6	7	19	262	380						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	3	12	104	142						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	5	30	57						
Idaho	N	0	0	N	N	-	0	0	-	-	-	0	1	1	3						
Mont.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	1						
Nev.	1	0	3	17	16	-	0	2	5	1	6	2	6	83	108						
N. Mex.	-	0	0	-	-	-	0	0	-	-	-	1	7	36	55						
Utah	-	0	5	15	32	-	0	3	8	22	-	0	2	6	14						
Wyo.	-	0	2	12	30	-	0	1	1	9	-	0	1	1	-						
PACIFIC	-	0	0	-	-	-	0	1	2	-	4	38	57	1,402	1,566						
Alaska	-	0	0	-	-	-	0	0	-	-	-	0	1	5	8						
Calif.	N	0	0	N	N	-	0	0	-	-	2	36	54	1,279	1,388						
Hawaii	-	0	0	-	-	-	0	1	2	-	1	0	1	6	15						
Oreg.	N	0	0	N	N	-	0	0	-	-	-	0	6	13	14						
Wash.	N	0	0	N	N	-	0	0	-	-	1	2	12	99	141						
Amer. Samoa	U	0	0	U	U	U	0	1	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	N	0	0	N	N	-	0	0	-	-	-	0	1	3	-						
P.R.	N	0	0	N	N	-	0	0	-	-	2	3	11	117	109						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


