
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 14, 2001 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	81,486	99,721	521	946	190	204	82	567	1,184												
NEW ENGLAND	1,572	1,842	5	6	8	16	10	141	171												
Maine	37	22	-	-	-	2	-	-	-												
N.H.	35	26	-	-	2	2	-	42	18												
Vt.	26	15	3	3	3	-	-	1	-												
Mass.	762	728	2	3	2	9	6	19	63												
R.I.	201	169	-	-	-	-	-	-	-												
Conn.	511	882	-	-	1	3	4	79	90												
MID. ATLANTIC	9,030	10,387	23	198	17	45	9	272	806												
Upstate N.Y.	2,017	1,686	14	13	11	16	3	216	322												
N.Y. City	3,210	3,371	-	-	3	5	2	-	29												
N.J.	797	2,202	-	176	2	2	1	-	98												
Pa.	3,006	3,128	9	9	1	22	3	56	357												
E.N. CENTRAL	11,797	19,974	60	76	58	59	8	13	28												
Ohio	341	4,927	4	-	32	26	1	13	4												
Ind.	1,764	1,721	-	-	6	9	1	-	-												
Ill.	3,922	6,668	3	9	-	6	-	-	1												
Mich.	4,886	4,606	53	67	14	10	5	-	-												
Wis.	884	2,052	-	-	6	8	1	U	23												
W.N. CENTRAL	3,866	4,600	141	139	15	11	2	20	18												
Minn.	504	893	-	-	1	1	-	13	6												
Iowa	307	272	-	-	4	3	-	1	-												
Mo.	2,008	2,260	136	132	7	5	1	4	6												
N. Dak.	9	14	-	-	-	-	-	-	-												
S. Dak.	58	75	-	-	-	1	-	-	-												
Nebr.	248	351	2	2	2	-	-	1	1												
Kans.	732	735	3	5	1	1	1	1	5												
S. ATLANTIC	22,754	27,488	31	23	28	38	16	99	128												
Del.	453	464	-	2	-	3	-	-	16												
Md.	2,310	2,399	10	4	7	11	2	83	93												
D.C.	913	636	-	-	1	-	-	6	-												
Va.	2,633	2,893	-	1	4	3	2	6	8												
W. Va.	139	167	3	2	N	N	1	1	4												
N.C.	4,801	5,136	7	8	2	5	-	2	4												
S.C.	2,592	4,936	2	-	-	2	-	-	-												
Ga.	3,933	4,334	-	-	2	2	4	-	-												
Fla.	4,980	6,523	9	6	12	12	7	1	3												
E.S. CENTRAL	8,922	10,398	65	140	17	6	7	2	1												
Ky.	932	945	3	15	6	4	1	2	-												
Tenn.	2,796	3,202	18	26	7	1	3	-	1												
Ala.	3,153	3,654	1	4	2	1	3	-	-												
Miss.	2,041	2,597	43	95	2	-	-	-	-												
W.S. CENTRAL	13,925	14,965	142	281	3	5	2	-	9												
Ark.	1,511	767	3	3	-	-	1	-	-												
La.	3,353	3,790	56	171	2	2	-	-	2												
Okla.	1,366	1,093	2	-	1	1	-	-	-												
Tex.	7,695	9,315	81	107	-	2	1	-	7												
MOUNTAIN	2,712	3,064	23	30	15	13	7	1	-												
Mont.	26	8	-	1	-	-	-	-	-												
Idaho	26	26	1	-	-	1	-	-	-												
Wyo.	16	20	3	1	1	-	-	-	-												
Colo.	958	990	8	12	4	6	1	-	-												
N. Mex.	272	296	7	4	1	1	2	-	-												
Ariz.	956	1,249	1	9	6	2	1	-	-												
Utah	26	89	-	-	1	3	1	-	-												
Nev.	432	386	3	3	2	-	2	1	-												
PACIFIC	6,908	7,003	31	53	29	11	21	19	23												
Wash.	898	706	9	6	5	5	2	2	-												
Oreg.	45	241	1	12	N	N	-	1	2												
Calif.	5,715	5,864	21	35	24	6	19	16	21												
Alaska	87	81	-	-	-	-	-	-	-												
Hawaii	163	111	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	364	140	-	1	2	-	-	N	N												
V.I.	U	U	U	U	U	U	-	U	U												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


