
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending June 23, 2007 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	84	87	261	2,763	3,176	9	29	108	814	729											
NEW ENGLAND	23	5	29	206	204	-	2	11	57	65											
Conn.	23	0	17	58	57	-	0	6	-	21											
Maine	-	0	3	18	9	-	0	1	1	-											
Mass.	-	3	10	95	105	-	1	6	42	38											
N.H.	-	0	5	22	21	-	0	2	7	6											
R.I.	-	0	12	-	4	-	0	3	5	-											
Vt.	-	0	2	13	8	-	0	1	2	-											
MID. ATLANTIC	7	15	41	532	595	1	4	20	97	103											
N.J.	-	2	8	69	108	-	1	4	14	40											
N.Y. (Upstate)	3	5	27	174	178	1	2	15	60	53											
N.Y. City	-	3	12	121	107	-	1	3	23	10											
Pa.	4	6	11	168	202	N	0	0	N	N											
E.N. CENTRAL	10	16	32	505	645	1	5	14	119	193											
Ill.	-	4	13	125	198	-	1	6	11	54											
Ind.	3	2	12	70	75	-	0	10	13	25											
Mich.	3	3	10	124	132	-	1	4	49	47											
Ohio	4	4	14	160	166	1	1	7	38	39											
Wis.	-	1	6	26	74	-	0	2	8	28											
W.N. CENTRAL	-	5	32	200	212	2	2	8	63	55											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	24	38	-	0	1	1	9											
Minn.	-	0	29	97	101	2	1	6	43	30											
Mo.	-	2	6	50	38	-	0	2	13	10											
Nebr.	-	0	3	15	20	-	0	2	5	4											
N. Dak.	-	0	2	9	8	-	0	2	1	2											
S. Dak.	-	0	2	5	7	-	0	0	-	-											
S. ATLANTIC	34	20	48	634	679	3	3	14	167	47											
Del.	1	0	2	5	7	-	0	0	-	-											
D.C.	-	0	3	8	9	-	0	1	-	-											
Fla.	10	6	16	163	138	1	0	5	36	-											
Ga.	-	5	11	111	153	-	0	5	44	-											
Md.	4	4	8	117	135	-	1	6	41	39											
N.C.	17	0	16	73	93	-	0	0	-	-											
S.C.	-	1	7	60	46	1	0	3	19	-											
Va.	2	2	11	81	80	1	0	3	24	-											
W. Va.	-	0	3	16	18	-	0	4	3	8											
E.S. CENTRAL	4	4	9	113	134	-	1	6	50	11											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	28	33	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	11											
Tenn.	4	3	6	85	101	-	0	6	48	-											
W.S. CENTRAL	2	6	90	171	233	1	4	43	123	117											
Ark.	-	0	2	14	18	-	0	2	7	15											
La.	-	0	1	6	11	-	0	4	25	16											
Okla.	1	2	23	44	63	1	1	13	30	23											
Tex.	1	3	64	107	141	-	1	27	61	63											
MOUNTAIN	4	10	23	332	426	-	4	12	117	125											
Ariz.	2	5	11	132	218	-	2	7	64	72											
Colo.	-	3	9	98	74	-	1	4	33	31											
Idaho	-	0	1	6	6	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	2	-	0	1	1	-											
N. Mex.	-	1	5	31	81	-	0	4	17	21											
Utah	2	1	7	59	42	-	0	0	-	-											
Wyo.	-	0	1	4	3	-	0	0	-	-											
PACIFIC	-	3	9	70	48	1	0	4	21	13											
Alaska	-	0	3	18	N	1	0	2	19	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	52	48	-	0	2	2	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


