
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending March 1, 2003 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2003
Syphilis (Primary and Secondary) cummulative for 2002
Syphilis (Congenital) cummulative for 2003
Syphilis (Congenital) cummulative for 2002
Tuberculosis cummulative for 2003
Tuberculosis cummulative for 2002
Typhoid Fever cummulative for 2003
Typhoid Fever cummulative for 2002
Varicella (Chicken Pox) cummulative for 2003
Varicella (Chicken Pox) cummulative for 2002

tab delimited data:
test
UNITED STATES	902	972	35	71	827	1,478	20	46	2,052												
NEW ENGLAND	27	12	-	-	18	45	1	4	419												
Maine	-	-	-	-	-	2	-	-	216												
N.H.	1	-	-	-	1	1	-	-	-												
Vt.	-	-	-	-	-	-	-	-	156												
Mass.	21	6	-	-	8	9	-	3	47												
R.I.	5	2	-	-	3	12	-	-	-												
Conn.	-	4	-	-	6	21	1	1	-												
MID. ATLANTIC	95	90	7	10	192	251	2	8	-												
Upstate N.Y.	3	4	5	1	19	28	1	-	N												
N.Y. City	65	47	1	3	161	132	1	4	-												
N.J.	26	22	1	6	-	56	-	4	-												
Pa.	1	17	-	-	12	35	-	-	-												
E.N. CENTRAL	121	190	9	9	130	143	2	7	1,179												
Ohio	33	27	1	-	20	19	-	2	310												
Ind.	4	10	3	-	22	17	1	1	-												
Ill.	18	61	4	8	65	69	-	1	-												
Mich.	64	86	1	1	20	30	1	2	853												
Wis.	2	6	-	-	3	8	-	1	16												
W.N. CENTRAL	20	15	-	-	57	77	-	2	5												
Minn.	6	5	-	-	23	32	-	1	N												
Iowa	1	-	-	-	6	-	-	-	-												
Mo.	6	5	-	-	8	28	-	1	-												
N. Dak.	-	-	-	-	-	-	-	-	5												
S. Dak.	-	-	-	-	8	5	-	-	-												
Nebr.	-	2	-	-	2	1	-	-	-												
Kans.	7	3	-	-	10	11	-	-	-												
S. ATLANTIC	265	230	4	17	101	269	4	10	434												
Del.	1	3	-	-	-	-	-	-	1												
Md.	43	18	-	2	17	19	1	1	-												
D.C.	7	7	-	-	-	-	-	-	-												
Va.	12	7	1	-	21	26	-	-	80												
W. Va.	-	-	-	-	2	5	-	-	348												
N.C.	27	64	-	5	22	34	1	-	N												
S.C.	21	21	1	2	17	18	-	-	5												
Ga.	54	32	-	4	22	32	-	5	-												
Fla.	100	78	2	4	-	135	2	4	-												
E.S. CENTRAL	64	108	4	6	89	95	-	-	-												
Ky.	12	9	-	2	7	15	-	-	N												
Tenn.	28	46	4	2	29	49	-	-	N												
Ala.	22	34	-	-	45	24	-	-	-												
Miss.	2	19	-	2	8	7	-	-	-												
W.S. CENTRAL	112	131	2	18	19	258	-	3	1												
Ark.	9	6	-	-	9	4	-	-	-												
La.	12	24	-	-	-	-	-	-	1												
Okla.	8	11	-	-	10	3	-	-	N												
Tex.	83	90	2	18	-	251	-	3	-												
MOUNTAIN	38	50	7	4	31	37	2	2	14												
Mont.	-	-	-	-	-	-	-	-	N												
Idaho	-	1	-	-	-	-	-	-	N												
Wyo.	-	-	-	-	1	1	-	-	2												
Colo.	3	3	1	1	11	8	2	1	-												
N. Mex.	3	5	-	-	-	7	-	-	-												
Ariz.	29	41	6	3	18	12	-	-	-												
Utah	1	-	-	-	1	5	-	1	12												
Nev.	2	-	-	-	-	4	-	-	-												
PACIFIC	160	146	2	7	190	303	9	10	-												
Wash.	10	8	-	-	34	26	-	-	-												
Oreg.	10	4	-	-	9	14	2	2	-												
Calif.	136	133	2	7	121	229	7	8	-												
Alaska	-	-	-	-	9	15	-	-	-												
Hawaii	4	1	-	-	17	19	-	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	17	-	1	-	-	-	-	-	3												
V.I.	-	1	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


