
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending April 9, 2005 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	1,381	1,609	863	835	220	243	1,686	1,984	61	112											
NEW ENGLAND	50	78	9	10	21	32	50	44	-	-											
Maine	2	3	N	N	-	-	1	-	-	-											
N.H.	3	9	-	-	1	N	4	1	-	-											
Vt.	6	2	3	3	1	1	-	-	-	-											
Mass.	33	62	-	3	19	29	43	27	-	-											
R.I.	6	2	6	4	-	2	1	2	-	-											
Conn.	-	-	-	-	U	U	1	14	-	-											
MID. ATLANTIC	285	261	88	54	41	34	203	256	12	15											
Upstate N.Y.	110	83	33	20	24	19	18	14	8	1											
N.Y. City	32	48	U	U	U	U	132	158	3	7											
N.J.	58	54	N	N	6	5	32	49	1	6											
Pa.	85	76	55	34	11	10	21	35	-	1											
E.N. CENTRAL	209	342	206	192	51	62	152	230	5	23											
Ohio	75	84	139	150	27	29	59	60	1	1											
Ind.	28	33	67	42	9	11	25	22	-	2											
Ill.	2	96	-	-	11	-	42	90	1	4											
Mich.	96	101	-	N	-	N	20	49	2	16											
Wis.	8	28	N	N	4	22	6	9	1	-											
W.N. CENTRAL	90	123	14	5	25	20	45	43	-	-											
Minn.	31	57	-	-	14	9	2	6	-	-											
Iowa	N	N	N	N	-	N	1	2	-	-											
Mo.	31	24	13	4	1	6	37	25	-	-											
N. Dak.	1	4	-	-	1	-	-	-	-	-											
S. Dak.	7	7	1	1	-	-	-	-	-	-											
Nebr.	8	8	-	-	2	3	1	5	-	-											
Kans.	12	23	N	N	7	2	4	5	-	-											
S. ATLANTIC	291	291	384	430	33	16	444	498	11	18											
Del.	-	1	-	3	-	N	4	2	-	-											
Md.	90	53	-	-	25	12	86	75	5	3											
D.C.	2	2	11	5	2	4	31	23	-	1											
Va.	18	16	N	N	-	N	25	11	3	1											
W. Va.	4	9	25	43	6	-	2	3	-	-											
N.C.	35	37	N	N	U	U	64	43	1	1											
S.C.	7	23	-	44	-	N	20	34	-	4											
Ga.	59	81	152	116	-	N	27	94	-	1											
Fla.	76	69	196	219	-	N	185	213	2	7											
E.S. CENTRAL	54	74	48	55	1	-	97	103	9	4											
Ky.	15	26	7	12	N	N	6	14	-	-											
Tenn.	39	48	41	43	-	N	39	45	7	1											
Ala.	-	-	-	-	-	N	43	32	2	2											
Miss.	-	-	-	-	1	-	9	12	-	1											
W.S. CENTRAL	65	117	52	26	27	57	320	300	16	25											
Ark.	6	3	6	3	3	4	12	14	-	3											
La.	4	1	46	23	7	15	50	63	2	-											
Okla.	46	19	N	N	11	15	13	7	1	2											
Tex.	9	94	N	N	6	23	245	216	13	20											
MOUNTAIN	233	181	36	15	21	22	85	99	8	4											
Mont.	-	-	-	-	-	-	5	-	-	-											
Idaho	1	3	N	N	-	N	6	8	-	-											
Wyo.	1	4	12	4	-	-	-	1	-	-											
Colo.	105	28	N	N	20	20	8	17	-	-											
N. Mex.	14	39	-	5	-	-	7	25	1	1											
Ariz.	86	94	N	N	-	N	39	42	7	3											
Utah	26	13	23	4	1	2	1	2	-	-											
Nev.	-	-	1	2	-	-	19	4	-	-											
PACIFIC	104	142	26	48	-	-	290	411	-	23											
Wash.	N	N	N	N	N	N	44	21	-	-											
Oreg.	N	N	N	N	-	N	8	11	-	-											
Calif.	75	112	N	N	N	N	235	375	-	23											
Alaska	-	-	-	-	-	N	1	-	-	-											
Hawaii	29	30	26	48	-	-	2	4	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	N	N	N	N	-	N	35	36	3	2											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


