
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending November 12, 2005 (WEEK 45)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,788	1,715	4	12	95	106	178	155													
NEW ENGLAND	141	162	-	1	10	10	6	1													
Maine	6	12	-	-	-	-	1	-													
N.H.	8	17	-	-	-	2	-	-													
Vt.	10	8	-	-	-	-	3	1													
Mass.	66	74	-	1	3	4	1	-													
R.I.	7	6	-	-	2	1	-	-													
Conn.	44	45	-	-	5	3	1	-													
MID. ATLANTIC	368	360	-	2	1	5	38	36													
Upstate N.Y.	106	115	-	2	-	5	9	5													
N.Y. City	67	78	-	-	-	-	10	15													
N.J.	77	67	-	-	-	-	10	3													
Pa.	118	100	-	-	1	-	9	13													
E.N. CENTRAL	256	321	1	-	4	8	17	47													
Ohio	99	88	-	-	-	2	7	15													
Ind.	57	42	-	-	4	4	-	1													
Ill.	59	116	-	-	-	-	7	21													
Mich.	18	19	1	-	-	2	2	4													
Wis.	23	56	-	-	-	-	1	6													
W.N. CENTRAL	97	93	-	2	3	3	9	11													
Minn.	40	40	-	1	3	3	2	1													
Iowa	1	1	-	1	-	-	-	-													
Mo.	32	37	-	-	-	-	5	7													
N. Dak.	2	4	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	9	5	-	-	-	-	1	2													
Kans.	13	6	-	-	-	-	-	1													
S. ATLANTIC	424	386	1	1	26	25	30	26													
Del.	-	-	-	-	-	-	-	-													
Md.	62	58	-	-	5	5	-	-													
D.C.	-	3	-	-	-	-	-	1													
Va.	40	39	-	-	-	-	2	5													
W. Va.	25	16	-	-	1	4	6	-													
N.C.	71	54	1	1	8	6	-	1													
S.C.	30	13	-	-	-	-	3	1													
Ga.	83	100	-	-	-	-	13	17													
Fla.	113	103	-	-	12	10	6	1													
E.S. CENTRAL	101	63	-	1	1	1	19	8													
Ky.	8	7	-	-	1	1	2	-													
Tenn.	75	41	-	-	-	-	13	6													
Ala.	18	13	-	1	-	-	4	2													
Miss.	-	2	-	-	-	-	-	-													
W.S. CENTRAL	91	66	1	1	8	8	7	1													
Ark.	5	2	-	-	1	1	-	-													
La.	30	13	1	-	2	-	7	1													
Okla.	54	50	-	-	5	7	-	-													
Tex.	2	1	-	1	-	-	-	-													
MOUNTAIN	193	170	-	4	14	25	36	18													
Mont.	-	-	-	-	-	-	-	-													
Idaho	4	5	-	-	-	-	1	2													
Wyo.	6	1	-	-	-	1	1	-													
Colo.	39	41	-	-	1	-	9	5													
N. Mex.	18	37	-	1	4	8	2	6													
Ariz.	95	58	-	-	7	11	12	2													
Utah	17	15	-	2	-	2	8	2													
Nev.	14	13	-	1	2	3	3	1													
PACIFIC	117	94	1	-	28	21	16	7													
Wash.	4	1	-	-	-	-	3	1													
Oreg.	29	41	-	-	-	-	5	3													
Calif.	50	38	1	-	28	21	2	1													
Alaska	26	5	-	-	-	-	6	1													
Hawaii	8	9	-	-	-	-	-	1													
Guam	-	-	-	-	-	-	-	-													
P.R.	3	2	-	-	-	-	1	2													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


