
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 20, 2001 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2001
AIDS § cummulative for 2000
Chlamydia† cummulative for 2001
Chlamydia† cummulative for 2000
Cryptosporidiosis cummulative for 2001
Cryptosporidiosis cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 2001
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 2001
Escherichia coli O157:H7 PHLIS cummulative for 2000

tab delimited data:
test
UNITED STATES	-	1,493	16,042	30,321	36	60	24	57	8	76											
NEW ENGLAND	-	235	866	1,279	3	2	5	5	1	11											
Maine	-	3	-	66	1	1	-	-	-	-											
N.H.	-	4	29	60	-	-	-	2	1	3											
Vt.	-	-	23	31	2	1	-	-	-	1											
Mass.	-	228	577	550	-	-	5	1	-	1											
R.I.	-	-	136	138	-	-	-	-	-	-											
Conn.	-	-	101	434	-	-	-	2	-	6											
MID. ATLANTIC	-	531	421	2,744	-	4	4	-	-	18											
Upstate N.Y.	-	19	N	N	-	1	4	-	-	16											
N.Y. City	-	335	-	1,243	-	2	-	-	-	-											
N.J.	-	146	56	726	-	-	-	-	-	1											
Pa.	-	31	365	775	-	1	N	N	-	1											
E.N. CENTRAL	-	45	2,820	5,469	10	13	2	15	2	4											
Ohio	-	24	172	1,314	5	4	1	1	-	1											
Ind.	-	-	599	531	2	-	-	1	-	1											
Ill.	-	-	855	2,018	-	2	1	5	-	-											
Mich.	-	19	903	702	3	2	-	5	-	1											
Wis.	-	2	291	904	-	5	-	3	2	1											
W.N. CENTRAL	-	20	451	1,754	4	1	5	13	-	17											
Minn.	-	11	-	451	-	-	-	-	-	9											
Iowa	-	-	14	39	1	-	-	2	-	1											
Mo.	-	-	-	749	-	-	4	8	-	5											
N. Dak.	-	-	-	30	-	1	-	1	-	-											
S. Dak.	-	-	106	66	-	-	1	-	-	-											
Nebr.	-	-	53	154	3	-	-	-	-	1											
Kans.	-	9	278	265	-	-	-	2	-	1											
S. ATLANTIC	-	342	4,056	4,566	4	2	3	2	-	9											
Del.	-	-	165	179	-	-	-	-	-	-											
Md.	-	87	466	466	1	-	-	-	-	1											
D.C.	-	5	136	144	1	-	-	-	U	U											
Va.	-	29	-	463	1	-	-	-	-	3											
W. Va.	-	1	103	94	-	-	-	-	-	-											
N.C.	-	2	737	267	-	-	2	2	-	-											
S.C.	-	6	1,064	1,036	-	-	1	-	-	-											
Ga.	-	-	236	864	-	-	-	-	-	3											
Fla.	-	212	1,149	1,053	1	2	-	-	-	2											
E.S. CENTRAL	-	17	2,231	1,147	2	3	-	-	2	1											
Ky.	-	-	279	316	-	-	-	-	1	-											
Tenn.	-	17	640	684	-	-	-	-	1	1											
Ala.	-	-	637	146	1	3	-	-	-	-											
Miss.	-	-	675	1	1	-	-	-	-	-											
W.S. CENTRAL	-	235	2,038	5,109	1	4	-	5	1	8											
Ark.	-	8	-	173	-	-	-	2	-	1											
La.	-	24	970	856	-	-	-	-	1	3											
Okla.	-	-	502	408	1	-	-	-	-	1											
Tex.	-	203	566	3,672	-	4	-	3	-	3											
MOUNTAIN	-	57	818	1,932	4	6	4	8	2	3											
Mont.	-	1	-	35	-	-	-	4	-	-											
Idaho	-	-	113	112	-	-	2	-	-	-											
Wyo.	-	1	45	35	-	-	-	1	-	1											
Colo.	-	31	-	419	1	2	1	2	-	1											
N. Mex.	-	5	161	200	1	-	-	-	-	-											
Ariz.	-	-	499	687	1	2	1	-	1	1											
Utah	-	-	-	218	1	2	-	-	1	-											
Nev.	-	19	-	226	-	-	-	1	-	-											
PACIFIC	-	11	2,341	6,321	8	25	1	9	-	5											
Wash.	-	-	755	679	N	N	-	-	-	3											
Oreg.	-	-	-	269	1	1	1	-	-	1											
Calif.	-	2	1,432	5,061	7	24	-	7	-	-											
Alaska	-	-	75	107	-	-	-	-	-	-											
Hawaii	-	9	79	205	-	-	-	2	-	1											
Guam	-	-	-	-	-	-	N	N	U	U											
P.R.	-	-	211	U	-	-	-	-	U	U											
V.I.	-	-	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


