
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending February 21, 2009 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	60	88	182	622	833	26	33	53	198	304											
NEW ENGLAND	1	4	31	21	43	-	1	11	3	22											
Conn.	-	0	26	11	-	-	0	11	-	-											
Maine	-	0	3	2	4	-	0	1	-	1											
Mass.	-	1	8	-	35	-	0	3	-	18											
N.H.	-	0	2	3	3	-	0	1	2	3											
R.I.	-	0	8	1	-	-	0	2	-	-											
Vt.	1	0	3	4	1	-	0	1	1	-											
MID. ATLANTIC	11	17	43	113	167	3	3	19	16	43											
N.J.	-	2	11	1	38	-	1	4	2	11											
N.Y. (Upstate)	4	6	22	41	43	3	2	19	14	14											
N.Y. City	-	3	11	17	39	-	0	5	-	18											
Pa.	7	7	16	54	47	N	0	2	N	N											
E.N. CENTRAL	7	16	42	122	167	3	6	11	35	63											
Ill.	-	4	16	27	46	-	1	5	7	19											
Ind.	-	2	19	12	16	-	0	5	2	7											
Mich.	1	3	9	22	40	1	1	5	6	14											
Ohio	6	5	14	53	46	2	1	4	17	12											
Wis.	-	1	10	8	19	-	0	2	3	11											
W.N. CENTRAL	5	5	39	41	61	-	2	11	13	22											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	0	5	8	9	-	0	3	2	2											
Minn.	-	0	35	-	20	-	0	9	3	6											
Mo.	2	2	5	19	24	-	1	2	6	11											
Nebr.	-	1	3	8	6	-	0	1	1	2											
N. Dak.	-	0	3	-	-	-	0	2	-	-											
S. Dak.	2	0	2	6	2	-	0	1	1	1											
S. ATLANTIC	16	21	36	161	179	5	6	16	55	55											
Del.	-	0	1	5	3	-	0	0	-	-											
D.C.	-	0	4	-	3	-	0	1	-	-											
Fla.	7	5	10	42	47	1	1	4	12	5											
Ga.	5	4	14	42	45	3	1	6	22	16											
Md.	-	3	10	27	38	1	1	4	10	15											
N.C.	3	2	10	16	9	N	0	0	N	N											
S.C.	1	1	5	12	10	-	1	6	9	10											
Va.	-	3	9	13	19	-	0	6	-	8											
W. Va.	-	0	3	4	5	-	0	2	2	1											
E.S. CENTRAL	4	3	9	31	22	-	2	6	3	11											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	2	1	3	10	5	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	-	4											
Tenn.	2	3	6	21	17	-	1	5	3	7											
W.S. CENTRAL	9	9	51	59	49	11	5	29	38	29											
Ark.	2	0	2	2	-	1	0	3	7	3											
La.	-	0	2	3	4	-	0	3	5	1											
Okla.	2	2	13	27	17	1	1	7	7	11											
Tex.	5	6	38	27	28	9	3	20	19	14											
MOUNTAIN	6	9	21	58	123	4	4	11	34	54											
Ariz.	2	3	8	19	34	2	2	9	23	31											
Colo.	4	2	10	24	38	2	1	4	7	10											
Idaho	-	0	2	-	3	-	0	1	1	1											
Mont.	N	0	0	N	N	-	0	1	-	-											
Nev.	-	0	1	1	2	N	0	0	N	N											
N. Mex.	-	2	5	12	34	-	0	3	2	6											
Utah	-	1	4	1	12	-	0	4	1	6											
Wyo.	-	0	2	1	-	-	0	1	-	-											
PACIFIC	1	3	8	16	22	-	0	2	1	5											
Alaska	-	0	4	2	4	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	1	2	8	14	18	-	0	2	1	5											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


