
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 23, 2000 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	847	886	8,210	12,011	4,888	5,127	-	48	-	18	66	70									
NEW ENGLAND	68	67	245	226	76	116	-	2	-	4	6	11									
Maine	1	5	14	7	5	1	-	-	-	-	-	-									
N.H.	12	13	18	12	14	12	-	2	-	1	3	1									
Vt.	6	5	8	10	6	2	-	-	-	3	3	-									
Mass.	33	28	98	80	9	39	-	-	-	-	-	8									
R.I.	4	1	19	14	14	26	-	-	-	-	-	-									
Conn.	12	15	88	103	28	36	-	-	-	-	-	2									
MID. ATLANTIC	139	153	779	854	666	645	-	14	-	5	19	5									
Upstate N.Y.	74	62	157	187	100	141	-	9	-	-	9	2									
N.Y. City	28	47	238	275	314	195	-	5	-	4	9	3									
N.J.	28	39	118	102	83	100	-	-	-	-	-	-									
Pa.	9	5	266	290	169	209	U	-	U	1	1	-									
E.N. CENTRAL	117	147	992	2,264	520	534	-	8	-	-	8	2									
Ohio	44	50	211	504	86	74	-	2	-	-	2	-									
Ind.	26	20	74	84	39	34	-	-	-	-	-	1									
Ill.	40	60	348	570	91	44	-	4	-	-	4	-									
Mich.	7	13	346	1,048	303	355	-	2	-	-	2	1									
Wis.	-	4	13	58	1	27	-	-	-	-	-	-									
W.N. CENTRAL	51	57	672	581	549	202	-	2	-	1	3	-									
Minn.	29	36	170	58	30	38	-	-	-	1	1	-									
Iowa	-	2	59	108	26	31	-	2	-	-	2	-									
Mo.	13	6	325	350	436	110	-	-	-	-	-	-									
N. Dak.	1	1	3	2	2	-	-	-	-	-	-	-									
S. Dak.	1	2	1	8	1	1	-	-	-	-	-	-									
Nebr.	3	4	28	40	33	15	-	-	-	-	-	-									
Kans.	4	6	86	15	21	7	-	-	-	-	-	-									
S. ATLANTIC	220	195	1,059	1,391	908	855	-	3	-	-	3	5									
Del.	-	-	-	2	-	1	-	-	-	-	-	-									
Md.	59	51	176	233	89	118	-	-	-	-	-	-									
D.C.	-	4	20	54	27	20	-	-	-	-	-	-									
Va.	33	15	115	119	119	69	-	2	-	-	2	3									
W. Va.	7	6	51	31	10	22	-	-	-	-	-	-									
N.C.	19	28	114	118	182	185	-	-	-	-	-	-									
S.C.	11	5	45	30	13	57	-	-	-	-	-	-									
Ga.	54	53	190	360	155	113	-	-	-	-	-	-									
Fla.	37	33	348	444	313	270	U	1	U	-	1	2									
E.S. CENTRAL	39	52	305	301	349	360	-	-	-	-	-	2									
Ky.	12	6	36	56	57	33	-	-	-	-	-	2									
Tenn.	18	28	111	123	167	178	-	-	-	-	-	-									
Ala.	8	15	46	43	44	72	-	-	-	-	-	-									
Miss.	1	3	112	79	81	77	-	-	-	-	-	-									
W.S. CENTRAL	50	52	1,301	2,407	548	897	-	-	-	-	-	9									
Ark.	2	2	104	36	70	57	-	-	-	-	-	2									
La.	8	12	31	179	52	143	-	-	-	-	-	-									
Okla.	38	34	212	398	116	115	-	-	-	-	-	-									
Tex.	2	4	954	1,794	310	582	-	-	-	-	-	7									
MOUNTAIN	78	74	735	961	384	446	-	11	-	1	12	1									
Mont.	1	2	5	17	7	17	-	-	-	-	-	-									
Idaho	3	1	19	33	7	23	-	-	-	-	-	-									
Wyo.	1	1	39	7	24	12	U	-	U	-	-	-									
Colo.	11	12	156	178	68	76	-	1	-	1	2	-									
N. Mex.	17	18	60	40	76	142	-	-	-	-	-	-									
Ariz.	37	32	366	538	150	110	-	-	-	-	-	1									
Utah	7	5	41	38	17	26	-	3	-	-	3	-									
Nev.	1	3	49	110	35	40	-	7	-	-	7	-									
PACIFIC	85	89	2,122	3,026	888	1,072	-	8	-	7	15	35									
Wash.	5	3	216	240	80	53	-	2	-	1	3	5									
Oreg.	23	30	144	195	80	83	-	-	-	-	-	12									
Calif.	28	43	1,740	2,564	710	910	-	5	-	3	8	17									
Alaska	6	5	9	9	8	14	-	1	-	-	1	-									
Hawaii	23	8	13	18	10	12	-	-	-	3	3	1									
Guam	-	-	-	1	-	2	U	-	U	-	-	1									
P.R.	3	2	188	233	185	170	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


