
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 19, 2000 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2000
Gonorrhea cummulative for 1999
Hepatitis C/NA,NB cummulative for 2000
Hepatitis C/NA,NB cummulative for 1999
Legionellosis cummulative for 2000
Legionellosis cummulative for 1999
Lyme Disease cummulative for 2000
Lyme Disease cummulative for 1999

tab delimited data:
test
UNITED STATES	26,945	48,699	201	408	67	114	277	528													
NEW ENGLAND	921	1,028	-	2	4	9	36	77													
Maine	8	8	-	-	2	-	-	1													
N.H.	10	12	-	-	-	1	11	-													
Vt.	1	7	-	1	-	3	-	-													
Mass.	391	404	-	1	1	2	25	59													
R.I.	-	83	-	-	-	1	-	-													
Conn.	511	514	-	-	1	2	-	17													
MID. ATLANTIC	623	5,597	-	9	7	28	184	323													
Upstate N.Y.	275	521	-	4	2	5	56	51													
N.Y. City	-	2,376	-	-	-	5	1	13													
N.J.	86	1,058	-	-	-	3	-	81													
Pa.	262	1,642	-	5	5	15	127	178													
E.N. CENTRAL	6,208	8,924	34	257	20	42	1	19													
Ohio	1,280	2,207	-	-	14	12	1	8													
Ind.	596	914	-	-	3	1	-	-													
Ill.	1,926	2,693	3	4	-	9	-	1													
Mich.	1,814	2,316	31	85	3	12	-	1													
Wis.	592	794	-	168	-	8	U	9													
W.N. CENTRAL	839	2,752	24	31	4	3	2	6													
Minn.	274	405	-	-	1	-	1	-													
Iowa	31	95	-	-	1	2	-	1													
Mo.	324	1,697	24	29	2	1	1	2													
N. Dak.	-	7	-	-	-	-	-	1													
S. Dak.	30	26	-	-	-	-	-	-													
Nebr.	92	229	-	1	-	-	-	-													
Kans.	88	293	-	1	-	-	-	2													
S. ATLANTIC	8,207	15,137	9	28	19	12	38	68													
Del.	220	234	-	-	1	2	-	4													
Md.	369	2,337	2	16	6	-	30	53													
D.C.	312	1,180	-	-	-	-	-	1													
Va.	1,263	1,669	-	4	3	2	1	-													
W. Va.	-	99	-	2	N	N	2	-													
N.C.	2,207	2,662	5	5	1	3	3	10													
S.C.	574	1,934	-	1	2	3	-	-													
Ga.	1,177	2,068	-	-	-	-	-	-													
Fla.	2,085	2,954	2	-	6	2	2	-													
E.S. CENTRAL	3,740	4,173	47	23	1	6	-	9													
Ky.	469	554	3	3	-	3	-	-													
Tenn.	1,295	1,528	13	16	-	3	-	2													
Ala.	935	1,655	3	1	1	-	-	4													
Miss.	1,041	436	28	3	-	-	-	3													
W.S. CENTRAL	3,430	6,251	35	5	-	-	-	-													
Ark.	282	329	-	-	-	-	-	-													
La.	-	859	-	2	-	-	-	-													
Okla.	456	658	-	1	-	-	-	-													
Tex.	2,692	4,405	35	2	-	-	-	-													
MOUNTAIN	1,051	1,298	25	33	5	7	1	1													
Mont.	-	3	-	2	-	-	-	-													
Idaho	4	18	-	3	1	-	-	-													
Wyo.	5	4	13	15	-	-	-	-													
Colo.	442	236	4	3	2	1	-	-													
N. Mex.	41	142	4	6	-	1	-	1													
Ariz.	361	685	4	3	-	-	1	-													
Utah	50	24	-	1	2	3	-	-													
Nev.	148	186	-	-	-	2	-	-													
PACIFIC	1,926	3,539	27	20	7	7	15	25													
Wash.	325	295	2	2	1	-	-	-													
Oreg.	47	115	6	2	N	N	1	-													
Calif.	1,525	3,005	19	16	6	7	14	25													
Alaska	29	49	-	-	-	-	-	-													
Hawaii	-	75	-	-	-	-	N	N													
Guam	-	13	-	-	-	-	-	-													
P.R.	28	42	-	-	-	-	N	N													
V.I.	-	U	-	U	-	U	-	U													
Amer. Samoa	-	U	-	U	-	U	-	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


