
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 25, 1998 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	986	1,306	12	149	186	46	1,144	1,611	7	157	20										
NEW ENGLAND	52	82	-	-	6	5	201	416	1	24	-										
Maine	4	8	-	-	-	-	5	6	-	-	-										
N.H.	1	7	-	-	-	1	19	45	-	-	-										
Vt.	1	2	-	-	-	-	22	142	-	-	-										
Mass.	24	48	-	-	1	4	150	207	-	2	-										
R.I.	3	4	-	-	4	-	-	11	-	-	-										
Conn.	19	13	-	-	1	-	5	5	1	22	-										
MID. ATLANTIC	106	133	-	6	25	7	145	145	-	79	7										
Upstate N.Y.	28	29	-	3	4	7	88	55	-	79	1										
N.Y. City	10	21	-	-	1	-	-	34	-	-	6										
N.J.	29	27	-	-	3	-	-	9	-	-	-										
Pa.	39	56	-	3	17	-	57	47	-	-	-										
E.N. CENTRAL	137	187	2	22	24	5	129	177	-	-	3										
Ohio	55	68	1	11	8	5	49	55	-	-	-										
Ind.	25	19	U	2	4	U	40	13	U	-	-										
Ill.	28	63	1	1	7	-	7	24	-	-	-										
Mich.	14	17	-	8	4	-	16	25	-	-	-										
Wis.	15	20	-	-	1	-	17	60	-	-	3										
W.N. CENTRAL	84	97	-	16	7	-	84	94	-	1	-										
Minn.	16	8	-	9	3	-	55	59	-	-	-										
Iowa	11	22	-	5	3	-	13	7	-	-	-										
Mo.	33	50	-	1	-	-	9	12	-	1	-										
N. Dak.	-	-	-	1	-	-	-	2	-	-	-										
S. Dak.	5	3	-	-	-	-	4	1	-	-	-										
Nebr.	4	4	U	-	1	U	3	2	U	-	-										
Kans.	15	10	-	-	-	-	-	11	-	-	-										
S. ATLANTIC	183	223	7	27	23	6	90	144	2	5	1										
Del.	1	4	-	-	-	-	-	-	-	-	-										
Md.	16	26	-	2	4	-	17	61	-	-	-										
D.C.	-	5	-	-	-	1	1	2	-	-	-										
Va.	17	19	-	4	2	-	6	17	-	-	1										
W. Va.	4	8	-	-	-	-	1	3	-	-	-										
N.C.	24	39	-	6	6	2	40	28	2	3	-										
S.C.	27	33	-	3	1	2	9	7	-	1	-										
Ga.	40	37	-	-	2	-	-	2	-	-	-										
Fla.	54	52	7	12	8	1	16	24	-	1	-										
E.S. CENTRAL	70	92	-	-	11	1	26	35	-	-	-										
Ky.	8	22	-	-	-	-	9	10	-	-	-										
Tenn.	32	28	-	-	3	1	7	10	-	-	-										
Ala.	30	27	-	-	4	-	10	9	-	-	-										
Miss.	-	15	U	-	4	U	-	6	U	-	-										
W.S. CENTRAL	72	108	1	22	22	1	54	33	3	36	1										
Ark.	13	21	-	-	-	1	7	2	-	-	-										
La.	20	22	1	1	6	-	-	7	-	-	-										
Okla.	21	13	-	-	-	-	6	5	-	-	-										
Tex.	18	52	-	21	16	-	41	19	3	36	1										
MOUNTAIN	65	83	-	13	8	20	264	336	-	5	-										
Mont.	2	4	-	-	-	-	1	2	-	-	-										
Idaho	3	5	-	-	2	9	124	212	-	-	-										
Wyo.	3	-	-	1	-	-	7	3	-	-	-										
Colo.	14	25	-	2	2	7	41	93	-	-	-										
N. Mex.	12	14	N	N	N	1	49	12	-	1	-										
Ariz.	22	16	-	4	-	-	22	9	-	1	-										
Utah	6	10	-	1	2	1	13	1	-	2	-										
Nev.	3	9	-	5	2	2	7	4	-	1	-										
PACIFIC	217	301	2	43	60	1	151	231	1	7	8										
Wash.	25	33	-	4	4	1	81	104	1	5	-										
Oreg.	42	66	N	N	N	-	8	8	-	-	-										
Calif.	146	199	2	27	43	-	58	113	-	1	4										
Alaska	1	1	-	2	3	-	-	2	-	-	-										
Hawaii	3	2	-	10	10	-	4	4	-	1	4										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	1	6	-	2	4	-	2	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


