
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending July 21, 2001 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	165,190	189,589	1,190	1,864	425	446	223	2,580	6,811												
NEW ENGLAND	3,387	3,566	14	15	20	25	29	728	1,709												
Maine	73	46	-	1	1	2	-	-	-												
N.H.	87	59	-	-	5	2	1	69	36												
Vt.	41	32	6	3	4	2	1	3	12												
Mass.	1,707	1,429	8	8	5	11	15	150	706												
R.I.	399	341	-	3	1	3	1	109	78												
Conn.	1,080	1,659	-	-	4	5	11	397	877												
MID. ATLANTIC	20,055	20,566	48	402	45	109	32	1,135	3,853												
Upstate N.Y.	4,396	3,752	34	17	28	32	14	891	1,106												
N.Y. City	6,603	6,377	-	-	6	16	6	1	144												
N.J.	2,951	4,155	-	360	5	9	7	85	1,727												
Pa.	6,105	6,282	14	25	6	52	5	158	876												
E.N. CENTRAL	28,066	37,999	105	144	116	118	26	145	491												
Ohio	4,537	10,145	7	4	61	41	7	46	26												
Ind.	3,295	3,268	1	-	12	22	4	3	10												
Ill.	8,608	11,349	10	15	-	15	-	-	27												
Mich.	9,481	9,447	87	125	29	21	13	-	13												
Wis.	2,145	3,790	-	-	14	19	2	96	415												
W.N. CENTRAL	7,630	9,309	397	329	34	28	6	108	83												
Minn.	1,091	1,739	3	5	7	1	-	69	42												
Iowa	428	589	-	1	6	6	-	18	4												
Mo.	3,962	4,585	387	315	12	14	3	15	22												
N. Dak.	16	39	-	-	1	-	-	-	-												
S. Dak.	144	154	-	-	3	1	-	-	-												
Nebr.	556	774	3	3	4	2	1	2	2												
Kans.	1,433	1,429	4	5	1	4	2	4	13												
S. ATLANTIC	41,409	49,208	59	54	94	80	37	365	551												
Del.	907	903	-	2	2	5	-	22	103												
Md.	3,712	4,994	10	6	22	25	4	224	338												
D.C.	1,468	1,275	-	2	7	-	-	7	2												
Va.	5,253	5,541	-	3	11	13	6	72	63												
W. Va.	341	365	6	12	N	N	4	8	17												
N.C.	7,980	9,829	10	13	5	8	2	16	20												
S.C.	4,499	4,876	4	1	4	2	3	2	2												
Ga.	6,762	9,099	-	2	6	4	8	-	-												
Fla.	10,487	12,326	29	13	37	23	10	14	6												
E.S. CENTRAL	17,389	19,653	124	267	34	15	11	17	22												
Ky.	1,878	1,879	4	18	8	7	4	7	5												
Tenn.	5,347	6,215	41	59	16	5	3	6	13												
Ala.	5,921	6,509	2	7	8	2	4	4	2												
Miss.	4,243	5,050	77	183	2	1	-	-	2												
W.S. CENTRAL	27,325	29,905	161	503	5	18	5	7	42												
Ark.	2,521	1,959	3	4	-	-	1	-	3												
La.	6,539	7,440	74	268	2	7	-	1	3												
Okla.	2,609	2,038	3	4	3	1	1	-	-												
Tex.	15,656	18,468	81	227	-	10	3	6	36												
MOUNTAIN	5,529	5,754	201	39	34	22	23	8	4												
Mont.	53	26	1	2	-	1	-	-	-												
Idaho	39	50	1	3	2	4	1	3	1												
Wyo.	32	30	159	2	3	-	1	3	2												
Colo.	1,748	1,763	13	6	10	6	3	1	-												
N. Mex.	487	581	10	11	2	1	6	-	-												
Ariz.	2,152	2,375	9	11	11	5	6	-	-												
Utah	79	140	2	-	4	5	1	-	-												
Nev.	939	789	6	4	2	-	5	1	1												
PACIFIC	14,400	13,629	81	111	43	31	54	67	56												
Wash.	1,607	1,217	16	16	6	11	3	2	3												
Oreg.	307	503	9	21	N	N	1	5	4												
Calif.	11,942	11,469	56	72	33	20	49	58	48												
Alaska	213	182	-	-	-	-	-	2	1												
Hawaii	331	258	-	2	4	-	1	N	N												
Guam	-	26	-	2	-	-	-	-	-												
P.R.	438	293	1	1	2	-	-	N	N												
V.I.	6	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	7	U	-	U	-	U	-	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


