
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending July 1, 2006 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	49	104	193	2,625	3,053	35	35	246	603	493	332	701	2,291	14,097	16,256						
NEW ENGLAND	8	12	26	290	367	-	0	2	1	3	5	33	178	712	958						
Conn.	3	3	13	75	81	-	0	0	-	-	-	3	170	170	192						
Maine	-	1	5	38	31	N	0	0	N	N	-	2	7	36	89						
Mass.	2	4	17	132	210	-	0	2	1	2	2	18	40	405	522						
N.H.	3	0	3	9	7	-	0	1	-	-	3	2	12	50	82						
R.I.	-	0	4	1	11	-	0	2	-	1	-	0	17	37	31						
Vt.	-	1	7	35	27	-	0	0	-	-	-	1	10	14	42						
MID. ATLANTIC	-	18	46	498	440	-	1	7	17	35	32	74	272	1,536	2,025						
N.J.	N	0	0	N	N	-	0	3	-	10	-	11	41	191	392						
N.Y. (Upstate)	-	11	24	224	230	-	0	1	1	-	18	22	233	406	471						
N.Y. City	-	0	3	1	15	-	0	1	4	4	2	21	44	389	505						
Pa.	-	8	35	273	195	-	1	5	12	21	12	27	61	550	657						
E.N. CENTRAL	1	2	11	42	101	1	0	7	11	17	27	89	219	1,880	2,393						
Ill.	-	0	4	-	17	-	0	4	1	7	-	26	53	403	909						
Ind.	1	0	3	7	4	-	0	1	3	-	7	11	69	255	196						
Mich.	-	1	5	23	10	-	0	1	-	2	5	17	35	372	412						
Ohio	-	0	6	12	70	1	0	3	7	7	15	24	52	536	496						
Wis.	N	0	2	N	N	-	0	1	-	1	-	15	44	314	380						
W.N. CENTRAL	5	5	15	122	176	-	2	12	72	65	17	44	89	999	1,065						
Iowa	-	0	2	16	-	-	0	2	-	1	-	7	18	145	170						
Kans.	-	1	5	34	50	-	0	1	2	3	-	7	17	135	153						
Minn.	5	1	5	22	35	-	0	1	1	-	16	10	59	281	249						
Mo.	-	1	6	16	29	-	2	12	64	58	-	15	40	297	312						
Nebr.	-	0	0	-	-	-	0	2	5	-	1	4	12	86	91						
N. Dak.	-	0	7	13	13	-	0	1	-	-	-	0	46	4	14						
S. Dak.	-	1	4	21	49	-	0	1	-	3	-	3	9	51	76						
S. ATLANTIC	22	35	97	946	1,155	32	17	94	407	265	118	232	514	3,639	4,201						
Del.	-	0	0	-	-	-	0	2	5	2	-	2	9	34	44						
D.C.	-	0	0	-	-	-	0	1	-	-	1	1	7	30	20						
Fla.	-	0	27	80	201	-	0	3	12	9	95	95	230	1,630	1,549						
Ga.	-	2	42	85	147	-	1	7	21	50	-	26	87	532	611						
Md.	-	7	14	154	180	-	1	6	18	24	-	11	39	206	304						
N.C.	14	8	20	199	251	32	6	87	327	146	20	32	114	560	580						
S.C.	-	3	11	70	110	-	1	6	5	20	2	19	73	309	641						
Va.	8	10	27	309	244	-	2	10	18	11	-	19	66	296	386						
W. Va.	-	1	13	49	22	-	0	2	1	3	-	3	19	42	66						
E.S. CENTRAL	6	5	16	181	72	-	5	24	66	66	12	52	115	868	986						
Ala.	6	1	7	43	41	-	0	9	18	16	6	14	41	329	245						
Ky.	-	0	5	7	7	-	0	1	-	-	2	8	27	165	149						
Miss.	-	0	2	4	-	-	0	3	-	2	-	11	62	123	246						
Tenn.	-	2	11	127	24	-	3	18	48	48	4	14	41	251	346						
W.S. CENTRAL	4	14	34	389	530	1	1	161	20	23	24	79	922	1,316	1,497						
Ark.	1	0	3	19	19	1	0	32	17	12	15	14	43	342	289						
La.	-	0	0	-	-	-	0	1	-	5	-	9	43	149	341						
Okla.	3	1	9	34	53	-	0	154	1	5	9	7	48	158	156						
Tex.	-	12	29	336	458	-	0	8	2	1	-	45	839	667	711						
MOUNTAIN	2	4	16	69	129	1	0	6	7	18	17	47	110	943	958						
Ariz.	2	2	11	58	100	-	0	6	2	12	-	12	67	197	272						
Colo.	-	0	2	-	11	-	0	1	-	1	13	12	45	342	222						
Idaho	-	0	12	-	-	-	0	2	-	1	-	2	9	65	79						
Mont.	-	0	3	7	-	-	0	0	-	1	-	2	16	66	39						
Nev.	-	0	2	-	3	-	0	0	-	-	-	3	8	48	85						
N. Mex.	-	0	1	-	3	-	0	1	-	2	-	3	13	56	108						
Utah	-	0	5	3	-	1	0	2	3	-	4	5	30	137	127						
Wyo.	-	0	2	1	12	-	0	1	2	1	-	1	12	32	26						
PACIFIC	1	3	15	88	83	-	0	1	2	1	80	105	426	2,204	2,173						
Alaska	-	0	4	13	1	-	0	0	-	-	-	1	7	37	23						
Calif.	1	3	15	73	80	-	0	1	2	-	55	85	292	1,673	1,638						
Hawaii	-	0	0	-	-	-	0	0	-	-	2	5	15	106	130						
Oreg.	-	0	1	2	2	-	0	1	-	1	-	7	25	182	189						
Wash.	U	0	0	U	U	N	0	0	N	N	23	9	124	206	193						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	1	2	U	1						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	4	-	22						
P.R.	-	1	6	53	40	N	0	0	N	N	3	7	35	62	257						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


