
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending November 12, 2011 (WEEK 45)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	4	7	109	641	598	6	16	54	657	1,615	-	1	13	96	85						
NEW ENGLAND	-	0	2	4	5	-	2	26	225	98	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	5	-	32	-	0	0	-	-						
Maine	-	0	1	1	3	-	0	2	16	17	-	0	0	-	-						
Mass.	-	0	0	-	-	-	1	17	150	-	-	0	0	-	-						
N.H.	-	0	1	2	2	-	0	4	15	18	-	0	1	1	2						
R.I.	-	0	1	1	-	-	0	15	40	29	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	1	4	2	-	0	0	-	-						
MID. ATLANTIC	2	1	7	57	81	5	5	29	298	241	-	0	2	11	12						
N.J.	-	0	1	-	48	-	0	3	-	66	-	0	0	-	1						
N.Y. (Upstate)	2	0	7	47	26	5	3	25	254	163	-	0	2	11	8						
N.Y. City	-	0	2	10	5	-	0	5	40	11	-	0	0	-	-						
Pa.	-	0	0	-	2	-	0	1	4	1	-	0	0	-	3						
E.N. CENTRAL	-	0	3	27	42	-	0	8	17	492	-	0	5	41	44						
Ill.	-	0	2	17	16	-	0	2	8	8	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	32	15						
Mich.	-	0	2	4	2	-	0	0	-	4	-	0	2	5	-						
Ohio	-	0	1	6	6	-	0	1	6	2	-	0	1	1	-						
Wis.	-	0	1	-	18	-	0	7	3	478	-	0	1	1	26						
W.N. CENTRAL	-	1	19	153	119	-	0	20	34	704	-	0	11	14	10						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	1	3	6	-	0	1	2	1	-	0	0	-	-						
Minn.	-	0	12	-	-	-	0	20	1	691	-	0	11	-	-						
Mo.	-	1	19	148	111	-	0	7	28	12	-	0	7	13	10						
Nebr.	-	0	1	1	2	-	0	1	1	-	-	0	1	1	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	1	1	-	-	0	1	2	-	-	0	0	-	-						
S. ATLANTIC	1	2	33	224	241	1	1	8	58	58	-	0	1	9	6						
Del.	-	0	2	15	17	-	0	1	1	4	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	14	8	-	0	3	9	3	-	0	0	-	-						
Ga.	-	0	3	17	20	-	0	2	7	1	-	0	1	1	1						
Md.	-	0	3	28	21	-	0	2	6	14	-	0	0	-	2						
N.C.	-	0	17	59	95	-	0	6	20	24	-	0	0	-	-						
S.C.	-	0	1	1	4	-	0	0	-	1	-	0	1	1	-						
Va.	1	1	13	90	73	1	0	3	15	11	-	0	1	6	3						
