
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 13, 2001 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	22	36	94	403	59	193	-	-	-	-	-	1									
NEW ENGLAND	1	4	5	12	1	4	-	-	-	-	-	-									
Maine	-	-	-	1	-	-	U	-	U	-	-	-									
N.H.	-	-	2	1	-	-	-	-	-	-	-	-									
Vt.	-	1	-	-	-	2	-	-	-	-	-	-									
Mass.	1	3	1	5	1	-	-	-	-	-	-	-									
R.I.	-	-	-	-	-	-	-	-	-	-	-	-									
Conn.	-	-	2	5	-	2	-	-	-	-	-	-									
MID. ATLANTIC	1	4	4	16	1	39	-	-	-	-	-	-									
Upstate N.Y.	-	2	4	-	1	-	-	-	-	-	-	-									
N.Y. City	1	1	-	12	-	25	-	-	-	-	-	-									
N.J.	-	-	-	1	-	3	-	-	-	-	-	-									
Pa.	-	1	-	3	-	11	-	-	-	-	-	-									
E.N. CENTRAL	4	6	26	73	14	26	-	-	-	-	-	1									
Ohio	3	2	6	18	4	5	-	-	-	-	-	-									
Ind.	-	-	-	-	-	-	-	-	-	-	-	-									
Ill.	-	4	3	23	-	-	-	-	-	-	-	-									
Mich.	1	-	17	24	10	21	-	-	-	-	-	1									
Wis.	-	-	-	8	-	-	-	-	-	-	-	-									
W.N. CENTRAL	-	1	6	50	5	12	-	-	-	-	-	-									
Minn.	-	-	-	-	-	-	-	-	-	-	-	-									
Iowa	-	-	-	1	-	-	-	-	-	-	-	-									
Mo.	-	1	3	42	4	10	-	-	-	-	-	-									
N. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	-	-	1	-	-	-	-	-	-	-									
Nebr.	-	-	1	-	-	2	-	-	-	-	-	-									
Kans.	-	-	2	7	-	-	-	-	-	-	-	-									
S. ATLANTIC	6	8	10	17	7	17	-	-	-	-	-	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	-	7	9	5	1	6	-	-	-	-	-	-									
D.C.	-	-	1	-	-	-	-	-	-	-	-	-									
Va.	-	-	-	-	-	-	-	-	-	-	-	-									
W. Va.	-	-	-	-	-	-	-	-	-	-	-	-									
N.C.	5	1	-	9	6	11	-	-	-	-	-	-									
S.C.	-	-	-	-	-	-	-	-	-	-	-	-									
Ga.	1	-	-	-	-	-	-	-	-	-	-	-									
Fla.	-	-	-	3	-	-	-	-	-	-	-	-									
E.S. CENTRAL	1	-	4	30	1	8	-	-	-	-	-	-									
Ky.	-	-	1	-	-	-	-	-	-	-	-	-									
Tenn.	-	-	2	-	1	-	-	-	-	-	-	-									
Ala.	1	-	1	4	-	1	-	-	-	-	-	-									
Miss.	-	-	-	26	-	7	-	-	-	-	-	-									
W.S. CENTRAL	-	4	2	79	1	6	-	-	-	-	-	-									
Ark.	-	-	2	-	1	1	-	-	-	-	-	-									
La.	-	3	-	4	-	5	-	-	-	-	-	-									
Okla.	-	1	-	3	-	-	-	-	-	-	-	-									
Tex.	-	-	-	72	-	-	-	-	-	-	-	-									
MOUNTAIN	5	1	5	13	4	6	-	-	-	-	-	-									
Mont.	-	-	2	-	-	-	-	-	-	-	-	-									
Idaho	-	-	-	-	-	-	-	-	-	-	-	-									
Wyo.	-	-	-	-	-	-	-	-	-	-	-	-									
Colo.	-	-	1	2	1	3	-	-	-	-	-	-									
N. Mex.	5	-	1	1	3	3	-	-	-	-	-	-									
Ariz.	-	-	-	5	-	-	-	-	-	-	-	-									
Utah	-	1	1	2	-	-	-	-	-	-	-	-									
Nev.	-	-	-	3	-	-	U	-	U	-	-	-									
PACIFIC	4	8	32	113	25	75	-	-	-	-	-	-									
Wash.	-	-	-	-	-	-	-	-	-	-	-	-									
Oreg.	4	2	1	13	2	10	-	-	-	-	-	-									
Calif.	-	3	29	99	22	64	-	-	-	-	-	-									
Alaska	-	1	2	-	1	1	-	-	-	-	-	-									
Hawaii	-	2	-	1	-	-	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	-	-	1	-	1	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


