
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending June 11, 2011 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2011
Shigellosis cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010

tab delimited data:
test
UNITED STATES	239	259	742	3,844	5,878	-	2	11	28	44	4	22	245	234	338						
NEW ENGLAND	4	3	19	72	163	-	0	0	-	-	-	0	1	1	1						
Conn.	-	0	17	17	69	-	0	0	-	-	-	0	0	-	-						
Maine	4	0	3	11	3	-	0	0	-	-	-	0	1	-	1						
Mass.	-	2	16	42	79	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	2	-	4	-	0	0	-	-	-	0	1	-	-						
R.I.	-	0	4	-	7	-	0	0	-	-	-	0	1	1	-						
Vt.	-	0	1	2	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	10	16	74	226	783	-	0	1	3	2	-	1	6	7	31						
N.J.	-	4	16	38	174	-	0	0	-	1	-	0	5	-	22						
N.Y. (Upstate)	9	3	15	64	73	-	0	0	-	1	-	0	3	1	2						
N.Y. City	-	4	14	85	146	-	0	0	-	-	-	0	2	4	3						
Pa.	1	4	56	39	390	-	0	1	3	-	-	0	1	2	4						
E.N. CENTRAL	19	18	37	244	887	-	0	1	-	-	1	1	7	16	27						
Ill.	-	6	20	60	576	-	0	1	-	-	-	0	4	8	14						
Ind.	-	1	4	27	24	-	0	1	-	-	-	0	3	4	7						
Mich.	5	4	9	58	106	-	0	0	-	-	-	0	1	-	1						
Ohio	14	5	15	99	138	-	0	0	-	-	1	0	2	4	3						
Wis.	-	0	4	-	43	-	0	0	-	-	-	0	1	-	2						
W.N. CENTRAL	5	17	71	156	1,288	-	0	2	2	1	-	3	17	50	74						
Iowa	-	1	4	7	26	-	0	0	-	-	-	0	1	1	2						
Kans.	-	4	12	27	126	-	0	0	-	-	-	0	0	-	-						
