
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 15, 1999 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	449	453	5,811	8,313	2,155	3,193	-	16	-	10	26	24									
NEW ENGLAND	32	30	67	117	34	53	-	-	-	1	1	1									
Maine	3	2	2	10	-	-	-	-	-	-	-	-									
N.H.	5	1	7	6	4	7	U	-	U	1	1	-									
Vt.	4	2	3	7	1	2	-	-	-	-	-	-									
Mass.	14	23	19	36	18	25	U	-	U	-	-	1									
R.I.	-	2	7	8	11	8	-	-	-	-	-	-									
Conn.	6	-	29	50	-	11	U	-	U	-	-	-									
MID. ATLANTIC	55	66	361	602	275	476	-	-	-	2	2	9									
Upstate N.Y.	33	24	92	126	73	113	-	-	-	2	2	-									
N.Y. City	5	16	60	217	61	141	-	-	-	-	-	-									
N.J.	17	24	42	110	33	83	-	-	-	-	-	8									
Pa.	-	2	167	149	108	139	-	-	-	-	-	1									
E.N. CENTRAL	52	70	1,201	1,151	183	624	-	-	-	-	-	4									
Ohio	25	28	305	128	37	27	-	-	-	-	-	-									
Ind.	1	13	29	112	4	300	-	-	-	-	-	3									
Ill.	20	27	166	298	-	98	-	-	-	-	-	-									
Mich.	6	-	676	513	142	165	-	-	-	-	-	1									
Wis.	-	2	25	100	-	34	-	-	-	-	-	-									
W.N. CENTRAL	39	31	268	681	114	138	-	-	-	-	-	-									
Minn.	12	17	21	28	13	11	-	-	-	-	-	-									
Iowa	10	1	61	317	22	19	-	-	-	-	-	-									
Mo.	11	8	146	266	64	89	-	-	-	-	-	-									
N. Dak.	-	-	1	2	-	2	-	-	-	-	-	-									
S. Dak.	1	-	8	8	-	1	-	-	-	-	-	-									
Nebr.	3	-	16	16	7	7	-	-	-	-	-	-									
Kans.	2	5	15	44	8	9	-	-	-	-	-	-									
S. ATLANTIC	109	84	653	552	413	299	-	1	-	3	4	6									
Del.	-	-	1	3	-	-	-	-	-	-	-	1									
Md.	30	27	125	142	66	66	-	-	-	-	-	1									
D.C.	2	-	24	24	9	6	U	-	U	-	-	-									
Va.	10	10	51	103	39	37	-	1	-	2	3	2									
W. Va.	1	3	7	-	10	3	-	-	-	-	-	-									
N.C.	19	12	50	37	83	81	-	-	-	-	-	-									
S.C.	2	2	10	12	36	-	-	-	-	-	-	-									
Ga.	23	18	162	114	45	57	-	-	-	-	-	1									
Fla.	22	12	223	117	125	49	-	-	-	1	1	1									
E.S. CENTRAL	39	27	189	162	183	164	-	-	-	-	-	-									
Ky.	6	5	31	8	22	19	U	-	U	-	-	-									
Tenn.	20	15	94	94	80	116	-	-	-	-	-	-									
Ala.	11	6	32	34	40	29	-	-	-	-	-	-									
Miss.	2	1	32	26	41	-	-	-	-	-	-	-									
W.S. CENTRAL	29	26	1,110	1,536	180	460	-	1	-	2	3	-									
Ark.	1	-	16	20	16	30	-	-	-	-	-	-									
La.	7	12	44	13	54	11	-	-	-	-	-	-									
Okla.	19	12	185	211	40	25	-	-	-	-	-	-									
Tex.	2	2	865	1,292	70	394	-	1	-	2	3	-									
MOUNTAIN	47	66	546	1,240	218	297	-	-	-	-	-	-									
Mont.	1	-	9	25	10	3	-	-	-	-	-	-									
Idaho	1	-	21	87	12	14	-	-	-	-	-	-									
Wyo.	1	-	3	19	1	2	-	-	-	-	-	-									
Colo.	6	12	103	95	39	39	-	-	-	-	-	-									
N. Mex.	10	3	20	67	81	106	-	-	-	-	-	-									
Ariz.	23	31	316	777	41	75	U	-	U	-	-	-									
Utah	4	3	24	78	11	25	-	-	-	-	-	-									
Nev.	1	17	50	92	23	33	-	-	-	-	-	-									
PACIFIC	47	53	1,416	2,272	555	682	-	14	-	2	16	4									
Wash.	1	3	100	373	21	47	-	-	-	-	-	1									
Oreg.	18	25	102	168	36	70	-	8	-	-	8	-									
Calif.	23	22	1,210	1,696	486	552	-	6	-	2	8	3									
Alaska	4	1	3	10	7	7	-	-	-	-	-	-									
Hawaii	1	2	1	25	5	6	-	-	-	-	-	-									
Guam	-	-	-	-	-	1	U	-	U	-	-	-									
P.R.	1	2	61	19	57	227	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	1	-	28	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


