
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 18, 2007 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	31	93	261	3,455	3,805	7	30	110	1,040	865											
NEW ENGLAND	-	6	27	285	251	-	3	11	76	72											
Conn.	-	0	23	91	68	-	0	6	-	23											
Maine	-	0	3	21	15	-	0	1	1	-											
Mass.	-	3	12	131	127	-	2	6	58	42											
N.H.	-	0	4	27	28	-	0	2	7	6											
R.I.	-	0	12	-	4	-	0	3	8	1											
Vt.	-	0	2	15	9	-	0	1	2	-											
MID. ATLANTIC	1	16	41	659	710	-	5	27	170	125											
N.J.	-	2	9	89	121	-	1	4	21	46											
N.Y. (Upstate)	-	5	27	222	229	-	2	15	75	65											
N.Y. City	-	3	12	154	129	-	1	25	74	14											
Pa.	1	5	11	194	231	N	0	0	N	N											
E.N. CENTRAL	3	16	32	599	748	1	5	14	160	233											
Ill.	-	4	13	149	228	-	1	6	38	61											
Ind.	3	2	17	99	88	1	0	10	15	42											
Mich.	-	3	10	151	157	-	1	4	55	54											
Ohio	-	3	14	174	191	-	1	7	44	46											
Wis.	-	1	6	26	84	-	0	2	8	30											
W.N. CENTRAL	1	5	32	233	248	1	2	8	73	68											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	28	45	-	0	1	1	11											
Minn.	-	0	29	116	116	-	1	6	51	38											
Mo.	-	2	6	53	49	-	0	2	13	11											
Nebr.	-	0	3	18	22	1	0	2	7	5											
N. Dak.	1	0	2	11	8	-	0	2	1	3											
S. Dak.	-	0	2	7	8	-	0	0	-	-											
S. ATLANTIC	13	21	52	861	836	1	3	14	191	56											
Del.	-	0	2	7	7	-	0	0	-	-											
D.C.	-	0	3	8	9	-	0	1	-	-											
Fla.	6	6	16	207	195	-	0	5	41	-											
Ga.	-	5	12	160	174	-	0	5	44	-											
Md.	1	4	10	156	157	-	1	6	46	46											
N.C.	6	0	22	126	126	-	0	0	-	-											
S.C.	-	1	7	74	53	-	0	3	25	-											
Va.	-	2	11	103	95	-	0	4	28	-											
W. Va.	-	0	3	20	20	1	0	4	7	10											
E.S. CENTRAL	3	4	13	158	155	2	1	6	62	15											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	32	36	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	15											
Tenn.	3	3	13	126	119	2	0	6	59	-											
W.S. CENTRAL	5	6	90	224	283	1	4	45	150	143											
Ark.	-	0	2	17	21	-	0	2	7	17											
La.	-	0	4	16	13	-	0	4	24	17											
Okla.	-	1	23	53	72	1	1	15	37	29											
Tex.	5	3	64	138	177	-	1	27	82	80											
MOUNTAIN	3	9	20	344	502	1	4	12	134	138											
Ariz.	-	4	11	105	261	1	2	7	77	78											
Colo.	-	3	9	115	87	-	1	4	32	35											
Idaho	1	0	2	10	7	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	5	36	95	-	0	4	18	22											
Utah	2	2	7	71	49	-	0	2	4	-											
Wyo.	-	0	1	5	3	-	0	0	-	-											
PACIFIC	2	3	9	92	72	-	1	4	24	15											
Alaska	2	0	3	25	N	-	0	2	22	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	67	72	-	0	2	2	15											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


