
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 24, 1999 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	833	1,054	8	114	304	167	1,609	1,316	3	17	173										
NEW ENGLAND	40	52	-	1	-	3	129	252	-	3	28										
Maine	3	4	-	-	-	-	-	5	-	-	-										
N.H.	-	1	-	1	-	2	21	21	-	-	-										
Vt.	3	1	-	-	-	-	10	25	-	-	-										
Mass.	27	23	-	-	-	-	90	196	-	3	5										
R.I.	2	3	-	-	-	1	3	-	-	-	-										
Conn.	5	20	-	-	-	-	5	5	-	-	23										
MID. ATLANTIC	76	112	-	15	160	37	397	161	1	2	88										
Upstate N.Y.	19	28	-	2	3	35	352	88	1	2	80										
N.Y. City	18	13	-	3	153	-	10	9	-	-	4										
N.J.	16	28	-	-	1	-	-	7	-	-	4										
Pa.	23	43	-	10	3	2	35	57	-	-	-										
E.N. CENTRAL	115	154	-	12	25	4	112	153	-	-	-										
Ohio	57	53	-	6	11	3	92	49	-	-	-										
Ind.	7	26	-	-	2	-	2	40	-	-	-										
Ill.	33	41	-	-	2	-	-	9	-	-	-										
Mich.	18	16	-	6	10	1	18	17	-	-	-										
Wis.	-	18	-	-	-	-	-	38	-	-	-										
W.N. CENTRAL	107	91	-	3	18	1	22	94	-	-	2										
Minn.	25	16	-	-	9	-	-	55	-	-	-										
Iowa	24	12	-	2	6	1	10	16	-	-	-										
Mo.	39	39	-	1	2	-	9	9	-	-	1										
N. Dak.	-	-	U	-	1	U	-	-	U	-	-										
S. Dak.	5	5	-	-	-	-	2	4	-	-	-										
Nebr.	4	4	-	-	-	-	1	4	-	-	-										
Kans.	10	15	-	-	-	-	-	6	-	-	1										
S. ATLANTIC	144	159	6	26	16	5	88	90	-	2	3										
Del.	2	1	-	-	-	-	-	-	-	-	-										
Md.	23	17	-	3	-	-	27	18	-	1	-										
D.C.	1	-	-	1	-	-	-	1	-	-	-										
Va.	19	17	5	7	4	5	12	6	-	-	-										
W. Va.	2	4	-	-	-	-	1	1	-	-	-										
N.C.	17	24	1	5	6	-	22	40	-	1	3										
S.C.	17	25	-	2	3	-	7	9	-	-	-										
Ga.	23	37	-	-	-	-	7	-	-	-	-										
Fla.	40	34	-	8	3	-	12	15	-	-	-										
E.S. CENTRAL	64	81	-	1	3	2	30	35	-	-	-										
Ky.	10	14	U	-	-	U	1	17	U	-	-										
Tenn.	24	30	-	-	-	-	20	7	-	-	-										
Ala.	18	25	-	1	1	2	6	10	-	-	-										
Miss.	12	12	-	-	2	-	3	1	-	-	-										
W.S. CENTRAL	51	104	-	14	23	1	42	67	-	5	38										
Ark.	12	13	-	-	-	-	5	9	-	-	-										
La.	26	20	-	1	1	-	3	-	-	-	-										
Okla.	11	21	-	1	-	-	2	6	-	-	-										
Tex.	2	50	-	12	22	1	32	52	-	5	38										
MOUNTAIN	65	63	1	8	12	1	177	234	2	3	5										
Mont.	-	2	-	-	-	-	1	1	-	-	-										
Idaho	7	3	-	-	-	-	85	81	-	-	-										
Wyo.	2	3	-	-	1	-	2	7	-	-	-										
Colo.	19	14	1	3	1	-	30	53	-	-	-										
N. Mex.	8	10	N	N	N	-	13	49	-	-	1										
Ariz.	19	22	-	-	4	-	21	23	2	3	1										
Utah	5	6	-	4	1	1	23	12	-	-	2										
Nev.	5	3	U	1	5	U	2	8	U	-	1										
PACIFIC	171	238	1	34	47	113	612	230	-	2	9										
Wash.	20	25	-	-	4	104	375	79	-	-	7										
Oreg.	30	40	N	N	N	-	8	14	-	-	-										
Calif.	114	168	1	28	30	9	223	133	-	2	1										
Alaska	3	1	-	1	2	-	2	-	-	-	-										
Hawaii	4	4	-	5	11	-	4	4	-	-	1										
Guam	-	-	U	-	2	U	-	-	U	-	-										
P.R.	2	2	-	-	1	-	-	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


