
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending November 24, 2012 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2012
Chlamydia trachomatis infection cummulative for 2011
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2012
Coccidioidomycosis cummulative for 2011
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2012
Cryptosporidiosis cummulative for 2011

tab delimited data:
test
UNITED STATES	7,376	26,959	29,988	1209648	1271148	187	365	583	15,666	20,410	24	126	278	6,415	8,672						
NEW ENGLAND	641	968	1,807	42,815	41,232	-	0	1	2	2	1	7	19	343	388						
Conn.	24	251	1,268	11,163	10,672	N	0	0	N	N	-	1	3	34	68						
Maine	-	61	101	2,602	2,765	N	0	0	N	N	-	1	4	62	46						
Mass.	596	447	706	21,169	20,071	-	0	0	-	-	-	2	8	127	156						
N.H.	-	60	85	2,655	2,707	-	0	1	1	1	-	1	4	39	62						
R.I.	21	81	186	3,860	3,676	-	0	1	1	1	-	0	3	12	11						
Vt.	-	28	87	1,366	1,341	N	0	0	N	N	1	1	6	69	45						
MID. ATLANTIC	1,633	3,510	4,469	157,591	162,503	-	0	1	4	6	1	14	41	692	834						
N.J.	95	544	641	24,554	24,079	N	0	0	N	N	-	0	4	23	52						
N.Y. (Upstate)	646	721	2,215	33,330	32,150	N	0	0	N	N	1	4	18	208	205						
N.Y. City	197	1,132	1,427	49,808	59,088	N	0	0	N	N	-	2	8	96	82						
Pa.	695	1,096	1,344	49,899	47,186	-	0	1	4	6	-	7	21	365	495						
E.N. CENTRAL	697	4,123	4,675	180,377	199,934	-	1	4	46	45	8	31	106	1,602	2,544						
Ill.	8	1,107	1,506	48,721	58,929	N	0	0	N	N	-	3	8	137	202						
Ind.	69	548	838	25,649	25,840	N	0	0	N	N	-	2	7	122	255						
Mich.	319	930	1,164	38,553	45,045	-	0	3	27	28	1	6	40	309	325						
Ohio	175	1,032	1,184	46,291	47,767	-	0	2	19	17	5	11	28	526	1,059						
Wis.	126	469	559	21,163	22,353	-	0	0	-	-	2	8	40	508	703						
W.N. CENTRAL	80	1,562	1,808	69,894	71,351	-	2	8	120	121	1	16	41	825	1,505						
Iowa	-	215	387	9,903	9,859	N	0	0	N	N	-	5	21	295	350						
Kans.	4	210	309	9,885	9,510	N	0	0	N	N	-	1	4	49	42						
Minn.	-	314	381	13,608	15,342	-	2	7	105	98	-	0	5	-	295						
Mo.	60	545	657	25,231	25,344	-	0	2	14	16	1	4	11	216	480						
Nebr.	-	126	181	5,409	5,992	-	0	1	1	7	-	2	10	127	167						
N. Dak.	1	52	72	2,391	2,217	N	0	0	N	N	-	0	5	34	27						
S. Dak.	15	73	106	3,467	3,087	N	0	0	N	N	-	2	6	104	144						
S. ATLANTIC	2,247	5,398	7,543	248,914	261,109	-	0	1	5	5	6	19	57	991	1,112						
Del.	138	80	182	3,639	3,916	-	0	0	-	-	-	0	4	14	7						
D.C.	94	139	224	6,118	5,907	-	0	0	-	-	N	0	0	N	N						
Fla.	503	1,525	1,737	69,899	68,783	N	0	0	N	N	3	9	24	420	399						
Ga.	400	1,001	1,285	44,814	48,941	N	0	0	N	N	1	4	13	225	290						
Md.	168	438	1,118	21,219	24,018	-	0	1	5	5	2	1	7	79	64						
N.C.	103	917	1,678	41,834	49,072	N	0	0	N	N	-	0	46	86	81						
S.C.	298	533	1,278	25,523	25,114	N	0	0	N	N	-	1	4	41	124						
Va.	450	685	1,780	31,592	31,548	N	0	0	N	N	-	3	6	124	120						
W. Va.	93	88	149	4,276	3,810	N	0	0	N	N	-	0	4	2	27						
E.S. CENTRAL	438	1,993	2,820	93,729	88,837	-	0	0	-	-	1	5	14	250	428						
Ala.	69	592	862	27,651	26,905	N	0	0	N	N	-	2	6	95	126						
Ky.	157	339	787	15,965	14,685	N	0	0	N	N	-	1	4	49	174						
Miss.	-	421	1,168	21,007	19,049	N	0	0	N	N	-	1	4	39	45						
Tenn.	212	636	828	29,106	28,198	N	0	0	N	N	1	1	5	67	83						
W.S. CENTRAL	28	3,243	4,335	149,122	169,077	-	0	1	3	3	2	9	19	446	649						
Ark.	-	327	412	14,544	14,487	N	0	0	N	N	-	1	5	37	30						
La.	21	474	1,316	20,033	27,464	-	0	1	3	3	-	2	7	116	83						
Okla.	7	81	1,015	3,718	12,898	N	0	0	N	N	-	2	6	82	79						
Tex.	-	2,400	2,978	110,827	114,228	N	0	0	N	N	2	5	13	211	457						
MOUNTAIN	664	1,778	2,072	81,528	81,482	186	268	478	12,216	15,102	1	11	40	682	615						
Ariz.	93	585	872	27,343	26,399	186	263	476	12,039	14,873	-	1	3	35	42						
Colo.	276	422	557	19,580	19,748	N	0	0	N	N	-	1	7	56	140						
Idaho	-	83	174	3,753	4,125	N	0	0	N	N	1	3	24	243	107						
Mont.	36	73	107	3,437	3,048	-	0	1	2	5	-	1	4	56	74						
Nev.	122	212	320	9,087	9,577	-	2	7	104	92	-	0	2	9	17						
