
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 10, 1996 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	4	32	14	57	78	27	111	301	-	11	7										
NEW ENGLAND	2	3	-	-	-	3	11	36	-	2	1										
Maine	1	-	-	-	-	1	2	5	-	-	-										
N.H.	-	-	-	-	-	2	3	1	-	-	-										
Vt.	-	-	-	-	-	-	2	2	-	-	-										
Mass.	1	1	-	-	-	-	4	26	-	-	1										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	-	-	-	-	-	-	-	2	-	2	-										
MID. ATLANTIC	-	-	4	5	9	15	20	15	-	-	-										
Upstate N.Y.	-	-	2	3	2	12	17	7	-	-	-										
N.Y. City	-	-	2	2	1	3	3	5	-	-	-										
N.J.	-	-	-	-	-	-	-	3	-	-	-										
Pa.	-	-	-	-	6	-	-	-	-	-	-										
E.N. CENTRAL	-	-	5	17	16	3	30	42	-	-	-										
Ohio	-	-	3	8	7	2	21	19	-	-	-										
Ind.	-	-	-	-	2	1	2	2	-	-	-										
Ill.	-	-	-	-	-	-	-	-	-	-	-										
Mich.	-	-	2	9	7	-	5	20	-	-	-										
Wis.	-	-	-	-	-	-	2	1	-	-	-										
W.N. CENTRAL	-	1	-	2	8	-	-	14	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	-	-	-	-	1	-	-	1	-	-	-										
Mo.	-	1	-	-	7	-	-	6	-	-	-										
N. Dak.	-	-	-	2	-	-	-	1	-	-	-										
S. Dak.	-	-	U	-	-	U	-	1	U	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	-	-	-	-	-	-	-	5	-	-	-										
S. ATLANTIC	-	-	1	3	10	3	11	34	-	-	-										
Del.	-	-	-	-	-	-	-	1	-	-	-										
Md.	-	-	-	-	2	1	6	-	-	-	-										
D.C.	-	-	-	-	-	-	-	1	-	-	-										
Va.	-	-	1	1	3	-	-	-	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	-	-	-	-	3	-	-	30	-	-	-										
S.C.	-	-	-	1	1	-	2	1	-	-	-										
Ga.	-	-	-	1	-	-	1	-	-	-	-										
Fla.	-	-	-	-	1	2	2	1	-	-	-										
E.S. CENTRAL	-	-	-	3	4	-	5	9	-	-	-										
Ky.	-	-	-	-	-	-	4	-	-	-	-										
Tenn.	-	-	-	-	-	-	-	-	-	-	-										
Ala.	-	-	-	3	2	-	1	9	-	-	-										
Miss.	-	-	-	-	2	-	-	-	N	N	N										
W.S. CENTRAL	-	-	2	3	5	-	2	4	-	-	-										
Ark.	-	-	-	-	2	-	1	-	-	-	-										
La.	-	-	2	3	-	-	1	-	-	-	-										
Okla.	-	-	-	-	-	-	-	-	-	-	-										
Tex.	-	-	-	-	3	-	-	4	-	-	-										
MOUNTAIN	-	28	-	6	2	-	14	102	-	-	-										
Mont.	-	-	-	-	-	-	-	2	-	-	-										
Idaho	-	-	-	-	-	-	1	36	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	17	-	-	-	-	-	15	-	-	-										
N. Mex.	-	6	N	N	N	-	8	3	-	-	-										
Ariz.	-	5	-	-	-	-	2	46	-	-	-										
Utah	-	-	-	-	1	-	-	-	-	-	-										
Nev.	-	-	-	6	1	-	3	-	-	-	-										
PACIFIC	2	-	2	18	24	3	18	45	-	9	6										
Wash.	1	-	1	2	1	2	5	1	-	-	-										
Oreg.	-	-	N	N	N	-	12	-	-	-	-										
Calif.	-	-	-	9	20	-	-	42	-	9	6										
Alaska	-	-	-	1	2	-	-	-	-	-	-										
Hawaii	1	-	1	6	1	1	1	2	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	1	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


