
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 12, 2002 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	8	2	-	-	-	-	252	715													
NEW ENGLAND	-	-	-	-	-	-	25	44													
Maine	-	-	-	-	-	-	3	3													
N.H.	-	-	-	-	-	-	1	-													
Vt.	-	-	-	-	-	-	1	2													
Mass.	-	-	-	-	-	-	18	37													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	-	-	-	-	-	2	2													
MID. ATLANTIC	1	-	-	-	-	-	21	107													
Upstate N.Y.	-	-	-	-	-	-	3	5													
N.Y. City	-	-	-	-	-	-	-	26													
N.J.	-	-	-	-	-	-	-	55													
Pa.	1	-	-	-	-	-	18	21													
E.N. CENTRAL	1	1	-	-	-	-	53	134													
Ohio	1	-	-	-	-	-	27	43													
Ind.	-	-	-	-	-	-	1	-													
Ill.	-	1	-	-	-	-	6	54													
Mich.	-	-	-	-	-	-	19	14													
Wis.	-	-	-	-	-	-	-	23													
W.N. CENTRAL	-	-	-	-	-	-	48	38													
Minn.	-	-	-	-	-	-	4	10													
Iowa	-	-	-	-	-	-	10	2													
Mo.	-	-	-	-	-	-	27	14													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	2	4													
Nebr.	-	-	-	-	-	-	-	3													
Kans.	-	-	-	-	-	-	5	5													
S. ATLANTIC	6	1	-	-	-	-	36	111													
Del.	-	-	-	-	-	-	-	1													
Md.	1	1	-	-	-	-	4	12													
D.C.	-	-	-	-	-	-	1	-													
Va.	-	-	-	-	-	-	-	-													
W. Va.	-	-	-	-	-	-	-	-													
N.C.	5	-	-	-	-	-	27	22													
S.C.	-	-	-	-	-	-	-	-													
Ga.	-	-	-	-	-	-	4	63													
Fla.	-	-	-	-	-	-	-	13													
E.S. CENTRAL	-	-	-	-	-	-	24	37													
Ky.	-	-	-	-	-	-	-	3													
Tenn.	-	-	-	-	-	-	1	3													
Ala.	-	-	-	-	-	-	22	19													
Miss.	-	-	-	-	-	-	1	12													
W.S. CENTRAL	-	-	-	-	-	-	5	108													
Ark.	-	-	-	-	-	-	2	10													
La.	-	-	-	-	-	-	-	12													
Okla.	-	-	-	-	-	-	1	-													
Tex.	-	-	-	-	-	-	2	86													
MOUNTAIN	-	-	-	-	-	-	20	25													
Mont.	-	-	-	-	-	-	-	2													
Idaho	-	-	-	-	-	-	5	2													
Wyo.	-	-	-	-	-	-	-	1													
Colo.	-	-	-	-	-	-	15	13													
N. Mex.	-	-	-	-	-	-	-	6													
Ariz.	-	-	-	-	-	-	-	-													
Utah	-	-	-	-	-	-	-	1													
Nev.	-	-	-	-	-	-	-	-													
PACIFIC	-	-	-	-	-	-	20	111													
Wash.	-	-	-	-	-	-	-	-													
Oreg.	-	-	-	-	-	-	11	-													
Calif.	-	-	-	-	-	-	6	105													
Alaska	-	-	-	-	-	-	1	-													
Hawaii	-	-	-	-	-	-	2	6													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	3													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	1	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


