
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending June 21, 2008 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2008
Syphillis, primary & secondary cummulative for 2007

tab delimited data:
test
UNITED STATES	23	47	262	1,412	1,473	1	9	43	231	290	123	229	351	5,181	4,954						
NEW ENGLAND	-	1	41	27	82	-	0	8	5	12	4	6	14	137	114						
Conn.	-	0	37	-	51	-	0	7	-	4	-	0	6	10	14						
Maine	-	0	2	11	7	-	0	1	1	1	1	0	2	6	2						
Mass.	-	0	0	-	-	-	0	0	-	2	2	4	11	112	69						
N.H.	-	0	0	-	-	-	0	0	-	-	1	0	3	6	11						
R.I.	-	0	3	7	13	-	0	1	2	3	-	0	3	2	16						
Vt.	-	0	2	9	11	-	0	1	2	2	-	0	5	1	2						
MID. ATLANTIC	1	2	8	92	88	-	0	2	15	20	37	32	45	841	759						
N.J.	-	0	0	-	-	-	0	0	-	-	3	4	10	97	93						
N.Y. (Upstate)	-	1	4	31	28	-	0	2	4	8	6	3	13	65	65						
N.Y. City	-	0	3	3	-	-	0	0	-	-	28	17	30	540	473						
Pa.	1	1	8	58	60	-	0	2	11	12	-	5	12	139	128						
E.N. CENTRAL	9	13	50	407	404	1	2	14	66	67	8	16	31	401	408						
Ill.	-	2	15	51	75	-	0	6	12	24	-	6	19	69	213						
Ind.	-	3	28	127	88	-	0	11	15	12	1	2	6	67	19						
Mich.	1	0	2	7	1	-	0	1	1	1	2	2	17	102	53						
Ohio	8	7	15	222	240	1	1	4	38	30	5	4	14	142	92						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	4	21	31						
W.N. CENTRAL	-	2	106	101	106	-	0	9	7	20	4	8	15	186	148						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	7	8						
Kans.	-	1	5	43	58	-	0	1	2	4	1	0	5	19	8						
Minn.	-	0	105	-	1	-	0	9	-	12	-	1	4	41	33						
Mo.	-	1	8	58	39	-	0	1	2	-	3	5	10	116	94						
Nebr.	-	0	0	-	2	-	0	0	-	-	-	0	1	3	3						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	2	-	6	-	0	1	3	4	-	0	3	-	2						
S. ATLANTIC	10	19	39	589	631	-	4	10	100	138	25	48	215	1,088	1,053						
Del.	-	0	1	2	5	-	0	1	-	1	-	0	4	6	6						
D.C.	-	0	0	-	4	-	0	0	-	-	1	2	11	50	97						
Fla.	9	11	26	333	349	-	2	6	66	72	10	18	34	423	348						
Ga.	1	7	18	196	230	-	1	6	29	57	2	10	175	136	140						
Md.	-	0	2	3	1	-	0	1	1	-	6	6	13	144	136						
N.C.	N	0	0	N	N	N	0	0	N	N	3	6	18	156	170						
S.C.	-	0	0	-	-	-	0	0	-	-	2	1	5	43	50						
Va.	N	0	0	N	N	N	0	0	N	N	1	5	17	130	100						
W. Va.	-	1	7	55	42	-	0	2	4	8	-	0	0	-	6						
E.S. CENTRAL	2	4	12	153	86	-	1	4	27	16	12	20	31	489	376						
