
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 21, 2007 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2007
Salmonellosis cummulative for 2006
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2007
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2007
Shigellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	338	833	1,336	7,500	8,291	33	76	179	521	579	166	258	523	2,957	2,769						
NEW ENGLAND	5	18	82	156	791	1	2	16	22	106	-	2	14	22	124						
Conn.	-	0	68	68	503	-	0	5	5	84	-	0	8	8	67						
Maine	2	2	14	29	17	-	0	8	10	4	-	0	5	12	-						
Mass.	-	0	53	-	246	-	0	9	-	15	-	0	11	-	52						
N.H.	2	4	26	21	6	-	0	4	4	-	-	0	2	1	-						
R.I.	-	2	15	25	13	-	0	2	1	1	-	0	3	1	4						
Vt.	1	1	6	13	6	1	0	4	2	2	-	0	2	-	1						
MID. ATLANTIC	43	99	194	1,023	983	8	9	62	66	64	6	14	48	127	253						
N.J.	-	19	50	52	189	-	1	16	1	16	-	3	34	7	76						
N.Y. (Upstate)	31	27	93	327	198	5	3	14	28	20	4	3	43	34	74						
N.Y. City	1	24	50	259	272	-	0	4	5	8	1	5	14	67	73						
Pa.	11	30	67	385	324	3	3	47	32	20	1	1	6	19	30						
E.N. CENTRAL	45	103	198	811	1,182	3	9	59	62	92	8	23	68	153	284						
Ill.	-	27	61	58	347	-	1	7	2	15	-	10	50	19	102						
Ind.	10	15	55	138	122	1	1	8	5	10	1	2	17	18	38						
Mich.	4	18	35	167	206	1	1	6	13	19	-	2	5	10	67						
Ohio	29	23	56	284	296	1	3	18	31	23	7	4	14	75	47						
Wis.	2	17	27	164	211	-	2	39	11	25	-	3	10	31	30						
W.N. CENTRAL	31	48	109	599	546	2	11	45	70	78	34	41	76	588	234						
Iowa	1	8	26	86	93	-	2	38	11	13	-	2	14	18	9						
Kans.	7	7	16	96	80	-	0	4	6	2	-	2	11	9	22						
Minn.	13	11	60	141	128	1	3	26	28	30	5	4	24	82	22						
Mo.	7	15	35	193	153	-	3	13	16	23	28	13	68	457	130						
Nebr.	3	3	9	34	55	1	1	11	9	7	1	1	14	6	26						
N. Dak.	-	0	5	8	6	-	0	0	-	-	-	0	18	4	4						
S. Dak.	-	3	11	41	31	-	0	5	-	3	-	6	24	12	21						
S. ATLANTIC	76	225	395	2,361	1,913	7	12	32	136	87	61	70	143	1,093	652						
Del.	-	2	10	18	23	-	0	3	4	1	-	0	2	4	-						
D.C.	-	1	4	8	19	-	0	1	-	-	-	0	5	3	3						
Fla.	36	95	176	1,001	871	7	2	8	43	15	31	36	76	690	277						
Ga.	19	34	66	408	264	-	1	7	16	16	22	24	54	318	234						
Md.	8	14	32	166	78	-	2	9	25	6	2	1	10	22	16						
N.C.	5	29	130	375	363	-	2	11	23	21	3	1	14	19	65						
S.C.	3	19	55	174	104	-	0	3	1	3	2	0	10	16	41						
Va.	4	20	58	180	169	-	2	11	23	25	1	2	9	20	16						
W. Va.	1	1	31	31	22	-	0	5	1	-	-	0	2	1	-						
E.S. CENTRAL	17	53	138	456	433	-	4	21	24	40	8	12	75	199	183						
Ala.	5	10	70	114	147	-	0	5	3	4	5	4	66	76	38						
Ky.	-	9	23	93	83	-	1	12	8	10	-	2	15	23	95						
Miss.	-	12	51	51	81	-	0	0	-	-	-	1	37	37	26						
Tenn.	12	17	32	198	122	-	2	9	13	26	3	4	14	63	24						
W.S. CENTRAL	19	84	186	305	682	3	3	52	25	26	28	37	187	279	340						
Ark.	7	14	45	92	229	-	0	7	5	2	6	2	10	30	22						
La.	-	17	42	94	58	-	0	1	-	-	-	3	24	57	8						
Okla.	12	8	40	83	56	2	0	17	7	1	1	2	9	15	27						
Tex.	-	46	107	36	339	1	2	48	13	23	21	30	174	177	283						
MOUNTAIN	34	52	86	588	570	2	8	36	60	59	8	26	87	194	217						
Ariz.	8	19	45	225	163	2	2	13	25	15	4	11	35	99	115						
Colo.	13	11	30	143	158	-	1	8	9	15	3	3	15	30	28						
Idaho	-	3	9	32	36	-	1	8	4	9	-	0	3	3	6						
Mont.	1	2	10	26	31	-	0	0	-	-	1	0	13	9	1						
Nev.	-	4	20	45	41	-	0	5	4	10	-	1	20	11	23						
N. Mex.	-	5	15	46	50	-	1	5	9	4	-	2	15	25	30						
Utah	12	4	14	56	71	-	1	14	9	5	-	1	4	5	11						
Wyo.	-	0	4	15	20	-	0	3	-	1	-	0	19	12	3						
PACIFIC	68	116	306	1,201	1,191	7	5	24	56	27	13	32	94	302	482						
