
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2002 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	324	664	124	205	61	80	1	1													
NEW ENGLAND	8	11	4	6	-	2	1	-													
Maine	-	-	2	2	-	-	-	-													
N.H.	-	-	1	-	-	-	-	-													
Vt.	-	-	1	1	-	2	1	-													
Mass.	7	10	-	3	-	-	-	-													
R.I.	-	-	-	-	-	-	-	-													
Conn.	1	1	-	-	-	-	-	-													
MID. ATLANTIC	10	102	15	50	2	3	-	1													
Upstate N.Y.	3	40	10	6	2	3	-	1													
N.Y. City	1	29	2	26	-	-	-	-													
N.J.	-	18	-	18	-	-	-	-													
Pa.	6	15	3	-	-	-	-	-													
E.N. CENTRAL	84	97	26	54	3	1	-	-													
Ohio	57	18	14	5	1	-	-	-													
Ind.	3	4	-	-	2	1	-	-													
Ill.	12	44	1	19	-	-	-	-													
Mich.	12	24	11	28	-	-	-	-													
Wis.	-	7	-	2	-	-	-	-													
W.N. CENTRAL	71	95	2	12	6	1	-	-													
Minn.	13	43	-	-	-	-	-	-													
Iowa	5	6	-	-	-	-	-	-													
Mo.	5	30	1	6	1	-	-	-													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	45	1	-	2	-	-	-	-													
Nebr.	-	5	-	-	-	-	-	-													
Kans.	3	10	1	4	5	1	-	-													
S. ATLANTIC	60	54	39	18	45	55	-	-													
Del.	2	-	-	-	-	-	-	-													
Md.	18	3	5	4	-	-	-	-													
D.C.	3	3	2	-	2	-	-	-													
Va.	-	3	-	2	-	-	-	-													
W. Va.	-	-	-	-	-	-	-	-													
N.C.	14	16	6	6	-	-	-	-													
S.C.	-	6	-	1	9	7	-	-													
Ga.	23	14	26	3	34	26	-	-													
Fla.	-	9	-	2	-	22	-	-													
E.S. CENTRAL	26	43	1	3	2	3	-	-													
Ky.	3	18	-	-	-	1	-	-													
Tenn.	-	-	1	3	2	2	-	-													
Ala.	20	12	-	-	-	-	-	-													
Miss.	3	13	-	-	-	-	-	-													
W.S. CENTRAL	9	135	3	25	1	13	-	-													
Ark.	6	7	-	-	1	3	-	-													
La.	-	8	-	-	-	10	-	-													
Okla.	2	-	2	2	-	-	-	-													
Tex.	1	120	1	23	-	-	-	-													
MOUNTAIN	13	29	18	29	2	2	-	-													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	1	-	-	-	-	-	-													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	7	6	11	19	-	-	-	-													
N. Mex.	1	11	7	10	2	2	-	-													
Ariz.	-	10	-	-	-	-	-	-													
Utah	5	-	-	-	-	-	-	-													
Nev.	-	1	-	-	-	-	-	-													
PACIFIC	43	98	16	8	-	-	-	-													
Wash.	-	-	-	-	-	-	-	-													
Oreg.	8	-	-	-	-	-	-	-													
Calif.	33	98	16	8	-	-	-	-													
Alaska	-	-	-	-	-	-	-	-													
Hawaii	2	-	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	1	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	-	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


