
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 18, 1997 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	130	220	1	2	20	21	150	54	-	-	9										
NEW ENGLAND	8	13	-	-	-	5	24	5	-	-	-										
Maine	-	3	-	-	-	-	3	-	-	-	-										
N.H.	-	-	-	-	-	-	3	-	-	-	-										
Vt.	-	1	-	-	-	5	18	2	-	-	-										
Mass.	5	2	-	-	-	-	-	3	-	-	-										
R.I.	-	1	-	-	-	-	-	-	-	-	-										
Conn.	3	6	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	8	14	-	-	3	-	-	1	-	-	-										
Upstate N.Y.	-	-	-	-	-	-	-	-	-	-	-										
N.Y. City	4	4	-	-	-	-	-	-	-	-	-										
N.J.	4	5	-	-	2	-	-	1	-	-	-										
Pa.	-	5	-	-	1	-	-	-	-	-	-										
E.N. CENTRAL	16	40	-	-	8	1	5	16	-	-	-										
Ohio	11	19	-	-	5	-	-	7	-	-	-										
Ind.	3	3	-	-	-	-	-	-	-	-	-										
Ill.	-	12	-	-	1	-	-	1	-	-	-										
Mich.	2	2	-	-	2	1	5	3	-	-	-										
Wis.	-	4	U	-	-	U	-	5	U	-	-										
W.N. CENTRAL	5	26	-	-	-	3	5	1	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	5	5	-	-	-	3	4	-	-	-	-										
Mo.	-	14	-	-	-	-	-	1	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	-	1	-	-	-	-	1	-	-	-	-										
Nebr.	-	3	-	-	-	-	-	-	-	-	-										
Kans.	-	3	U	-	-	U	-	-	U	-	-										
S. ATLANTIC	32	23	-	-	1	1	3	1	-	-	-										
Del.	2	-	-	-	-	-	-	-	-	-	-										
Md.	2	4	-	-	-	1	3	-	-	-	-										
D.C.	1	2	-	-	-	-	-	-	-	-	-										
Va.	-	-	-	-	-	-	-	-	-	-	-										
W. Va.	1	-	-	-	-	-	-	-	-	-	-										
N.C.	6	2	-	-	-	-	-	-	-	-	-										
S.C.	12	7	-	-	1	-	-	-	-	-	-										
Ga.	5	7	-	-	-	-	-	1	-	-	-										
Fla.	3	1	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	13	18	1	2	1	-	1	6	-	-	-										
Ky.	-	4	-	-	-	-	-	5	-	-	-										
Tenn.	-	4	-	-	-	-	-	-	-	-	-										
Ala.	9	8	-	-	1	-	1	1	-	-	-										
Miss.	4	2	1	2	-	-	-	-	-	-	N										
W.S. CENTRAL	3	14	-	-	1	-	-	1	-	-	-										
Ark.	2	3	-	-	-	-	-	1	-	-	-										
La.	-	3	-	-	1	-	-	-	-	-	-										
Okla.	1	2	-	-	-	-	-	-	-	-	-										
Tex.	-	6	-	-	-	-	-	-	-	-	-										
MOUNTAIN	5	16	-	-	1	9	85	12	-	-	-										
Mont.	1	-	-	-	-	-	-	-	-	-	-										
Idaho	-	1	-	-	-	3	70	-	-	-	-										
Wyo.	-	-	-	-	-	-	1	-	-	-	-										
Colo.	-	2	-	-	-	3	8	-	-	-	-										
N. Mex.	2	5	N	N	N	3	3	4	-	-	-										
Ariz.	1	5	-	-	-	-	3	-	-	-	-										
Utah	1	1	-	-	-	-	-	-	-	-	-										
Nev.	-	2	-	-	1	-	-	8	-	-	-										
PACIFIC	40	56	-	-	5	2	27	11	-	-	9										
Wash.	-	-	-	-	-	-	-	-	-	-	-										
Oreg.	19	14	-	-	-	-	2	10	-	-	-										
Calif.	21	41	-	-	4	2	25	-	-	-	9										
Alaska	-	1	-	-	-	-	-	-	-	-	-										
Hawaii	-	-	-	-	1	-	-	1	-	-	-										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


