
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 3, 2001 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	190	260	2	9	35	134	338	454	1	1	2										
NEW ENGLAND	20	13	-	-	-	6	84	118	-	-	1										
Maine	-	1	-	-	-	-	-	2	-	-	-										
N.H.	2	-	-	-	-	4	4	20	-	-	-										
Vt.	-	1	-	-	-	1	13	23	-	-	-										
Mass.	12	6	-	-	-	-	66	73	-	-	1										
R.I.	-	1	-	-	-	-	-	-	-	-	-										
Conn.	6	4	-	-	-	1	1	-	-	-	-										
MID. ATLANTIC	15	18	-	-	3	1	10	28	-	-	1										
Upstate N.Y.	4	3	-	-	1	1	10	15	-	-	-										
N.Y. City	3	5	-	-	1	-	-	11	-	-	1										
N.J.	7	4	-	-	-	-	-	-	-	-	-										
Pa.	1	6	-	-	1	-	-	2	-	-	-										
E.N. CENTRAL	13	50	-	-	6	29	57	105	1	1	-										
Ohio	10	6	-	-	3	27	51	83	-	-	-										
Ind.	-	5	-	-	-	1	1	1	-	-	-										
Ill.	-	19	-	-	-	-	-	3	1	1	-										
Mich.	3	10	-	-	3	1	4	5	-	-	-										
Wis.	-	10	-	-	-	-	1	13	-	-	-										
W.N. CENTRAL	13	19	1	1	2	4	17	11	-	-	-										
Minn.	-	1	-	-	-	-	-	2	-	-	-										
Iowa	4	3	-	-	1	-	2	3	-	-	-										
Mo.	6	12	-	-	-	2	7	2	-	-	-										
N. Dak.	-	1	-	-	-	-	-	-	-	-	-										
S. Dak.	-	1	-	-	-	1	2	1	-	-	-										
Nebr.	1	-	-	-	1	-	-	-	-	-	-										
Kans.	2	1	1	1	-	1	6	3	-	-	-										
S. ATLANTIC	42	26	-	1	4	7	16	24	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	8	4	-	1	1	-	5	10	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	3	5	-	-	-	-	-	1	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	10	8	-	-	-	7	8	4	-	-	-										
S.C.	4	5	-	-	2	-	3	8	-	-	-										
Ga.	3	-	-	-	-	-	-	-	-	-	-										
Fla.	14	4	-	-	1	-	-	1	-	-	-										
E.S. CENTRAL	14	10	-	-	1	2	8	18	-	-	-										
Ky.	2	3	-	-	-	-	1	13	-	-	-										
Tenn.	5	3	-	-	-	2	6	1	-	-	-										
Ala.	7	3	-	-	1	-	1	3	-	-	-										
Miss.	-	1	-	-	-	-	-	1	-	-	-										
W.S. CENTRAL	16	33	-	-	5	1	2	2	-	-	-										
Ark.	2	1	-	-	-	1	2	1	-	-	-										
La.	8	16	-	-	-	-	-	-	-	-	-										
Okla.	6	4	-	-	-	-	-	-	-	-	-										
Tex.	-	12	-	-	5	-	-	1	-	-	-										
MOUNTAIN	13	13	-	1	2	82	138	95	-	-	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	3	1	-	-	-	3	7	13	-	-	-										
Wyo.	-	-	U	-	-	U	-	-	U	-	-										
Colo.	-	2	-	-	-	-	-	60	-	-	-										
N. Mex.	4	1	-	1	N	3	4	15	-	-	-										
Ariz.	3	6	-	-	-	74	125	3	-	-	-										
Utah	2	2	-	-	-	2	2	3	-	-	-										
Nev.	1	1	-	-	2	-	-	1	-	-	-										
PACIFIC	44	78	1	6	12	2	6	53	-	-	-										
Wash.	3	4	-	-	-	2	3	1	-	-	-										
Oreg.	9	13	N	N	N	-	3	6	-	-	-										
Calif.	32	59	1	6	11	-	-	42	-	-	-										
Alaska	-	-	-	-	-	-	-	2	-	-	-										
Hawaii	-	2	-	-	1	-	-	2	-	-	-										
Guam	-	-	-	-	-	-	-	-	-	-	-										
P.R.	-	2	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


