
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 27, 2005 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	25,815	583,867	599,290	2,952	3,705	2,200	2,118													
NEW ENGLAND	778	849	20,947	19,609	-	-	106	116													
Maine	11	20	1,412	1,298	N	N	12	16													
N.H.	20	29	1,200	1,101	-	-	16	20													
Vt.	4	13	637	749	-	-	20	18													
Mass.	368	283	9,359	8,687	-	-	42	44													
R.I.	68	82	2,133	2,230	-	-	3	4													
Conn.	307	422	6,206	5,544	N	N	13	14													
MID. ATLANTIC	4,352	5,775	72,927	73,856	-	-	666	300													
Upstate N.Y.	800	723	14,654	14,667	N	N	495	65													
N.Y. City	2,327	3,242	23,051	22,852	-	-	45	80													
N.J.	574	977	11,413	11,690	N	N	12	31													
Pa.	651	833	23,809	24,647	N	N	114	124													
E.N. CENTRAL	1,938	2,176	88,832	106,316	5	9	399	674													
Ohio	312	464	21,954	26,065	N	N	129	150													
Ind.	236	264	12,922	11,896	N	N	30	52													
Ill.	983	944	26,018	30,924	-	-	34	119													
Mich.	322	383	15,797	25,211	5	9	52	105													
Wis.	85	121	12,141	12,220	N	N	154	248													
W.N. CENTRAL	463	502	36,264	36,465	6	5	344	252													
Minn.	123	141	6,551	7,638	3	N	68	82													
Iowa	50	37	4,410	4,446	N	N	61	50													
Mo.	198	202	14,597	13,397	2	3	170	46													
N. Dak.	5	15	778	1,184	N	N	-	9													
S. Dak.	10	7	1,825	1,598	-	-	16	23													
Nebr.	18	21	3,678	3,362	1	2	4	23													
Kans.	59	79	4,425	4,840	N	N	25	19													
S. ATLANTIC	6,473	7,926	114,975	112,058	1	-	314	329													
Del.	100	105	2,151	1,859	N	N	-	-													
Md.	812	986	12,236	12,483	1	-	21	13													
D.C.	467	523	2,421	2,302	-	-	7	10													
Va.	307	465	13,397	14,339	-	-	22	38													
W. Va.	36	55	1,713	1,836	N	N	7	4													
N.C.	531	416	21,763	18,654	N	N	37	52													
S.C.	386	495	14,688	11,786	-	-	9	14													
Ga.	1,103	1,015	18,836	21,089	-	-	60	112													
Fla.	2,731	3,866	27,770	27,710	N	N	151	86													
E.S. CENTRAL	1,093	1,321	42,356	38,740	-	4	61	91													
Ky.	135	157	6,320	3,718	N	N	23	29													
Tenn.	434	532	15,560	14,774	N	N	21	27													
Ala.	295	305	7,235	8,904	-	-	15	15													
Miss.	229	327	13,241	11,344	-	4	2	20													
W.S. CENTRAL	2,206	3,150	69,565	75,110	1	2	57	68													
Ark.	72	135	5,154	5,311	-	1	2	13													
La.	436	638	12,572	15,335	1	1	3	2													
Okla.	167	130	7,250	7,373	N	N	32	15													
Tex.	1,531	2,247	44,589	47,091	N	N	20	38													
MOUNTAIN	789	933	34,495	36,462	2,037	2,353	78	116													
Mont.	4	4	1,166	1,596	N	N	12	31													
Idaho	9	16	1,655	1,886	N	N	6	15													
Wyo.	2	13	720	693	2	1	2	2													
Colo.	163	162	8,862	8,985	N	N	26	39													
N. Mex.	72	138	3,272	5,829	6	16	3	10													
Ariz.	329	356	11,903	10,922	1,994	2,284	10	15													
Utah	33	51	2,696	2,426	4	11	11	2													
Nev.	177	193	4,221	4,125	31	41	8	2													
PACIFIC	2,313	3,183	103,506	100,674	902	1,332	175	172													
Wash.	229	215	12,234	11,513	N	N	28	14													
Oreg.	136	216	5,429	5,229	-	-	36	25													
Calif.	1,874	2,656	80,531	77,808	902	1,332	110	131													
Alaska	14	29	2,603	2,479	-	-	-	-													
Hawaii	60	67	2,709	3,645	-	-	1	2													
Guam	1	1	-	749	-	-	-	-													
P.R.	537	396	2,406	2,474	N	N	N	N													
V.I.	10	6	119	245	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


